 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
74,Nicolas Beaudin,D,5-11,168,L/-,R,October 9 1999,beaudni01
27,Adam Boqvist,D,5-11,179,R/-,R,August 15 2000,boqviad01
91,Drake Caggiula,LW,5-10,176,L/-,3,June 20 1994,caggidr01
46-47,Lucas Carlsson,D,6-0,189,L/-,R,July 5 1997,carlslu01
22,Ryan Carpenter,C,6-0,200,R/-,4,January 18 1991,carpery01
50,Corey Crawford,G,6-2,216,-/L,12,December 31 1984,crawfco01
77,Kirby Dach,C,6-4,212,R/-,R,January 21 2001,dachki01
44,Calvin de Haan,D,6-1,195,L/-,7,May 9 1991,dehaaca01
12,Alex DeBrincat,RW,5-8,178,R/-,2,December 18 1997,debrial01
39,Dennis Gilbert,D,6-2,216,L/-,1,October 30 1996,gilbede01
56,Erik Gustafsson,D,6-0,197,L/-,3,March 14 1992,gustaer02
38,Brandon Hagel,LW,6-2,179,L/-,R,August 27 1998,hagelbr01
36,Matthew Highmore,LW,5-11,188,L/-,1,February 27 1996,highmma01
64,David Kampf,C,6-2,197,L/-,2,January 12 1995,kampfda01
88,Patrick Kane,RW,5-10,177,L/-,12,November 19 1988,kanepa01
2,Duncan Keith,D,6-1,193,L/-,14,July 16 1983,keithdu01
68,Slater Koekkoek,D,6-2,193,L/-,5,February 18 1994,koekksl01
8,Dominik Kubalík,LW,6-2,190,L/-,R,August 21 1995,kubaldo01
40,Robin Lehner,G,6-4,240,-/L,9,July 24 1991,lehnero01
6,Olli Maatta,D,6-2,207,L/-,6,August 22 1994,maattol01
5,Connor Murphy,D,6-4,212,R/-,6,March 26 1993,murphco02
92,Alexander Nylander,LW,6-1,192,R/-,3,March 2 1998,nylanal01
11,Brendan Perlini,LW,6-3,211,L/-,3,April 27 1996,perlibr01
47,John Quenneville,C,6-1,195,L/-,3,April 16 1996,quennjo02
20,Brandon Saad,LW,6-1,206,L/-,8,October 27 1992,saadbr01
7,Brent Seabrook,D,6-3,220,R/-,14,April 20 1985,seabrbr01
55,Nick Seeler,D,6-2,201,L/-,2,June 3 1993,seeleni01
65,Andrew Shaw,C,5-11,182,R/-,8,July 20 1991,shawan01
95,Dylan Sikura,C,5-11,170,L/-,2,June 1 1995,sikurdy01
15,Zack Smith,C,6-2,208,L/-,11,April 5 1988,smithza01
17,Dylan Strome,C,6-3,200,L/-,3,March 7 1997,stromdy01
30,Malcolm Subban,G,6-2,200,-/-,4,December 21 1993,subbama01
19,Jonathan Toews (C),C,6-2,201,L/-,12,April 29 1988,toewsjo01
57,Anton Wedin,F,,,L/-,R,March 1 1993,wedinan01
