 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
77,Josh Anderson,RW,6-3,226,R/-,5,May 7 1994,anderjo05
13,Cam Atkinson,RW,5-8,176,R/-,8,June 5 1989,atkinca01
52,Emil Bemstrom,C,6-0,193,R/-,R,June 1 1999,bemstem01
28,Oliver Bjorkstrand,RW,6-0,177,R/-,4,April 10 1995,bjorkol01
53,Gabriel Carlsson,D,6-5,203,L/-,3,January 2 1997,carlsga01
56,Marko Daňo,C,5-11,201,L/-,5,November 30 1994,danoma01
18,Pierre-Luc Dubois,LW,6-3,218,L/-,2,June 24 1998,duboipi01
71,Nick Foligno (C),LW,6-0,210,L/-,12,October 31 1987,foligni01
19,Liam Foudy,C,6-2,193,L/-,R,February 4 2000,foudyli01
44,Vladislav Gavrikov,D,6-3,213,L/-,R,November 21 1995,gavrivl01
24,Nathan Gerbe,C,5-4,176,L/-,9,July 24 1987,gerbena01
4,Scott Harrington,D,6-2,206,L/-,5,March 10 1993,harrisc01
38,Boone Jenner,C,6-2,207,L/-,6,June 15 1993,jennebo01
3,Seth Jones,D,6-4,208,R/-,6,October 3 1994,jonesse01
80,Matiss Kivlenieks,G,6-2,178,-/L,R,August 26 1996,kivlema01
70,Joonas Korpisalo,G,6-3,192,-/-,4,April 28 1994,korpijo01
46,Dean Kukan,D,6-2,186,L/-,3,July 8 1993,kukande01
15,Jakob Lilja,F,6-1,196,L/-,R,July 23 1993,liljaja01
49,Ryan MacInnis,C,6-4,201,L/-,R,February 14 1996,macinry01
23,Stefan Matteau,LW,6-2,208,L/-,4,February 23 1994,mattest02
90,Elvis Merzlikins,G,6-3,185,L/-,R,April 13 1994,merzlel01
22,Sonny Milano,LW,6-0,204,L/-,4,May 12 1996,milanso01
27,Ryan Murray,D,6-1,206,L/-,6,September 27 1993,murrary01
20,Riley Nash,C,6-2,188,R/-,8,May 9 1989,nashri02
65,Markus Nutivaara,D,6-1,187,L/-,3,June 6 1994,nutivma01
14,Gustav Nyquist,RW,5-11,180,L/-,8,September 1 1989,nyquigu01
2,Andrew Peeke,D,6-3,198,R/-,R,March 17 1998,peekean01
50,Eric Robinson,LW,6-2,200,L/-,2,June 14 1995,robiner01
58,David Savard,D,6-2,233,R/-,8,October 22 1990,savarda01
88,Kole Sherwood,RW,6-1,212,R/-,1,January 22 1997,sherwko01
29-74,Devin Shore,C,6-1,206,L/-,4,July 19 1994,shorede01
11,Kevin Stenlund,C,6-4,211,R/-,1,September 20 1996,stenlke01
42,Alexandre Texier,C,6-1,186,L/-,1,September 13 1999,texieal01
48,Calvin Thurkauf,C,6-2,212,L/-,R,June 27 1997,thurkca01
10,Alexander Wennberg,C,6-2,197,L/-,5,September 22 1994,wennbal01
8,Zach Werenski,D,6-2,218,L/-,3,July 19 1997,werenza01
