 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
34,Jake Allen,G,6-2,195,-/L,6,August 7 1990,allenja01
49,Ivan Barbashev,C,6-0,187,L/-,3,December 14 1995,barbaiv01
50,Jordan Binnington,G,6-1,174,-/-,2,July 11 1993,binnijo01
9,Sammy Blais,LW,6-2,205,L/-,2,June 17 1996,blaissa01
41,Robert Bortuzzo,D,6-4,216,R/-,8,March 18 1989,borturo01
19,Jay Bouwmeester,D,6-4,206,L/-,16,September 27 1983,bouwmja01
21,Tyler Bozak,C,6-1,199,R/-,10,March 19 1986,bozakty01
36,Troy Brouwer,RW,6-3,213,R/-,13,August 17 1985,brouwtr01
61,Jacob de La Rose,LW,6-3,215,L/-,5,May 20 1995,delarja01
29,Vince Dunn,D,6-0,203,L/-,2,October 29 1996,dunnvi02
15,Robby Fabbri,C,5-11,185,L/-,3,January 22 1996,fabbrro01
72,Justin Faulk,D,6-0,217,R/-,8,March 20 1992,faulkju01
4,Carl Gunnarsson,D,6-2,198,L/-,10,November 9 1986,gunnaca01
37,Klim Kostin,C/LW,6-3,215,L/-,R,May 5 1999,kostikl01
33,Jordan Kyrou,C,6-0,175,R/-,1,May 5 1998,kyroujo01
28,Mackenzie MacEachern,LW,6-2,193,L/-,1,March 9 1994,maceama01
77,Niko Mikkola,D,6-4,185,L/-,R,April 27 1996,mikkoni01
90,Ryan O'Reilly,C,6-1,216,L/-,10,February 7 1991,oreilry01
55,Colton Parayko,D,6-6,230,R/-,4,May 12 1993,parayco01
57,David Perron,LW,6-1,196,R/-,12,May 28 1988,perroda01
27,Alex Pietrangelo (C),D,6-3,210,R/-,11,January 18 1990,pietral01
53,Austin Poganski,RW,6-1,198,R/-,R,February 16 1996,poganau01
51,Derrick Pouliot,D,6-0,196,L/-,5,January 16 1994,poulide01
12,Zach Sanford,LW,6-4,207,L/-,2,November 9 1994,sanfoza01
6,Marco Scandella,D,6-3,211,L/-,9,February 23 1990,scandma01
10,Brayden Schenn,C,6-1,200,L/-,10,August 22 1991,schenbr01
17,Jaden Schwartz,C,5-10,190,L/-,8,June 25 1992,schwaja01
20,Alex Steen,C,6-0,211,L/-,14,March 1 1984,steenal01
70,Oskar Sundqvist,C,6-3,220,R/-,4,March 23 1994,sundqos01
91,Vladimir Tarasenko,RW,6-0,225,L/-,7,December 13 1991,tarasvl01
18,Robert Thomas,C,6-0,188,R/-,1,July 2 1999,thomaro01
26,Nathan Walker,C,5-9,186,L/-,2,February 7 1994,walkena01
46,Jake Walman,D,6-2,215,L/-,R,February 20 1996,walmaja01
