 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
47,Sven Baertschi,LW,5-11,190,L/-,8,October 5 1992,baertsv01
38,Justin Bailey,RW,6-4,214,R/-,4,July 1 1995,baileju01
83,Jay Beagle,RW/C,6-3,210,R/-,11,October 16 1985,beaglja01
4,Jordie Benn,D,6-2,201,L/-,8,July 26 1987,bennjo01
6,Brock Boeser,RW,6-1,208,R/-,3,February 25 1997,boesebr01
35,Thatcher Demko,G,6-4,192,L/-,2,December 8 1995,demkoth01
75,Michael Dipietro,G,6-0,200,-/L,1,June 9 1999,dipiemi01
30,Louis Domingue,G,6-3,208,-/R,5,March 6 1992,dominlo01
23,Alexander Edler,D,6-3,215,L/-,13,April 21 1986,edleral01
21,Loui Eriksson,LW,6-2,179,L/-,13,July 17 1985,erikslo01
5,Oscar Fantenberg,D,6-0,206,L/-,2,October 7 1991,fanteos01
79,Micheal Ferland,LW,6-1,217,L/-,5,April 20 1992,ferlami01
88,Adam Gaudette,C,6-1,170,R/-,2,October 3 1996,gaudead01
77,Nikolay Goldobin,LW,5-11,196,L/-,4,October 7 1995,goldoni01
44,Tyler Graovac,C,6-5,208,L/-,4,April 27 1993,graovty01
53,Bo Horvat (C),C,6-0,215,L/-,5,April 5 1995,horvabo01
43,Quinn Hughes,D,5-10,175,L/-,1,October 14 1999,hughequ01
48,Olli Juolevi,D,6-2,182,L/-,R,May 5 1998,juoleol01
17,Josh Leivo,LW,6-2,192,R/-,6,May 26 1993,leivojo01
71,Zack MacEwen,C,6-3,205,R/-,1,July 8 1996,macewza01
25,Jacob Markstrom,G,6-6,206,-/L,9,January 31 1990,marksja02
9,J.T. Miller,C,6-1,218,L/-,7,March 14 1993,millejt01
64,Tyler Motte,C,5-10,192,L/-,3,March 10 1995,mottety01
57,Tyler Myers,D,6-8,229,R/-,10,February 1 1990,myersty01
70,Tanner Pearson,LW,6-1,201,L/-,6,August 10 1992,pearsta01
40,Elias Pettersson,C,6-2,176,L/-,1,November 12 1998,petteel01
26,Antoine Roussel,LW,5-11,199,L/-,7,November 21 1989,roussan01
29,Ashton Sautner,D,6-1,195,L/-,2,May 27 1994,sautnas01
59,Tim Schaller,LW,6-2,204,L/-,5,November 16 1990,schalti01
51,Troy Stecher,D,5-10,186,R/-,3,April 7 1994,stechtr01
20,Brandon Sutter,C/RW,6-3,190,R/-,11,February 14 1989,suttebr03
8,Chris Tanev,D,6-2,193,R/-,9,December 20 1989,tanevch01
73,Tyler Toffoli,C,6-0,198,R/-,7,April 24 1992,toffoty01
18,Jake Virtanen,RW,6-1,226,R/-,4,August 17 1996,virtaja01
