 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
4,Rasmus Andersson,D,6-1,214,R/-,3,October 27 1996,anderra01
11,Mikael Backlund,C,6-0,200,L/-,11,March 17 1989,backlmi01
93,Sam Bennett,C,6-1,195,L/-,5,June 20 1996,bennesa01
7,T.J. Brodie,D,6-2,187,L/-,9,June 7 1990,broditj01
27,Austin Czarnik,C,5-9,170,R/-,3,December 12 1992,czarnau01
6,Brandon Davidson,D,6-2,209,L/-,5,August 21 1991,davidbr01
29,Dillon Dube,C,5-11,187,L/-,1,July 20 1998,dubedi01
20,Derek Forbort,D,6-4,208,L/-,4,March 4 1992,forbode01
67,Michael Frolik,LW,6-1,190,L/-,11,February 17 1988,frolimi01
13,Johnny Gaudreau,LW,5-9,165,L/-,6,August 13 1993,gaudrjo01
5,Mark Giordano (C),D,6-0,205,L/-,13,October 3 1983,giordma01
56,Erik Gustafsson,D,6-0,197,L/-,3,March 14 1992,gustaer02
24,Travis Hamonic,D,6-1,200,R/-,9,August 16 1990,hamontr01
55,Noah Hanifin,D,6-3,215,L/-,4,January 25 1997,hanifno01
77,Mark Jankowski,C,6-4,212,L/-,3,September 13 1994,jankoma01
58,Oliver Kylington,D,6-0,183,L/-,2,May 19 1997,kylinol01
28,Elias Lindholm,C,6-1,195,R/-,6,December 2 1994,lindhel01
17,Milan Lucic,LW,6-3,231,L/-,12,June 7 1988,lucicmi01
88,Andrew Mangiapane,LW,5-10,184,L/-,2,April 4 1996,mangian01
23,Sean Monahan,C,6-2,196,L/-,6,October 12 1994,monahse01
89,Alan Quine,C,6-0,203,L/-,4,February 25 1993,quineal01
16,Tobias Rieder,C,5-11,189,L/-,5,January 10 1993,riedeto01
36,Zac Rinaldo,C,5-10,192,L/-,7,June 15 1990,rinalza01
33,David Rittich,G,6-3,206,-/-,3,August 19 1992,rittida01
53,Buddy Robinson,RW,6-6,232,R/-,2,August 30 1991,robinbu01
10,Derek Ryan,C,5-10,185,R/-,4,December 29 1986,ryande01
26,Michael Stone,D,6-3,210,R/-,8,June 7 1990,stonemi01
39,Cam Talbot,G,6-4,201,-/-,6,July 5 1987,talboca01
19,Matthew Tkachuk,LW,6-2,201,L/-,3,December 11 1997,tkachma01
45,Alexander Yelesin,D,6-0,195,R/-,R,February 7 1996,yelesal01
