 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
45,Jake Bischoff,D,6-0,197,L/-,R,July 25 1994,bischja01
38,Patrick Brown,C,6-1,210,R/-,3,May 29 1992,brownpa02
28,William Carrier,LW,6-2,218,L/-,3,December 20 1994,carriwi01
21,Nick Cousins,C,5-11,192,L/-,5,June 20 1993,cousini01
35,Oscar Dansk,G,6-3,204,-/-,1,February 28 1994,danskos01
21,Cody Eakin,C,6-0,196,L/-,8,May 24 1991,eakinco01
5,Deryk Engelland,D,6-2,212,R/-,10,April 3 1982,engelde01
29,Marc-Andre Fleury,G,6-2,185,-/L,15,November 28 1984,fleurma01
9,Cody Glass,C,6-3,206,R/-,R,April 1 1999,glassco01
14,Nicolas Hague,D,6-6,215,L/-,R,December 5 1998,hagueni01
22,Nick Holden,D,6-4,210,L/-,8,May 15 1987,holdeni01
71,William Karlsson,C,6-1,189,L/-,5,January 8 1993,karlswi01
55,Keegan Kolesar,RW,6-2,227,R/-,R,April 8 1997,koleske01
90,Robin Lehner,G,6-4,240,-/L,9,July 24 1991,lehnero01
81,Jonathan Marchessault,C,5-9,180,R/-,6,December 27 1990,audymjo01
23,Alec Martinez,D,6-1,209,L/-,10,July 26 1987,martial01
3,Brayden McNabb,D,6-4,212,L/-,7,January 21 1991,mcnabbr01
15,Jonathon Merrill,D,6-3,196,L/-,6,February 3 1992,merrijo01
92,Tomas Nosek,C,6-3,205,L/-,4,September 1 1992,nosekto01
67,Max Pacioretty,LW,6-2,206,L/-,11,November 20 1988,pacioma01
73,Brandon Pirri,C,6-0,186,L/-,9,April 10 1991,pirribr01
72,Gage Quinney,F,5-11,200,L/-,R,July 29 1995,quinnga01
75,Ryan Reaves,RW,6-2,225,R/-,9,January 20 1987,reavery01
10,Nicolas Roy,C,6-4,205,R/-,2,February 5 1997,royni01
88,Nate Schmidt,D,6-0,192,L/-,6,July 16 1991,schmina01
19,Reilly Smith,RW,6-1,180,L/-,8,April 1 1991,smithre01
40,Garret Sparks,G,6-3,205,-/-,2,June 28 1993,sparkga01
26,Paul Stastny,C,6-0,193,L/-,13,December 27 1985,stastpa01
20,Chandler Stephenson,C,6-0,203,L/-,4,April 22 1994,stephch02
61,Mark Stone,RW,6-4,219,R/-,7,May 13 1992,stonema01
30,Malcolm Subban,G,6-2,200,-/-,4,December 21 1993,subbama01
27,Shea Theodore,D,6-2,195,L/-,4,August 3 1995,theodsh01
89,Alex Tuch,RW,6-4,219,R/-,3,May 10 1996,tuchal01
2,Zach Whitecloud,D,6-2,208,R/-,1,November 28 1996,whiteza01
7,Valentin Zykov,LW,6-0,200,R/-,3,May 15 1995,zykovva01
