 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
12,Josh Bailey,C,6-1,200,L/-,11,October 2 1989,bailejo01
34-42,Cole Bardreau,F,6-0,186,R/-,R,July 22 1993,bardrco01
13,Mathew Barzal,C,6-1,190,R/-,3,May 26 1997,barzama01
18,Anthony Beauvillier,LW,5-11,180,L/-,3,June 8 1997,beauvan01
20,Kieffer Bellows,LW,6-1,195,L/-,R,June 10 1998,belloki01
55,Johnny Boychuk,D,6-2,227,R/-,12,January 19 1984,boychjo01
10,Derick Brassard,C,6-1,202,L/-,12,September 22 1987,brassde01
53,Casey Cizikas,C,5-11,190,L/-,8,February 27 1991,cizikca01
15,Cal Clutterbuck,RW,6-0,212,R/-,12,November 18 1987,cluttca01
28,Michael Dal Colle,LW,6-3,195,L/-,2,June 20 1996,dalcomi01
8,Noah Dobson,D,6-4,194,R/-,R,January 7 2000,dobsono01
7,Jordan Eberle,RW,5-11,187,R/-,9,May 15 1990,eberljo01
4,Andy Greene,D,5-11,190,L/-,13,October 30 1982,greenan01
1,Thomas Greiss,G,6-2,232,-/L,10,January 29 1986,greisth01
32,Ross Johnston,LW,6-5,230,L/-,3,February 18 1994,johnsro02
21,Otto Koivula,LW,6-5,225,L/-,R,September 1 1998,koivuot01
47,Leo Komarov,C,5-11,205,L/-,6,January 23 1987,komarle01
14,Tom Kuhnhackl,RW,6-2,190,L/-,4,January 21 1992,kuhnhto01
16,Andrew Ladd,LW,6-3,205,L/-,14,December 12 1985,laddan01
2,Nick Leddy,D,6-0,206,L/-,9,March 20 1991,leddyni01
27,Anders Lee (C),LW,6-3,235,L/-,7,July 3 1990,leean01
17,Matt Martin,LW,6-3,220,L/-,10,May 8 1989,martima02
24,Scott Mayfield,D,6-5,220,R/-,5,October 14 1992,mayfisc01
29,Brock Nelson,C,6-4,201,L/-,6,October 15 1991,nelsobr01
44,Jean-Gabriel Pageau,C,5-11,185,R/-,7,November 11 1992,pageaje01
3,Adam Pelech,D,6-3,210,L/-,4,August 16 1994,pelecad01
6,Ryan Pulock,D,6-2,216,R/-,4,October 6 1994,pulocry01
25,Devon Toews,D,6-1,191,L/-,1,February 21 1994,toewsde01
40,Semyon Varlamov,G,6-2,210,-/L,11,April 27 1988,varlasi01
26,Oliver Wahlstrom,RW,6-2,204,R/-,R,June 13 2000,wahlsol01
