 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
82,Mason Appleton,C,6-2,193,R/-,1,January 15 1996,applema01
88,Nathan Beaulieu,D,6-2,205,L/-,7,December 5 1992,beaulna01
2,Anthony Bitetto,D,6-1,210,L/-,5,July 15 1990,bitetan01
57,Gabriel Bourque,LW,5-10,206,L/-,8,September 23 1990,bourqga01
30,Laurent Brossoit,G,6-3,204,-/-,5,March 23 1993,brossla01
76,Andrei Chibisov,F,6-4,227,L/-,R,February 26 1993,chibian01
81,Kyle Connor,LW,6-1,183,L/-,3,December 9 1996,connoky01
9,Andrew Copp,C,6-1,199,L/-,5,July 8 1994,coppan01
23,Carl Dahlstrom,D,6-4,231,L/-,2,January 28 1995,dahlsca01
12,Dylan DeMelo,D,6-1,194,R/-,4,May 1 1993,demeldy01
20,Cody Eakin,C,6-0,196,L/-,8,May 24 1991,eakinco01
27,Nikolaj Ehlers,LW,6-0,172,L/-,4,February 14 1996,ehlerni01
19,David Gustafsson,C,6-2,196,L/-,R,April 11 2000,gustada01
58,Jansen Harkins,C,6-2,195,L/-,R,May 23 1997,harkija01
14,Ville Heinola,D,6-0,181,L/-,R,March 2 2001,heinovi01
37,Connor Hellebuyck,G,6-4,207,-/-,4,May 19 1993,helleco01
7,Dmitry Kulikov,D,6-1,204,L/-,10,October 29 1990,kulikdm01
29,Patrik Laine,RW,6-5,205,R/-,3,April 19 1998,lainepa01
22,Mark Letestu,C,5-10,195,R/-,10,February 4 1985,letesma01
18,Bryan Little,RW,6-0,191,R/-,12,November 12 1987,littlbr01
17,Adam Lowry,LW,6-5,210,L/-,5,March 29 1993,lowryad01
46,Joona Luoto,F,6-3,192,L/-,R,September 26 1997,luotojo01
44,Josh Morrissey,D,6-0,195,L/-,4,March 28 1995,morrijo04
8,Sami Niku,D,6-1,194,L/-,2,October 10 1996,nikusa01
85,Mathieu Perreault,C,5-10,188,L/-,10,January 5 1988,perrema01
4,Neal Pionk,D,6-0,190,R/-,2,July 29 1995,pionkne01
3,Tucker Poolman,D,6-2,199,R/-,1,June 8 1993,poolmtu01
28,Jack Roslovic,C,6-1,187,R/-,3,January 29 1997,rosloja01
5,Luca Sbisa,D,6-3,204,L/-,11,January 30 1990,sbisalu01
55,Mark Scheifele,C,6-3,207,R/-,8,March 15 1993,scheima01
38,Logan Shaw,RW,6-3,208,R/-,3,October 5 1991,shawlo01
21,Nick Shore,C,6-1,195,R/-,4,September 26 1992,shoreni01
73,C.J. Suess,LW,5-11,190,L/-,R,March 17 1994,frankcl01
26,Blake Wheeler (C),RW,6-5,225,R/-,11,August 31 1986,wheelbl01
