 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
46,Pontus Aberg,LW,6-0,194,R/-,3,September 23 1993,abergpo01
31,Frederik Andersen,G,6-4,229,-/-,6,October 2 1989,anderfr01
94,Tyson Barrie,D,5-11,197,R/-,8,July 26 1991,barrity01
77,Adam Brooks,C,6-0,179,L/-,R,May 6 1996,brookad01
36,Jack Campbell,G,6-2,197,-/-,4,January 9 1992,campbja01
83,Cody Ceci,D,6-2,210,R/-,6,December 21 1993,cecico01
73,Kyle Clifford,LW,6-2,211,L/-,9,January 13 1991,cliffky01
23,Travis Dermott,D,6-0,205,L/-,2,December 22 1996,dermotr01
47,Pierre Engvall,LW,6-5,219,L/-,R,May 31 1996,engvapi01
33,Frederik Gauthier,C,6-5,239,L/-,4,April 26 1995,gauthfr01
25,Kevin Gravel,D,6-4,205,L/-,4,March 6 1992,graveke01
3,Justin Holl,D,6-3,197,R/-,2,January 30 1992,hollju01
30,Michael Hutchinson,G,6-3,198,-/-,6,March 2 1990,hutchmi01
11,Zach Hyman,C,6-1,211,R/-,4,June 9 1992,hymanza01
18,Andreas Johnsson,LW,5-10,194,L/-,2,November 21 1994,johnsan01
24,Kasperi Kapanen,RW,6-1,194,R/-,4,July 23 1996,kapanka01
50,Kasimir Kaskisuo,G,6-2,205,-/L,R,October 2 1993,kaskika01
15,Alexander Kerfoot,C,5-11,186,L/-,2,August 11 1994,kerfoal01
96,Egor Korshkov,F,6-3,179,L/-,R,July 10 1996,korsheg01
37,Timothy Liljegren,D,6-1,192,R/-,R,April 30 1999,liljeti01
62,Denis Malgin,C,5-9,177,R/-,3,January 18 1997,malgide01
20-36,Mason Marchment,F,6-4,209,L/-,R,June 18 1995,marchma01
52,Martin Marincin,D,6-5,217,L/-,6,February 18 1992,marinma01
16,Mitch Marner,RW,6-0,181,R/-,3,May 5 1997,marnemi01
34,Auston Matthews,C,6-3,208,L/-,3,September 17 1997,matthau01
65,Ilya Mikheyev,F,6-3,195,L/-,R,October 10 1994,mikheil01
42,Trevor Moore,LW,5-10,185,L/-,1,March 31 1995,mooretr01
8,Jake Muzzin,D,6-3,227,L/-,8,February 21 1989,muzzija01
88,William Nylander,C,6-0,204,R/-,4,May 1 1996,nylanwi01
61,Nic Petan,C,5-9,175,L/-,4,March 22 1995,petanni01
44,Morgan Rielly,D,6-1,222,L/-,6,March 9 1994,riellmo01
89,Nicholas Robertson,LW,5-9,183,L/-,R,September 11 2001,roberni01
48,Calle Rosen,D,6-1,188,L/-,2,February 2 1994,rosenca01
38,Rasmus Sandin,D,5-11,182,L/-,R,March 7 2000,sandira01
26,Nick Shore,C,6-1,195,R/-,4,September 26 1992,shoreni01
19,Jason Spezza,C,6-3,216,R/-,16,June 13 1983,spezzja01
91,John Tavares (C),C,6-1,216,L/-,10,September 20 1990,tavarjo01
41,Dmytro Timashov,LW,5-10,192,L/-,R,October 1 1996,timasdm01
