 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
15,Josh Archibald,RW,5-10,176,R/-,4,October 6 1992,archijo01
28,Andreas Athanasiou,C,6-2,190,L/-,4,August 6 1994,athanan01
74,Ethan Bear,D,5-11,197,R/-,1,June 26 1997,bearet01
83,Matt Benning,D,6-1,202,R/-,3,May 25 1994,bennima01
49,Tyler Benson,LW,5-11,190,L/-,R,March 15 1998,bensoty01
12,Colby Cave,C,6-1,200,L/-,2,December 26 1994,caveco01
39,Alex Chiasson,RW,6-3,208,R/-,7,October 1 1990,chiasal01
29,Leon Draisaitl,C,6-2,208,L/-,5,October 27 1995,draisle01
63,Tyler Ennis,C,5-9,161,L/-,10,October 6 1989,ennisty01
89,Sam Gagner,C,5-11,200,R/-,12,August 10 1989,gagnesa01
60,Markus Granlund,C,6-0,180,L/-,6,April 16 1993,granlma01
27,Mike Green,D,6-1,210,R/-,14,October 12 1985,greenmi03
91,Gaetan Haas,F,6-0,181,R/-,R,January 31 1992,haasga01
82,Caleb Jones,D,6-1,194,L/-,1,June 6 1997,jonesca01
92,Tomas Jurco,RW,6-1,188,L/-,5,December 28 1992,jurcoto01
44,Zack Kassian,RW,6-3,211,R/-,8,January 24 1991,kassiza01
16,Jujhar Khaira,LW,6-4,212,L/-,4,August 13 1994,khairju01
77,Oscar Klefbom,D,6-3,216,L/-,6,July 20 1993,klefbos01
19,Mikko Koskinen,G,6-7,202,-/L,2,July 18 1988,koskimi01
84-89,William Lagesson,D,6-2,207,L/-,R,February 22 1996,lageswi01
6,Adam Larsson,D,6-3,208,R/-,8,November 12 1992,larssad01
26,Brandon Manning,D,6-1,205,L/-,7,June 4 1990,mannibr01
97,Connor McDavid (C),C,6-1,193,L/-,4,January 13 1997,mcdavco01
18,James Neal,LW,6-3,212,L/-,11,September 3 1987,nealja01
93,Ryan Nugent-Hopkins,C,6-0,184,L/-,8,April 12 1993,nugenry01
25,Darnell Nurse,D,6-4,221,L/-,5,February 4 1995,nurseda01
10,Joakim Nygard,F,6-0,179,L/-,R,January 8 1993,nygarjo01
36,Joel Persson,D,5-11,187,R/-,R,March 4 1994,perssjo02
4,Kris Russell,D,5-10,170,L/-,12,May 2 1987,russekr01
52,Patrick Russell,RW,6-1,203,R/-,1,January 4 1993,russepa01
23,Riley Sheahan,C,6-2,216,L/-,8,December 7 1991,sheahri01
41,Mike Smith,G,6-5,220,-/L,13,March 22 1982,smithmi01
56,Kailer Yamamoto,RW,5-8,153,R/-,2,September 29 1998,yamamka01
