 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
33,Viktor Arvidsson,LW,5-10,185,R/-,5,April 8 1993,arvidvi01
42,Colin Blackwell,C,5-9,190,R/-,1,March 28 1993,blackco01
13,Nick Bonino,C,6-1,195,L/-,10,April 20 1988,boninni01
26,Daniel Carr,LW,6-0,186,L/-,4,November 1 1991,carrda01
45,Alexandre Carrier,D,5-11,174,R/-,1,October 8 1996,carrial01
95,Matt Duchene,C,5-11,195,L/-,10,January 16 1991,duchema01
14,Mattias Ekholm,D,6-4,215,L/-,8,May 24 1990,ekholma01
4,Ryan Ellis,D,5-10,180,R/-,8,January 3 1991,ellisry01
57,Dante Fabbro,D,6-0,189,R/-,1,June 20 1998,fabbrda01
9,Filip Forsberg,C,6-1,205,R/-,7,August 13 1994,forsbfi01
64,Mikael Granlund,C,5-10,185,L/-,7,February 26 1992,granlmi01
23,Rocco Grimaldi,C,5-6,180,R/-,5,February 8 1993,grimaro01
5,Dan Hamhuis,D,6-1,204,L/-,15,December 13 1982,hamhuda01
22,Korbinian Holzer,D,6-3,206,R/-,7,February 16 1988,holzeko01
52,Matt Irwin,D,6-2,189,L/-,7,November 29 1987,irwinma01
19,Calle Jarnkrok,C,6-0,192,R/-,6,September 25 1991,jarnkca01
92,Ryan Johansen,C,6-3,218,R/-,8,July 31 1992,johanry01
59,Roman Josi (C),D,6-1,201,L/-,8,June 1 1990,josiro01
25,Mathieu Olivier,F,6-2,210,R/-,R,February 11 1997,olivima01
90,Anthony Richard,C,5-10,163,L/-,1,December 20 1996,richaan01
35,Pekka Rinne,G,6-5,217,-/L,13,November 3 1982,rinnepe01
20,Miikka Salomaki,RW,5-11,203,L/-,5,March 9 1993,salommi01
3,Steven Santini,D,6-2,209,R/-,4,March 7 1995,santist01
74,Juuse Saros,G,5-11,180,-/-,4,April 19 1995,sarosju01
10,Colton Sissons,C,6-1,200,R/-,5,November 5 1993,sissoco01
15,Craig Smith,C,6-0,204,R/-,8,September 5 1989,smithcr01
24,Jarred Tinordi,D,6-6,229,L/-,4,February 20 1992,tinorja01
32,Yakov Trenin,C,6-2,201,L/-,R,January 13 1997,treniya01
8,Kyle Turris,C,6-1,190,R/-,11,August 14 1989,turriky01
51,Austin Watson,LW,6-4,204,R/-,5,January 13 1992,watsoau01
7,Yannick Weber,D,5-11,200,R/-,11,September 23 1988,weberya01
