 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
28,Lias Andersson,C,5-11,190,L/-,2,October 13 1998,anderli01
89,Pavel Buchnevich,LW,6-3,196,L/-,3,April 17 1995,buchnpa01
72,Filip Chytil,C,6-2,206,L/-,2,September 5 1999,chytifi01
77,Anthony DeAngelo,D,5-11,180,R/-,3,October 24 1995,deangan01
28-33,Phillip Di Giuseppe,LW,6-0,193,L/-,4,October 9 1993,digiuph01
17,Jesper Fast,RW,6-1,191,R/-,6,December 2 1991,fastje01
29,Steven Fogarty,C,6-3,204,R/-,2,April 19 1993,fogarst01
23,Adam Fox,D,,,R/-,R,February 17 1998,foxad01
12,Julien Gauthier,RW,6-4,227,R/-,R,October 15 1997,gauthju01
40,Alexandar Georgiev,G,6-1,177,-/L,2,February 10 1996,georgal01
25-26,Timothy Gettinger,LW,6-6,218,L/-,1,April 14 1998,gettiti01
25,Libor Hajek,D,6-2,203,L/-,1,February 4 1998,hajekli01
38,Micheal Haley,C,5-11,205,L/-,9,March 30 1986,haleymi01
21,Brett Howden,C,6-3,200,L/-,1,March 29 1998,howdebr01
24,Kaapo Kakko,RW,6-3,199,L/-,R,February 13 2001,kakkoka01
20,Chris Kreider,LW,6-3,217,L/-,7,April 30 1991,kreidch01
48,Brendan Lemieux,LW,6-1,215,L/-,2,March 15 1996,lemiebr01
55,Ryan Lindgren,D,6-0,191,L/-,1,February 11 1998,lindgry01
30,Henrik Lundqvist,G,6-1,182,-/L,14,March 2 1982,lundqhe01
14,Greg McKegg,C,6-0,194,L/-,6,June 17 1992,mckeggr01
90,Vladislav Namestnikov,C,6-0,184,L/-,6,November 22 1992,namesvl01
15,Boo Nieves,C,6-3,210,L/-,3,January 23 1994,nievecr01
10,Artemi Panarin,LW,5-11,170,R/-,4,October 30 1991,panarar01
31,Igor Shesterkin,G,6-2,181,L/-,R,December 30 1995,shestig01
76,Brady Skjei,D,6-3,210,L/-,4,March 26 1994,skjeibr01
42,Brendan Smith,D,6-2,201,L/-,8,February 8 1989,smithbr05
18,Marc Staal,D,6-4,213,L/-,12,January 13 1987,staalma01
16,Ryan Strome,C,6-1,193,R/-,6,July 11 1993,stromry01
8,Jacob Trouba,D,6-3,209,R/-,6,February 26 1994,troubja01
93,Mika Zibanejad,C,6-2,208,R/-,8,April 18 1993,zibanmi01
