Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
8,Justin Abdelkader,LW,6-2,213,L/-,12,February 25 1987,abdelju01
72,Andreas Athanasiou,C,6-2,190,L/-,4,August 6 1994,athanan01
45,Jonathan Bernier,G,6-0,185,-/L,11,August 7 1988,bernijo01
59,Tyler Bertuzzi,LW,6-1,186,L/-,3,February 24 1995,bertuty01
3,Alex Biega,D,5-10,199,R/-,5,April 4 1988,biegaal01
74,Madison Bowey,D,6-2,202,R/-,2,April 22 1995,boweyma01
21,Dennis Cholowski,D,6-2,210,L/-,1,February 15 1998,cholode01
34,Eric Comrie,G,6-1,183,-/-,3,July 6 1995,comrier01
83,Trevor Daley,D,5-11,199,L/-,15,October 9 1983,daleytr01
61,Jacob de La Rose,LW,6-3,215,L/-,5,May 20 1995,delarja01
65,Danny DeKeyser,D,6-3,190,L/-,7,March 7 1990,dekeyda01
70,Christoffer Ehn,C,6-3,195,L/-,1,April 4 1996,ehnch01
52,Jonathan Ericsson,D,6-4,218,L/-,12,March 2 1984,ericsjo01
73,Adam Erne,LW,6-1,212,L/-,3,April 20 1995,ernead01
14,Robby Fabbri,C,5-11,185,L/-,3,January 22 1996,fabbrro01
51,Valtteri Filppula,C,6-0,189,L/-,14,March 20 1984,filppva01
89,Sam Gagner,C,5-11,200,R/-,12,August 10 1989,gagnesa01
41,Luke Glendening,C,5-11,190,R/-,6,April 28 1989,glendlu01
26,Cody Goloubef,D,6-1,190,R/-,7,November 30 1989,golouco01
25,Mike Green,D,6-1,210,R/-,14,October 12 1985,greenmi03
43,Darren Helm,C/LW,6-0,192,L/-,12,January 21 1987,helmda01
2,Joe Hicketts,D,5-8,180,L/-,2,May 4 1996,hickejo01
53-67,Taro Hirose,LW,5-10,162,L/-,1,June 30 1996,hirosta01
35,Jimmy Howard,G,6-1,218,-/L,13,March 26 1984,howarja02
17,Filip Hronek,D,6-0,190,R/-,1,November 2 1997,hronefi01
71,Dylan Larkin,C,6-1,198,L/-,4,July 30 1996,larkidy01
32,Brian Lashoff,D,6-3,213,L/-,6,July 16 1990,lashobr01
28,Gustav Lindstrom,D,6-2,186,R/-,R,October 20 1998,lindsgu01
39,Anthony Mantha,RW,6-5,234,L/-,4,September 16 1994,manthan01
20,Dylan McIlrath,D,6-4,235,R/-,5,April 20 1992,mcilrdy01
22,Patrik Nemeth,D,6-3,228,L/-,6,February 8 1992,nemetpa01
81,Frans Nielsen,C,6-1,186,L/-,13,April 24 1984,nielsfr01
29,Brendan Perlini,LW,6-3,211,L/-,3,April 27 1996,perlibr01
31,Calvin Pickard,G,6-1,210,-/-,5,April 15 1992,pickaca01
48,Givani Smith,RW,6-2,214,L/-,R,February 28 1998,smithgi01
37,Evgeny Svechnikov,LW,6-3,207,L/-,2,October 31 1996,svechev01
15,Dmytro Timashov,LW,5-10,192,L/-,R,October 1 1996,timasdm01
11,Filip Zadina,RW,6-0,190,L/-,1,November 27 1999,zadinfi01
