 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
74,Rasmus Asplund,F,5-11,189,L/-,R,December 3 1997,asplura01
4,Zach Bogosian,D,6-2,222,R/-,11,July 15 1990,bogosza01
26,Rasmus Dahlin,D,6-3,202,L/-,1,April 13 2000,dahlira01
15,Jean-Sebastien Dea,C,5-11,168,R/-,3,February 8 1994,deaje01
9,Jack Eichel (C),C,6-2,213,R/-,4,October 28 1996,eicheja01
67,Michael Frolik,LW,6-1,190,L/-,11,February 17 1988,frolimi01
58,John Gilmour,D,6-0,195,L/-,2,May 17 1993,gilmojo01
28,Zemgus Girgensons,C,6-2,200,L/-,6,January 5 1994,girgeze01
40,Carter Hutton,G,6-0,208,-/L,7,December 19 1985,huttoca01
34,Jonas Johansson,G,6-5,220,L/-,R,September 19 1995,johanjo03
90,Marcus Johansson,C/W,6-1,203,L/-,9,October 6 1990,johanma03
10,Henri Jokiharju,D,6-0,200,R/-,1,June 17 1999,jokihhe01
24-95,Dominik Kahun,C,5-11,175,L/-,1,July 2 1995,kahundo01
22,Johan Larsson,LW/C,5-11,198,L/-,7,July 25 1992,larssjo02
27,Curtis Lazar,C/RW,6-0,193,R/-,5,February 2 1995,lazarcu01
19,Jake McCabe,D,6-1,204,L/-,6,October 12 1993,mccabja01
33,Colin Miller,D,6-1,199,R/-,4,October 29 1992,milleco02
37,Casey Mittelstadt,C,6-1,195,L/-,2,November 22 1998,mitteca01
62,Brandon Montour,D,6-0,194,R/-,3,April 11 1994,montobr01
21,Kyle Okposo,RW,6-0,218,R/-,12,April 16 1988,okposky01
68,Victor Olofsson,RW,5-11,181,L/-,1,July 18 1995,olofsvi01
24,Lawrence Pilut,D,5-11,180,L/-,1,December 30 1995,pilutla01
23,Sam Reinhart,C,6-2,193,R/-,5,November 6 1995,reinhsa01
55,Rasmus Ristolainen,D,6-4,220,R/-,6,October 27 1994,ristora01
71,Evan Rodrigues,C,5-11,184,R/-,4,July 28 1993,rodriev01
6,Marco Scandella,D,6-3,211,L/-,9,February 23 1990,scandma01
43,Conor Sheary,LW,5-9,178,L/-,4,June 8 1992,shearco01
17,Wayne Simmonds,RW,6-2,184,R/-,11,August 26 1988,simmowa01
53,Jeff Skinner,LW/C,5-11,197,L/-,9,May 16 1992,skinnje01
67,Dalton Smith,LW,6-2,206,-/-,R,June 30 1992,smithda03
17,Vladimir Sobotka,C,5-10,184,L/-,10,July 2 1987,sobotvl01
72,Tage Thompson,C,6-6,220,R/-,2,October 30 1997,thompta01
35,Linus Ullmark,G,6-5,212,-/-,4,July 31 1993,ullmali01
13,Jimmy Vesey,LW,6-3,202,L/-,3,May 26 1993,veseyji02
20,Scott Wilson,C/LW,5-11,177,L/-,5,April 24 1992,wilsosc01
