Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
45,Lean Bergmann,F,6-2,205,L/-,R,October 4 1998,bergmle01
86,Joachim Blichfeld,W,6-2,190,R/-,R,July 17 1998,blichjo01
22,Jonny Brodzinski,C,6-1,215,R/-,3,June 19 1993,brodzjo01
88,Brent Burns,D/RW,6-5,230,R/-,15,March 9 1985,burnsbr01
47,Trevor Carrick,D,6-2,171,L/-,3,July 4 1994,carritr01
39,Logan Couture (C),C,6-1,200,L/-,10,March 28 1989,coutulo01
6-21,Brandon Davidson,D,6-2,209,L/-,5,August 21 1991,davidbr01
30,Aaron Dell,G,6-0,209,-/-,3,May 4 1989,dellaa01
4,Brenden Dillon,D,6-4,225,L/-,8,November 13 1990,dillobr01
38,Mario Ferraro,D,5-11,185,L/-,R,September 17 1998,ferrama01
7,Dylan Gambrell,C,5-11,185,R/-,2,August 26 1996,gambrdy01
23,Barclay Goodrow,RW,6-2,203,L/-,5,February 26 1993,goodrba01
73,Noah Gregor,C,6-0,185,L/-,R,July 28 1998,gregono01
72,Tim Heed,D,5-11,180,R/-,3,January 27 1991,heedti01
48,Tomas Hertl,C,6-2,215,L/-,6,November 12 1993,hertlto01
31,Martin Jones,G,6-4,190,-/-,6,January 10 1990,jonesma02
9,Evander Kane,LW,6-2,210,L/-,10,August 2 1991,kaneev01
65,Erik Karlsson,D,6-0,190,R/-,10,May 31 1990,karlser01
68,Melker Karlsson,C,6-0,180,R/-,5,July 18 1990,karlsme01
46,Joel Kellman,F,5-11,175,L/-,R,May 25 1994,kellmjo01
71,Nikolai Knyzhov,D,6-3,200,L/-,R,March 20 1998,knyzhni01
62,Kevin Labanc,RW,5-11,185,R/-,3,December 12 1995,labanke01
84,Maxim Letunov,C,6-4,180,L/-,R,February 20 1996,letunma01
12,Patrick Marleau,C,6-2,218,L/-,21,September 15 1979,marlepa01
28,Timo Meier,RW,6-0,210,L/-,3,October 8 1996,meierti01
67,Jacob Middleton,D,6-3,219,L/-,1,January 2 1996,middlja01
11-14,Stefan Noesen,RW,6-1,205,R/-,5,February 12 1993,noesest01
5,Dalton Prout,D,6-3,215,R/-,8,March 13 1990,proutda01
52,Lukas Radil,C,6-4,200,R/-,1,August 5 1990,radillu01
51,Radim Simek,D,6-0,200,L/-,1,September 20 1992,simekra01
20,Marcus Sorensen,RW,5-11,175,L/-,3,April 7 1992,sorenma01
40,Antti Suomela,C,6-0,180,L/-,1,March 17 1994,suomean01
19,Joe Thornton,C,6-4,220,L/-,21,July 2 1979,thornjo01
70,Alexander True,F,6-5,200,-/-,R,July 17 1997,trueal01
44,Marc-Edouard Vlasic,D,6-1,205,L/-,13,March 30 1987,vlasima01
75,Danil Yurtaykin,F,5-11,170,L/-,R,July 1 1997,yurtada01
