 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
16,Derick Brassard,C,6-1,200,L/-,13,September 22 1987,brassde01
58,Michael Bunting,LW,6-0,192,L/-,1,September 17 1995,buntimi01
91,Drake Caggiula,LW,5-10,176,L/-,4,June 20 1994,caggidr01
75,Kyle Capobianco,D,6-1,196,L/-,3,August 13 1997,capobky01
26,Michael Chaput,C,6-2,199,L/-,7,April 9 1992,chapumi01
6,Jakob Chychrun,D,6-2,211,L/-,4,March 31 1998,chychja01
67,Lawson Crouse,LW,6-4,220,L/-,4,June 23 1997,crousla01
55,Jason Demers,D,6-1,195,R/-,11,June 9 1988,demerja01
18,Christian Dvorak,C,6-1,193,L/-,4,February 2 1996,dvorach01
23,Oliver Ekman-Larsson (C),D,6-2,200,L/-,10,July 17 1991,ekmanol01
24,Hudson Fasching,RW,6-3,204,R/-,3,July 28 1995,faschhu01
36,Christian Fischer,RW,6-2,214,R/-,4,April 15 1997,fischch01
83,Conor Garland,RW,5-10,165,R/-,2,March 11 1996,garlaco01
34,Frederik Gauthier,C,6-5,239,L/-,5,April 26 1995,gauthfr01
33,Alex Goligoski,D,5-11,185,L/-,13,July 30 1985,goligal01
79,Jordan Gross,D,5-10,190,R/-,1,May 9 1995,grossjo01
15,John Hayden,C,6-3,223,R/-,4,February 14 1995,haydejo01
29,Barrett Hayton,C,6-1,209,L/-,1,June 9 2000,haytoba01
31,Adin Hill,G,6-6,200,-/L,3,May 11 1996,hillad01
4,Niklas Hjalmarsson,D,6-3,197,L/-,13,June 6 1987,hjalmni01
28,Dryden Hunt,LW,6-0,193,L/-,3,November 24 1995,huntdr01
73,Jan Jenik,RW,6-1,165,L/-,R,September 15 2000,jenikja01
9,Clayton Keller,C,5-10,170,L/-,4,July 29 1998,kellecl01
81,Phil Kessel,RW,6-0,223,R/-,14,October 2 1987,kesseph01
35,Darcy Kuemper,G,6-5,215,-/L,8,May 5 1990,kuempda01
22,Johan Larsson,LW/C,5-11,198,L/-,8,July 25 1992,larssjo02
46,Ilya Lyubushkin,D,6-2,200,R/-,2,April 6 1994,lyubuil01
42,Aaron Ness,D,5-10,184,L/-,6,May 18 1990,nessaa01
82,Jordan Oesterle,D,6-0,187,L/-,6,June 25 1992,oestejo01
93,Lane Pederson,F,6-0,192,R/-,R,August 4 1997,pederla01
17,Tyler Pitlick,C,6-2,200,R/-,6,November 1 1991,pitlity01
50,Ivan Prosvetov,G,6-5,175,L/-,R,March 5 1999,prosviv01
32,Antti Raanta,G,6-0,198,-/-,7,May 12 1989,raantan01
8,Nick Schmaltz,C,6-0,177,R/-,4,February 23 1996,schmani01
77,Victor Soderstrom,D,6-0,183,R/-,R,February 26 2001,sodervi01
