Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
26,Andrew Agozzino,LW,5-10,187,L/-,4,January 3 1991,agozzan01
21,David Backes,C,6-3,215,R/-,14,May 1 1984,backeda01
86,Simon Benoit,D,6-3,203,L/-,R,September 19 1998,benoisi01
39,Sam Carrick,C,6-0,200,R/-,4,February 4 1992,carrisa01
53,Max Comtois,LW,6-2,210,L/-,2,January 8 1999,comtoma01
58,Chase De Leo,C,5-9,185,L/-,3,October 25 1995,deleoch01
20,Nicolas Deslauriers,LW,6-1,220,L/-,7,February 22 1991,deslani01
34,Jamie Drysdale,D,5-11,183,R/-,R,April 8 2002,drysdja01
51,Haydn Fleury,D,6-4,208,L/-,3,July 8 1996,fleurha01
4,Cam Fowler,D,6-2,215,L/-,10,December 5 1991,fowleca01
15,Ryan Getzlaf (C),C,6-4,220,R/-,15,May 10 1985,getzlry01
36,John Gibson,G,6-2,210,-/-,7,July 14 1993,gibsojo02
38,Derek Grant,C,6-3,210,L/-,7,April 20 1990,grantde01
28,Jani Hakanpaa,D,6-7,221,-/-,1,March 31 1992,hakanja01
43,Danton Heinen,C/LW,6-1,188,L/-,4,July 5 1995,heineda01
14,Adam Henrique,C,6-0,195,L/-,10,February 6 1990,henriad01
7,Ben Hutton,D,6-2,206,L/-,5,April 20 1993,huttobe01
49,Max Jones,LW,6-3,216,L/-,2,February 17 1998,jonesma03
32,Jacob Larsson,D,6-2,190,L/-,3,April 29 1997,larssja01
40-95,Vinni Lettieri,C,5-10,184,R/-,2,February 6 1995,lettivi01
47,Hampus Lindholm,D,6-4,215,L/-,7,January 20 1994,lindhha01
48,Isac Lundestrom,C,6-0,193,L/-,2,November 6 1999,lundeis01
76,Josh Mahura,D,6-0,185,L/-,2,May 5 1998,mahurjo01
42,Josh Manson,D,6-3,218,R/-,6,October 7 1991,mansojo01
12,Sonny Milano,LW,6-0,204,L/-,5,May 12 1996,milanso01
30,Ryan Miller,G,6-2,168,-/L,17,July 17 1980,millery01
67,Rickard Rakell,RW,6-1,195,R/-,8,May 5 1993,rakelri01
24,Carter Rowney,RW,6-1,208,R/-,4,May 10 1989,rowneca01
22,Kevin Shattenkirk,D,6-0,212,R/-,10,January 29 1989,shattke01
33,Jakob Silfverberg,LW,6-1,207,R/-,8,October 13 1990,silfvja01
23,Sam Steel,C,5-11,184,L/-,2,February 3 1998,steelsa01
31-41,Anthony Stolarz,G,6-6,243,-/-,3,January 20 1994,stolaan01
61,Troy Terry,C/RW,6-0,185,R/-,3,September 10 1997,terrytr01
92,Alexander Volkov,RW,6-1,193,L/-,1,August 2 1997,volkoal01
45,Andy Welinski,D,6-1,201,R/-,2,April 27 1993,welinan01
46,Trevor Zegras,C,6-0,185,L/-,R,March 20 2001,zegratr01
