 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
5,Mark Alt,D,6-4,200,R/-,3,October 18 1991,altma01
10,Michael Amadio,C,6-1,204,R/-,3,May 13 1996,amadimi01
44,Michael Anderson,D,,,L/-,1,May 25 1999,andermi02
28,Jaret Anderson-Dolan,C,5-11,188,L/-,2,September 12 1999,anderja01
24,Lias Andersson,C,5-11,190,L/-,3,October 13 1998,anderli01
22,Andreas Athanasiou,C,6-2,190,L/-,5,August 6 1994,athanan01
33,Tobias Bjornfot,D,6-0,205,L/-,1,April 6 2001,bjornto01
23,Dustin Brown,RW,6-0,210,R/-,16,November 4 1984,browndu01
55,Quinton Byfield,C,6-5,220,L/-,R,August 19 2002,byfiequ01
77,Jeff Carter,C,6-3,219,R/-,15,January 1 1985,carteje01
58,Kale Clague,D,6-0,190,L/-,1,June 5 1998,claguka01
8,Drew Doughty,D,6-1,205,R/-,12,December 8 1989,doughdr01
29,Martin Frk,RW,6-1,210,R/-,4,October 5 1993,frkma01
1,Troy Grosenick,G,6-1,181,-/-,1,August 27 1989,grosetr01
91,Carl Grundstrom,RW,6-0,200,L/-,2,December 1 1997,grundca01
19,Alex Iafallo,C,6-0,190,L/-,3,December 21 1993,iafalal01
52,Arthur Kaliyev,RW,6-2,190,L/-,R,June 26 2001,kaliyar01
9,Adrian Kempe,LW,6-2,205,L/-,4,September 13 1996,kempead01
11,Anze Kopitar (C),C,6-3,225,L/-,14,August 24 1987,kopitan01
89,Rasmus Kupari,C,6-1,183,R/-,R,March 15 2000,kuparra01
48,Brendan Lemieux,LW,6-1,215,L/-,3,March 15 1996,lemiebr01
46,Blake Lizotte,C,5-8,185,L/-,2,December 13 1997,lizotbl01
64,Matt Luff,RW,6-2,196,R/-,2,May 5 1997,luffma01
6,Olli Maatta,D,6-2,207,L/-,7,August 22 1994,maattol01
56,Kurtis MacDermid,D,6-5,233,L/-,3,March 25 1994,macdeku01
12,Trevor Moore,LW,5-10,185,L/-,2,March 31 1995,mooretr01
40,Calvin Petersen,G,6-2,185,-/R,2,October 19 1994,peterca01
32,Jonathan Quick,G,6-1,215,-/L,13,January 21 1986,quickjo01
3,Matt Roy,D,6-1,200,R/-,2,March 1 1995,royma04
43,Drake Rymsha,C,6-0,190,R/-,R,August 6 1998,rymshdr01
71,Austin Strand,D,6-3,216,R/-,R,February 17 1997,stranau01
13,Gabriel Vilardi,C,6-3,200,R/-,1,August 16 1999,vilarga01
27,Austin Wagner,LW,6-1,190,L/-,2,June 23 1997,wagneau01
26,Sean Walker,D,5-11,195,R/-,2,November 13 1994,walkese01
21-24,Christian Wolanin,D,6-2,190,L/-,3,March 17 1995,wolanch01
