 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
60,Alex Barre-Boulet,F,5-10,180,L/-,R,May 21 1997,barreal01
5,Andreas Borgman,D,6-0,200,L/-,1,June 18 1995,borgman01
81,Erik Cernak,D,6-4,224,R/-,2,May 28 1997,cernaer01
71,Anthony Cirelli,C,6-0,189,L/-,3,July 15 1997,cirelan01
3,Fredrik Claesson,D,6-1,196,L/-,5,November 24 1992,claesfr01
20,Blake Coleman,C,5-11,207,L/-,4,November 28 1991,colembl01
79-92,Ross Colton,C,6-0,194,L/-,R,September 11 1996,coltoro01
52,Callan Foote,D,6-5,224,R/-,R,December 13 1998,footeca01
33,Christopher Gibson,G,6-2,217,-/-,3,December 27 1992,gibsoch01
19,Barclay Goodrow,RW,6-2,203,L/-,6,February 26 1993,goodrba01
37,Yanni Gourde,C,5-9,173,L/-,5,December 15 1991,gourdya01
77,Victor Hedman,D,6-7,244,L/-,11,December 18 1990,hedmavi01
9,Tyler Johnson,C,5-8,185,R/-,8,July 29 1990,johnsty01
7,Mathieu Joseph,RW,6-1,187,L/-,2,February 9 1997,josepma01
17,Alex Killorn,C/LW,6-1,194,L/-,8,September 14 1989,killoal01
86,Nikita Kucherov,RW,5-11,181,L/-,7,June 17 1993,kucheni01
14,Pat Maroon,LW,6-3,234,L/-,9,April 23 1988,maroopa01
27,Ryan McDonagh,D,6-1,215,L/-,10,June 13 1989,mcdonry01
35,Curtis McElhinney,G,6-2,203,L/L,12,May 23 1983,mcelhcu01
18,Ondrej Palat,LW,6-0,194,L/-,8,March 28 1991,palaton01
21,Brayden Point,C,5-11,180,R/-,4,March 13 1996,pointbr01
44,Jan Rutta,D,6-3,204,R/-,3,July 29 1990,ruttaja02
58,David Savard,D,6-1,235,R/-,9,October 22 1990,savarda01
2,Luke Schenn,D,6-2,226,R/-,12,November 2 1989,schenlu01
98,Mikhail Sergachev,D,6-1,217,L/-,4,June 25 1998,sergami01
46,Gemel Smith,C,5-10,203,L/-,4,April 16 1994,smithge02
91,Steven Stamkos (C),C,6-0,182,R/-,12,February 7 1990,stamkst01
67,Mitchell Stephens,C,5-11,190,R/-,1,February 5 1997,stephmi01
56,Ben Thomas,D,6-1,187,R/-,R,May 28 1996,thomabe01
88,Andrei Vasilevskiy,G,6-4,220,-/-,6,July 25 1994,vasilan02
92,Alexander Volkov,RW,6-1,193,L/-,1,August 2 1997,volkoal01
75-85,Daniel Walcott,D,6-1,175,L/-,R,February 19 1994,walcoda01
