 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
45,Jonathan Bernier,G,6-0,185,-/L,12,August 7 1988,bernijo01
59,Tyler Bertuzzi,LW,6-1,186,L/-,4,February 24 1995,bertuty01
3,Alex Biega,D,5-10,199,R/-,6,April 4 1988,biegaal01
86,Mathias Brome,F,6-0,183,L/-,R,July 29 1994,bromema01
21,Dennis Cholowski,D,6-2,210,L/-,2,February 15 1998,cholode01
65,Danny DeKeyser,D,6-3,190,L/-,8,March 7 1990,dekeyda01
44,Christian Djoos,D,6-0,169,L/-,3,August 6 1994,djoosch01
73,Adam Erne,LW,6-1,212,L/-,4,April 20 1995,ernead01
14,Robby Fabbri,C,5-11,185,L/-,4,January 22 1996,fabbrro01
51,Valtteri Filppula,C,6-0,189,L/-,15,March 20 1984,filppva01
89,Sam Gagner,C,5-11,200,R/-,13,August 10 1989,gagnesa01
41,Luke Glendening,C,5-11,190,R/-,7,April 28 1989,glendlu01
29,Thomas Greiss,G,6-2,232,-/L,11,January 29 1986,greisth01
43,Darren Helm,C/LW,6-0,192,L/-,13,January 21 1987,helmda01
67,Taro Hirose,LW,5-10,162,L/-,2,June 30 1996,hirosta01
17,Filip Hronek,D,6-0,190,R/-,2,November 2 1997,hronefi01
71,Dylan Larkin (C),C,6-1,198,L/-,5,July 30 1996,larkidy01
28,Gustav Lindstrom,D,6-2,186,R/-,1,October 20 1998,lindsgu01
39,Anthony Mantha,RW,6-5,234,L/-,5,September 16 1994,manthan01
24,Jonathon Merrill,D,6-3,196,L/-,7,February 3 1992,merrijo01
92,Vladislav Namestnikov,C,6-0,179,L/-,7,November 22 1992,namesvl01
22,Patrik Nemeth,D,6-3,228,L/-,7,February 8 1992,nemetpa01
81,Frans Nielsen,C,6-1,186,L/-,14,April 24 1984,nielsfr01
24,Richard Panik,RW,6-2,210,L/-,8,February 7 1991,panikri01
31,Calvin Pickard,G,6-1,210,-/-,6,April 15 1992,pickaca01
27,Michael Rasmussen,C,6-6,211,L/-,1,April 17 1999,rasmumi01
54,Bobby Ryan,LW,6-2,209,R/-,13,March 17 1987,ryanbo01
48,Givani Smith,RW,6-2,214,L/-,1,February 28 1998,smithgi01
18,Marc Staal,D,6-4,208,L/-,13,January 13 1987,staalma01
70,Troy Stecher,D,5-10,186,R/-,4,April 7 1994,stechtr01
37,Evgeny Svechnikov,LW,6-3,207,L/-,3,October 31 1996,svechev01
90,Joe Veleno,C,6-1,203,L/-,R,January 13 2000,velenjo01
15,Jakub Vrana,LW,6-0,195,L/-,4,February 28 1996,vranaja01
11,Filip Zadina,RW,6-0,190,L/-,2,November 27 1999,zadinfi01
