 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
59,Calen Addison,D,5-11,180,R/-,R,April 11 2000,addisca01
44,Matt Bartkowski,D,6-1,203,L/-,9,June 4 1988,bartkma01
47,Louis Belpedio,D,5-11,197,R/-,2,May 14 1996,belpelo01
27,Nick Bjugstad,C,6-6,215,R/-,8,July 17 1992,bjugsni01
13,Nick Bonino,C,6-1,195,L/-,11,April 20 1988,boninni01
25,Jonas Brodin,D,6-1,198,L/-,8,July 12 1993,brodijo01
28,Ian Cole,D,6-1,225,L/-,10,February 21 1989,coleia01
56,Joseph Cramarossa,C,6-0,188,L/-,1,October 26 1992,cramajo01
24,Mathew Dumba,D,6-0,182,R/-,7,July 25 1994,dumbama01
14,Joel Eriksson Ek,C,6-1,208,L/-,4,January 29 1997,eriksjo02
22,Kevin Fiala,LW,5-10,204,L/-,6,July 22 1996,fialake01
17,Marcus Foligno,LW,6-3,228,L/-,9,August 10 1991,foligma01
18,Jordan Greenway,LW,6-6,227,L/-,3,February 16 1997,greenjo02
38,Ryan Hartman,RW,6-0,181,R/-,6,September 20 1994,hartmry01
77,Brad Hunt,D,5-9,177,L/-,7,August 24 1988,huntbr01
90,Marcus Johansson,C/W,6-1,203,L/-,10,October 6 1990,johanma03
41,Luke Johnson,C,6-0,180,R/-,2,September 19 1994,johnslu01
34,Kaapo Kahkonen,G,6-2,215,L/-,1,August 16 1996,kahkoka01
97,Kirill Kaprizov,LW,5-10,202,L/-,R,April 26 1997,kapriki01
26,Gerald Mayhew,F,5-9,170,R/-,1,December 31 1992,mayhege01
57,Dakota Mermis,D,6-0,196,L/-,3,January 5 1994,mermida01
11,Zach Parise,LW,5-11,195,L/-,15,July 28 1984,parisza01
,Greg Pateryn,D,6-2,221,R/-,7,June 20 1990,patergr01
49,Victor Rask,C,6-2,200,L/-,6,March 1 1993,raskvi01
37,Kyle Rau,C,5-8,176,L/-,4,October 24 1992,rauky01
21,Carson Soucy,D,6-5,211,L/-,2,July 27 1994,soucyca01
46,Jared Spurgeon (C),D,5-9,167,R/-,10,November 29 1989,spurgja01
7,Nico Sturm,C,6-3,206,L/-,2,May 3 1995,sturmni01
20,Ryan Suter,D,6-1,200,L/-,15,January 21 1985,suterry01
33,Cam Talbot,G,6-4,201,-/-,7,July 5 1987,talboca01
36,Mats Zuccarello,LW,5-8,184,L/-,10,September 1 1987,zuccama01
