Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
5,Gavin Bayreuther,D,6-1,195,L/-,2,May 12 1994,bayrega01
22,Jake Bean,D,6-1,186,L/-,2,June 9 1998,beanja01
52,Emil Bemstrom,C,6-0,193,R/-,2,June 1 1999,bemstem01
30,Jean-Francois Berube,G,6-1,176,-/-,3,July 13 1991,berubje02
28,Oliver Bjorkstrand,RW,6-0,177,R/-,6,April 10 1995,bjorkol01
77,Nick Blankenburg,D,5-9,175,R/-,R,May 12 1998,blankni01
27,Adam Boqvist,D,5-11,179,R/-,2,August 15 2000,boqviad01
53,Gabriel Carlsson,D,6-5,203,L/-,5,January 2 1997,carlsga01
59,Yegor Chinakhov,RW,6-0,178,L/-,R,February 1 2001,chinaye01
32,Jake Christiansen,D,6-1,195,L/-,R,September 12 1999,chrisja01
17,Justin Danforth,RW/C,5-9,180,R/-,R,March 15 1993,danfoju01
16,Max Domi,LW,5-10,192,L/-,6,March 2 1995,domima01
64,Trey Fix-Wolansky,RW,5-7,178,R/-,R,May 26 1999,fixwotr01
19,Liam Foudy,C,6-2,193,L/-,2,February 4 2000,foudyli01
23,Brendan Gaunce,C,6-2,217,L/-,5,March 25 1994,gauncbr01
44,Vladislav Gavrikov,D,6-3,213,L/-,2,November 21 1995,gavrivl01
4,Scott Harrington,D,6-2,206,L/-,7,March 10 1993,harrisc01
15,Gregory Hofmann,C,6-0,175,L/-,R,November 13 1992,hofmagr01
38,Boone Jenner (C),C,6-2,207,L/-,8,June 15 1993,jennebo01
13,Kent Johnson,C,6-1,168,L/-,R,October 18 2002,johnske01
70,Joonas Korpisalo,G,6-3,192,-/-,6,April 28 1994,korpijo01
46,Dean Kukan,D,6-2,186,L/-,5,July 8 1993,kukande01
7,Sean Kuraly,C,6-2,213,L/-,5,January 20 1993,kuralse01
29,Patrik Laine,RW,6-5,205,R/-,5,April 19 1998,lainepa01
90,Elvis Merzlikins,G,6-3,185,L/-,2,April 13 1994,merzlel01
55,Carson Meyer,RW,5-11,180,R/-,R,August 18 1997,meyerca01
14,Gustav Nyquist,RW,5-11,180,L/-,9,September 1 1989,nyquigu01
2,Andrew Peeke,D,6-3,198,R/-,2,March 17 1998,peekean01
50,Eric Robinson,LW,6-2,200,L/-,4,June 14 1995,robiner01
96,Jack Roslovic,C,6-1,187,R/-,5,January 29 1997,rosloja01
34,Cole Sillinger,C,6-0,201,L/-,R,May 16 2003,sillico01
11,Kevin Stenlund,C,6-4,211,R/-,3,September 20 1996,stenlke01
40,Daniil Tarasov,G,6-5,185,-/L,R,March 27 1999,tarasda02
42,Alexandre Texier,C,6-1,186,L/-,3,September 13 1999,texieal01
93,Jakub Voracek,RW,6-2,214,L/-,13,August 15 1989,voracja01
8,Zach Werenski,D,6-2,218,L/-,5,July 19 1997,werenza01
