Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
27,Alexander Alexeyev,D,6-4,210,L/-,R,November 15 1999,alexeal01
19,Nicklas Backstrom,C,6-1,206,L/-,14,November 23 1987,backsni02
74,John Carlson,D,6-3,215,R/-,12,January 10 1990,carlsjo01
38,Dennis Cholowski,D,6-2,210,L/-,3,February 15 1998,cholode01
1,Pheonix Copley,G,6-4,198,-/-,3,January 18 1992,copleph01
26,Nic Dowd,C,6-1,192,R/-,6,May 27 1990,dowdni01
20,Lars Eller,C,6-2,208,L/-,12,May 8 1989,ellerla01
42,Martin Fehervary,D,6-2,202,L/-,1,October 6 1999,feherma01
60,Zachary Fucale,G,6-2,189,-/-,R,May 28 1995,fucalza01
62,Carl Hagelin,LW,5-11,185,L/-,10,August 23 1988,hagelca01
21,Garnet Hathaway,RW,6-2,212,R/-,6,November 23 1991,hathaga01
52,Matt Irwin,D,6-2,189,L/-,9,November 29 1987,irwinma01
3,Nick Jensen,D,6-1,205,R/-,5,September 21 1990,jenseni02
22,Lucas Johansen,D,6-2,176,L/-,R,November 16 1997,johanlu01
90,Marcus Johansson,C/W,6-1,203,L/-,11,October 6 1990,johanma03
38-45,Axel Jonsson Fjällby,LW,6-1,189,L/-,R,February 10 1998,jonssax01
6,Michal Kempny,D,6-1,192,L/-,4,September 8 1990,kempnmi01
92,Evgeny Kuznetsov,C,6-1,205,L/-,8,May 19 1992,kuzneev01
29,Hendrix Lapierre,C,6-0,178,L/-,R,February 9 2002,lapiehe01
22,Johan Larsson,LW/C,5-11,198,L/-,9,July 25 1992,larssjo02
49,Brett Leason,RW,6-5,218,R/-,R,April 30 1999,leasobr01
47,Beck Malenstyn,LW,6-3,200,L/-,1,February 4 1998,malenbe01
39,Anthony Mantha,RW,6-5,234,L/-,6,September 16 1994,manthan01
24,Connor McMichael,C,6-0,183,L/-,1,January 15 2001,mcmicco01
9,Dmitry Orlov,D,5-11,211,L/-,9,July 23 1991,orlovdm01
77,T.J. Oshie,C/RW,5-11,196,R/-,13,December 23 1986,oshietj01
8,Alex Ovechkin (C),LW,6-3,238,R/-,16,September 17 1985,ovechal01
40,Garrett Pilon,C,6-0,190,R/-,1,April 13 1998,pilonga01
59,Aliaksei Protas,C,6-6,225,L/-,R,January 6 2001,protaal01
30,Ilya Samsonov,G,6-3,200,-/L,2,February 22 1997,samsoil01
2,Justin Schultz,D,6-2,187,R/-,9,July 6 1990,schulju01
23,Michael Sgarbossa,C,6-0,182,L/-,6,July 25 1992,sgarbmi01
73,Conor Sheary,LW,5-9,178,L/-,6,June 8 1992,shearco01
91,Joe Snively,F,5-9,176,L/-,R,January 1 1996,snivejo01
10,Daniel Sprong,RW,6-0,200,R/-,5,March 17 1997,spronda01
57,Trevor van Riemsdyk,D,6-3,188,R/-,7,July 24 1991,vanritr01
41,Vitek Vanecek,G,6-2,184,-/-,1,January 9 1996,vanecvi01
36,Mike Vecchione,RW,5-10,194,R/-,1,February 25 1993,vecchmi01
43,Tom Wilson,RW,6-4,220,R/-,8,March 29 1994,wilsoto01
