Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
83,Jay Beagle,RW/C,6-3,210,R/-,13,October 16 1985,beaglja01
72,Travis Boyd,C,6-0,190,R/-,4,September 14 1993,boydtr01
75,Kyle Capobianco,D,6-1,196,L/-,4,August 13 1997,capobky01
53,Michael Carcone,F,5-9,170,-/-,R,May 19 1996,carcomi01
6,Jakob Chychrun,D,6-2,211,L/-,5,March 31 1998,chychja01
67,Lawson Crouse,LW,6-4,220,L/-,5,June 23 1997,crousla01
54,Cam Dineen,D,5-11,183,L/-,R,June 19 1998,dineeca01
10,Ryan Dzingel,C,6-0,190,L/-,6,March 9 1992,dzingry01
21,Loui Eriksson,LW,6-2,179,L/-,15,July 17 1985,erikslo01
24,Hudson Fasching,RW,6-3,204,R/-,4,July 28 1995,faschhu01
36,Christian Fischer,RW,6-2,214,R/-,5,April 15 1997,fischch01
17,Alex Galchenyuk,C,6-1,194,L/-,9,February 12 1994,galchal01
14,Shayne Gostisbehere,D,5-11,180,L/-,7,April 20 1993,gostish01
29,Barrett Hayton,C,6-1,209,L/-,2,June 9 2000,haytoba01
40,Carter Hutton,G,6-0,208,-/L,9,December 19 1985,huttoca01
15,Bokondji Imama,LW,6-1,221,L/-,R,August 3 1996,imamabo01
93,Dmitrij Jaskin,RW,6-1,196,L/-,7,March 23 1993,jaskidm01
73,Jan Jenik,RW,6-1,165,L/-,1,September 15 2000,jenikja01
9,Clayton Keller,C,5-10,170,L/-,5,July 29 1998,kellecl01
81,Phil Kessel,RW,6-0,223,R/-,15,October 2 1987,kesseph01
92,Vladislav Kolyachonok,D,6-1,193,L/-,R,May 26 2001,kolyavl01
32,Josef Korenar,G,6-1,185,-/-,1,January 31 1998,korenjo01
16,Andrew Ladd,LW,6-3,205,L/-,15,December 12 1985,laddan01
22,Johan Larsson,LW/C,5-11,198,L/-,9,July 25 1992,larssjo02
46,Ilya Lyubushkin,D,6-2,208,R/-,3,April 6 1994,lyubuil01
63,Matias Maccelli,LW,5-11,165,L/-,R,October 14 2000,maccema01
61,Dysin Mayo,D,6-2,195,R/-,R,August 17 1996,mayody01
22,Jack McBain,C,6-3,201,L/-,R,January 6 2000,mcbaija03
90,Ben McCartney,F,,,L/-,R,July 13 2001,mccarbe02
62,J.J. Moser,D,6-1,173,L/-,R,June 6 2000,moserja01
20,Riley Nash,C,6-2,188,R/-,10,May 9 1989,nashri02
38,Liam O'Brien,C,6-1,213,L/-,4,July 29 1994,obrieli01
50,Ivan Prosvetov,G,6-5,175,L/-,1,March 5 1999,prosviv01
12,Nick Ritchie,LW,6-2,230,L/-,6,December 5 1995,ritchni01
26,Antoine Roussel,LW,5-11,199,L/-,9,November 21 1989,roussan01
30-31,Harri Sateri,G,6-1,205,-/-,1,December 29 1989,saterha01
8,Nick Schmaltz,C,6-0,177,R/-,5,February 23 1996,schmani01
13,Nathan Smith,C,6-0,177,R/-,R,October 19 1998,smithna03
77,Victor Soderstrom,D,6-0,183,R/-,1,February 26 2001,sodervi01
39,Blake Speers,C,5-11,185,R/-,1,January 2 1997,speerbl01
86,Anton Stralman,D,5-11,186,R/-,14,August 1 1986,stralan01
25,Conor Timmins,D,6-2,185,R/-,2,September 18 1998,timmico01
70,Karel Vejmelka,G,6-4,203,-/R,R,May 25 1996,vejmeka01
31,Scott Wedgewood,G,6-2,205,-/-,3,August 14 1992,wedgesc01
