Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
4,Rasmus Andersson,D,6-1,214,R/-,5,October 27 1996,anderra01
11,Mikael Backlund,C,6-0,200,L/-,13,March 17 1989,backlmi01
18,Ryan Carpenter,C,6-0,200,R/-,6,January 18 1991,carpery01
20,Blake Coleman,C,5-11,207,L/-,5,November 28 1991,colembl01
29,Dillon Dube,C,5-11,187,L/-,3,July 20 1998,dubedi01
61,Walker Duehr,F,6-2,210,R/-,R,November 23 1997,duehrwa01
13,Johnny Gaudreau,LW,5-9,165,L/-,8,August 13 1993,gaudrjo01
42,Glenn Gawdin,C,6-1,191,R/-,1,March 25 1997,gawdigl01
44,Erik Gudbranson,D,6-5,222,R/-,10,January 7 1992,gudbrer01
55,Noah Hanifin,D,6-3,215,L/-,6,January 25 1997,hanifno01
91,Calle Jarnkrok,C,5-11,186,R/-,8,September 25 1991,jarnkca01
58,Oliver Kylington,D,6-0,183,L/-,4,May 19 1997,kylinol01
22,Trevor Lewis,C,6-1,202,R/-,13,January 8 1987,lewistr01
28,Elias Lindholm,C,6-1,195,R/-,8,December 2 1994,lindhel01
17,Milan Lucic,LW,6-3,231,L/-,14,June 7 1988,lucicmi01
3,Connor Mackey,D,6-2,196,L/-,1,September 12 1996,mackeco01
88,Andrew Mangiapane,LW,5-10,184,L/-,4,April 4 1996,mangian01
25,Jacob Markstrom,G,6-6,206,-/L,11,January 31 1990,marksja02
23,Sean Monahan,C,6-2,200,L/-,8,October 12 1994,monahse01
18,Tyler Pitlick,C,6-2,200,R/-,7,November 1 1991,pitlity01
15,Brad Richardson,C,6-0,190,L/-,16,February 4 1985,richabr02
24,Brett Ritchie,RW,6-4,220,R/-,7,July 1 1993,ritchbr01
63,Adam Ruzicka,C,6-4,202,L/-,1,May 11 1999,ruzicad01
26,Michael Stone,D,6-3,210,R/-,10,June 7 1990,stonemi01
8,Chris Tanev,D,6-2,193,R/-,11,December 20 1989,tanevch01
19,Matthew Tkachuk,RW,6-2,202,L/-,5,December 11 1997,tkachma01
73,Tyler Toffoli,C,6-0,198,R/-,9,April 24 1992,toffoty01
6,Juuso Valimaki,D,6-2,212,L/-,2,October 6 1998,valimju01
80,Daniel Vladar,G,6-5,185,-/L,1,August 20 1997,vladada01
16,Nikita Zadorov,D,6-6,235,L/-,8,April 16 1995,zadorni01
