Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
57,Wade Allison,RW,6-2,205,R/-,1,October 14 1997,alliswa01
89,Cam Atkinson,RW,5-8,176,R/-,10,June 5 1989,atkinca01
47,Ronald Attard,D,6-3,208,R/-,R,March 20 1999,attarro01
62,Nicolas Aube-Kubel,RW,5-11,214,R/-,3,May 10 1996,aubekni01
19,Derick Brassard,C,6-1,202,L/-,14,September 22 1987,brassde01
61,Justin Braun,D,6-2,203,R/-,11,February 10 1987,braunju01
46,Bobby Brink,RW,5-8,166,R/-,R,July 8 2001,brinkbo01
38,Patrick Brown,C,6-1,210,R/-,5,May 29 1992,brownpa02
82,Connor Bunnaman,F,6-1,220,L/-,2,April 16 1998,bunnaco01
59,Jackson Cates,C,6-0,190,L/-,1,September 28 1997,catesja01
49,Noah Cates,LW,6-1,165,L/-,R,February 5 1999,catesno01
8,Kevin Connauton,D,6-2,205,L/-,8,February 23 1990,connake01
14,Sean Couturier,C,6-3,206,L/-,10,December 7 1992,coutuse01
94,Ryan Ellis,D,5-10,180,R/-,10,January 3 1991,ellisry01
86,Joel Farabee,LW,6-0,183,L/-,2,February 25 2000,farabjo01
48,Morgan Frost,C,6-0,191,L/-,2,May 14 1999,frostmo01
28,Claude Giroux (C),C/LW,5-11,190,R/-,14,January 12 1988,giroucl01
79,Carter Hart,G,6-2,188,-/L,3,August 13 1998,hartca01
13,Kevin Hayes,RW,6-5,218,L/-,7,May 8 1992,hayeske01
42,Hayden Hodgson,RW,6-2,208,R/-,R,March 2 1996,hodgsha01
84,Linus Hogberg,D,6-1,176,L/-,R,September 4 1998,hogbeli01
35,Martin Jones,G,6-4,190,-/-,8,January 10 1990,jonesma02
11,Travis Konecny,C,5-10,187,R/-,5,March 11 1997,konectr01
58,Tanner Laczynski,C,6-1,190,R/-,1,June 1 1997,laczyta01
21,Scott Laughton,C,6-1,185,L/-,8,May 30 1994,laughsc01
23,Oskar Lindblom,LW,6-1,191,L/-,4,August 15 1996,lindbos01
17,Zack MacEwen,C,6-3,205,R/-,3,July 8 1996,macewza01
20,Gerald Mayhew,F,5-9,170,R/-,2,December 31 1992,mayhege01
9,Ivan Provorov,D,6-1,215,L/-,5,January 13 1997,provoiv01
76,Isaac Ratcliffe,LW,6-6,200,L/-,R,February 15 1999,ratclis01
70,Rasmus Ristolainen,D,6-4,220,R/-,8,October 27 1994,ristora01
36,Linus Sandin,F,6-1,209,R/-,R,May 19 1996,sandili01
32,Felix Sandstrom,G,6-2,191,-/L,R,January 12 1997,sandsfe01
6,Travis Sanheim,D,6-3,208,L/-,4,March 29 1996,sanhetr01
24,Nick Seeler,D,6-2,201,L/-,3,June 3 1993,seeleni01
44,Nate Thompson,C,6-1,205,L/-,14,October 5 1984,thompna01
74,Owen Tippett,RW,6-1,207,R/-,2,February 16 1999,tippeow01
25,James van Riemsdyk,LW,6-3,212,L/-,12,May 4 1989,vanrija01
71,Maxwell Willman,C,6-0,184,L/-,R,February 13 1995,willmma01
3,Keith Yandle,D,6-1,197,L/-,15,September 9 1986,yandlke01
45,Cameron York,D,6-0,185,L/-,1,January 5 2001,yorkca01
54,Yegor Zamula,D,6-5,185,L/-,1,March 30 2000,zamulye01
