Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
22,Michael Amadio,C,6-1,204,R/-,4,May 13 1996,amadimi01
47,Sven Baertschi,LW,5-11,190,L/-,9,October 5 1992,baertsv01
24,Adam Brooks,C,6-0,179,L/-,2,May 6 1996,brookad01
39,Laurent Brossoit,G,6-3,204,-/-,7,March 23 1993,brossla01
28,William Carrier,LW,6-2,218,L/-,5,December 20 1994,carriwi01
52,Dylan Coghlan,D,6-2,208,R/-,1,February 19 1998,coghldy01
43,Paul Cotter,C,6-1,206,L/-,R,November 16 1999,cottepa01
63,Evgenii Dadonov,RW,5-11,185,L/-,7,March 12 1989,dadonev01
16,Pavel Dorofeyev,LW,6-0,163,L/-,R,October 26 2000,dorofpa01
9,Jack Eichel,C,6-2,213,R/-,6,October 28 1996,eicheja01
14,Nicolas Hague,D,6-6,215,L/-,2,December 5 1998,hagueni01
65,Zack Hayes,D,,,L/-,R,April 24 1999,hayesza01
21,Brett Howden,C,6-3,200,L/-,3,March 29 1998,howdebr01
17,Ben Hutton,D,6-2,206,L/-,6,April 20 1993,huttobe01
26,Mattias Janmark,C,6-1,195,L/-,5,December 8 1992,janmama02
64,Ben Jones,F,6-0,187,L/-,R,February 26 1999,jonesbe01
71,William Karlsson,C,6-1,189,L/-,7,January 8 1993,karlswi01
55,Keegan Kolesar,RW,6-2,227,R/-,2,April 8 1997,koleske01
6,Kaedan Korczak,D,6-3,192,R/-,R,January 29 2001,korczka01
18,Peyton Krebs,C,5-11,181,L/-,1,January 26 2001,krebspe01
90,Robin Lehner,G,6-4,240,-/L,11,July 24 1991,lehnero01
15,Jake Leschyshyn,C,5-11,185,L/-,R,March 10 1999,leschja01
81,Jonathan Marchessault,C,5-9,180,R/-,8,December 27 1990,audymjo01
23,Alec Martinez,D,6-1,209,L/-,12,July 26 1987,martial01
3,Brayden McNabb,D,6-4,212,L/-,9,January 21 1991,mcnabbr01
42,Daniil Miromanov,D/RW,6-4,200,R/-,R,July 11 1997,miromda01
94,Brayden Pachal,D,6-1,204,R/-,R,August 23 1999,pachabr01
67,Max Pacioretty,LW,6-2,206,L/-,13,November 20 1988,pacioma01
41,Nolan Patrick,C,6-2,198,R/-,3,September 19 1998,patrino01
7,Alex Pietrangelo,D,6-3,210,R/-,13,January 18 1990,pietral01
51,Derrick Pouliot,D,6-0,196,L/-,6,January 16 1994,poulide01
10,Nicolas Roy,C,6-4,205,R/-,4,February 5 1997,royni01
46,Jonas Røndbjerg,RW,,,L/-,R,March 31 1999,rondbjo01
19,Reilly Smith,RW,6-1,180,L/-,10,April 1 1991,smithre01
20,Chandler Stephenson,C,6-0,203,L/-,6,April 22 1994,stephch02
61,Mark Stone (C),RW,6-4,219,R/-,9,May 13 1992,stonema01
27,Shea Theodore,D,6-2,195,L/-,6,August 3 1995,theodsh01
36,Logan Thompson,G,6-4,201,-/R,1,February 25 1997,thomplo01
2,Zach Whitecloud,D,6-2,208,R/-,3,November 28 1996,whiteza01
