Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
22,Mason Appleton,C,6-2,193,R/-,3,January 15 1996,applema01
36,Morgan Barron,C,6-4,220,L/-,1,December 2 1998,barromo01
28,Nathan Beaulieu,D,6-2,205,L/-,9,December 5 1992,beaulna01
77,Adam Brooks,C,6-0,179,L/-,2,May 6 1996,brookad01
45,Declan Chisholm,D,6-1,190,L/-,R,January 12 2000,chishde01
1,Eric Comrie,G,6-1,175,-/-,5,July 6 1995,comrier01
81,Kyle Connor,LW,6-1,183,L/-,5,December 9 1996,connoky01
9,Andrew Copp,C,6-1,206,L/-,7,July 8 1994,coppan01
2,Dylan DeMelo,D,6-1,194,R/-,6,May 1 1993,demeldy01
5,Brenden Dillon,D,6-4,225,L/-,10,November 13 1990,dillobr01
80,Pierre-Luc Dubois,LW,6-3,218,L/-,4,June 24 1998,duboipi01
27,Nikolaj Ehlers,LW,6-0,172,L/-,6,February 14 1996,ehlerni01
23,Michael Eyssimont,C,6-0,190,L/-,R,September 9 1996,eyssimi01
19,David Gustafsson,C,6-2,196,L/-,2,April 11 2000,gustada01
12,Jansen Harkins,C,6-2,195,L/-,2,May 23 1997,harkija01
14,Ville Heinola,D,6-0,181,L/-,2,March 2 2001,heinovi01
37,Connor Hellebuyck,G,6-4,207,-/-,6,May 19 1993,helleco01
65,Johnathan Kovacevic,D,,,R/-,R,July 12 1997,kovacjo01
17,Adam Lowry,LW,6-5,210,L/-,7,March 29 1993,lowryad01
39,Jeff Malott,F,6-3,201,L/-,R,August 7 1996,malotje01
44,Josh Morrissey,D,6-0,195,L/-,6,March 28 1995,morrijo04
20,Riley Nash,C,6-2,188,R/-,10,May 9 1989,nashri02
91,Cole Perfetti,C,5-10,185,L/-,R,January 1 2002,perfeco01
4,Neal Pionk,D,6-0,190,R/-,4,July 29 1995,pionkne01
22,Austin Poganski,RW,6-1,198,R/-,2,February 16 1996,poganau01
87,Kristian Reichel,F,6-0,168,R/-,R,June 11 1998,reichkr01
54,Dylan Samberg,D,6-3,190,L/-,R,January 24 1999,sambedy01
13,Zach Sanford,LW,6-4,207,L/-,4,November 9 1994,sanfoza01
55,Mark Scheifele,C,6-3,207,R/-,10,March 15 1993,scheima01
88,Nate Schmidt,D,6-0,192,L/-,8,July 16 1991,schmina01
64,Logan Stanley,D,6-7,231,-/-,1,May 26 1998,stanllo01
25,Paul Stastny,C,6-0,193,L/-,15,December 27 1985,stastpa01
73,C.J. Suess,LW,5-11,190,L/-,1,March 17 1994,frankcl01
71,Evgeny Svechnikov,LW,6-3,207,L/-,4,October 31 1996,svechev01
21,Dominic Toninato,C,6-2,201,L/-,4,March 9 1994,tonindo01
93,Kristian Vesalainen,W,6-3,207,L/-,2,June 1 1999,vesalkr01
26,Blake Wheeler (C),RW,6-5,225,R/-,13,August 31 1986,wheelbl01
