Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
55,Noel Acciari,C,5-10,209,R/-,6,December 1 1991,acciano01
16,Aleksander Barkov (C),C,6-3,215,L/-,8,September 2 1995,barkoal01
9,Sam Bennett,C,6-1,195,L/-,7,June 20 1996,bennesa01
72,Sergei Bobrovsky,G,6-2,182,-/L,11,September 20 1988,bobrose01
32,Lucas Carlsson,D,6-0,189,L/-,2,July 5 1997,carlslu01
8,Ben Chiarot,D,6-3,226,L/-,8,May 9 1991,chiarbe01
44,Kevin Connauton,D,6-2,205,L/-,8,February 23 1990,connake01
21,Zac Dalpe,RW,6-2,197,R/-,10,November 1 1989,dalpeza01
14,Grigori Denisenko,LW,5-11,190,R/-,1,June 24 2000,denisgr01
10,Anthony Duclair,LW,5-11,197,L/-,7,August 26 1995,duclaan01
5,Aaron Ekblad,D,6-4,216,R/-,7,February 7 1996,ekblaaa01
42,Gustav Forsling,D,6-0,186,L/-,4,June 12 1996,forslgu02
28,Claude Giroux,C/LW,5-11,190,R/-,14,January 12 1988,giroucl01
7,Radko Gudas,D,6-0,208,R/-,9,June 5 1990,gudasra01
18,Robert Hagg,D,6-2,204,L/-,5,February 8 1995,haggro01
20,Aleksi Heponiemi,C,5-10,155,L/-,1,January 9 1999,heponal01
70,Patric Hornqvist,RW,5-11,189,R/-,13,January 1 1987,hornqpa01
11,Jonathan Huberdeau,LW,6-1,202,L/-,9,June 4 1993,huberjo01
35,Jonas Johansson,G,6-5,220,L/-,2,September 19 1995,johanjo03
4,Olli Juolevi,D,6-2,182,L/-,1,May 5 1998,juoleol01
3-8,Matt Kiersted,D,6-0,181,L/-,1,April 14 1998,kiersma01
30,Spencer Knight,G,6-3,192,-/L,1,April 19 2001,knighsp01
40-48,Petteri Lindbohm,D,6-3,198,L/-,3,September 23 1993,lindbpe02
94,Ryan Lomberg,LW,5-9,187,L/-,3,September 12 1994,lombery01
15,Anton Lundell,C,6-1,189,L/-,R,October 3 2001,lundean01
27,Eetu Luostarinen,C,6-3,190,L/-,2,September 2 1998,luostee01
78-98,Maxim Mamin,C/RW,6-2,206,L/-,2,January 13 1995,maminma01
17,Mason Marchment,F,6-4,209,L/-,2,June 18 1995,marchma01
62,Brandon Montour,D,6-0,194,R/-,5,April 11 1994,montobr01
65,Markus Nutivaara,D,6-1,187,L/-,5,June 6 1994,nutivma01
,Chase Priskie,D,,,R/-,R,March 19 1996,priskch01
13,Sam Reinhart,C,6-2,193,R/-,7,November 6 1995,reinhsa01
79,Cole Schwindt,RW,6-2,182,R/-,R,April 25 2001,schwico01
19,Joe Thornton,C,6-4,220,L/-,23,July 2 1979,thornjo01
74,Owen Tippett,RW,6-1,207,R/-,2,February 16 1999,tippeow01
77,Frank Vatrano,LW,5-11,197,L/-,6,March 14 1994,vatrafr01
23,Carter Verhaeghe,C,6-2,180,L/-,2,August 14 1995,verhaca01
52,MacKenzie Weegar,D,6-0,200,R/-,5,January 7 1994,weegama01
