Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
57,Anthony Angello,C,6-5,210,R/-,2,March 6 1996,angelan01
12,Zach Aston-Reese,C,6-0,204,L/-,4,August 10 1994,astonza01
20,Kasper Bjorkqvist,RW,6-1,198,L/-,R,July 10 1997,bjorkka01
53,Teddy Blueger,C,6-0,185,L/-,3,August 15 1994,bluegte01
11,Brian Boyle,C,6-6,245,L/-,13,December 18 1984,boylebr01
77,Jeff Carter,C,6-3,219,R/-,16,January 1 1985,carteje01
87,Sidney Crosby (C),C,5-11,200,L/-,16,August 7 1987,crosbsi01
1,Casey DeSmith,G,6-0,180,-/-,3,August 13 1991,desmica01
70,Louis Domingue,G,6-3,208,-/R,7,March 6 1992,dominlo01
8,Brian Dumoulin,D,6-4,207,L/-,8,September 6 1991,dumoubr01
52,Mark Friedman,D,5-11,185,R/-,3,December 25 1995,friedma01
59,Jake Guentzel,C,5-11,180,L/-,5,October 6 1994,guentja01
36,Filip Hallander,C,6-1,190,L/-,R,June 29 2000,hallafi01
43,Danton Heinen,C/LW,6-1,188,L/-,5,July 5 1995,heineda01
35,Tristan Jarry,G,6-2,194,-/-,5,April 29 1995,jarrytr01
73,Pierre-Olivier Joseph,D,6-2,185,L/-,1,July 1 1999,joseppi01
42,Kasperi Kapanen,RW,6-1,194,R/-,6,July 23 1996,kapanka01
18,Sam Lafferty,C/LW,6-1,195,R/-,2,March 6 1995,laffesa01
58,Kris Letang,D,6-0,201,R/-,15,April 24 1987,letankr01
71,Evgeni Malkin,C,6-3,195,L/-,15,July 31 1986,malkiev01
6,John Marino,D,6-1,181,R/-,2,May 21 1997,marinjo01
5,Mike Matheson,D,6-2,188,L/-,6,February 27 1994,mathemi01
23,Brock McGinn,LW,6-0,187,L/-,6,February 2 1994,mcginbr01
10,Drew O'Connor,F,6-3,200,L/-,1,June 9 1998,oconndr01
28,Marcus Pettersson,D,6-3,177,L/-,4,May 8 1996,pettema01
76,Valtteri Puustinen,RW,5-9,183,R/-,R,June 4 1999,puustva01
67,Rickard Rakell,RW,6-1,195,R/-,9,May 5 1993,rakelri01
50,Juuso Riikola,D,6-0,189,L/-,3,November 9 1993,riikoju01
9,Evan Rodrigues,C,5-11,184,R/-,6,July 28 1993,rodriev01
2,Chad Ruhwedel,D,5-11,191,R/-,9,May 7 1990,ruhwech01
17,Bryan Rust,RW,5-11,192,R/-,7,May 11 1992,rustbr01
49,Dominik Simon,C,5-11,190,L/-,6,August 8 1994,simondo01
63-67,Radim Zohorna,F,6-6,220,L/-,1,April 29 1996,zohorra01
16,Jason Zucker,LW,5-11,192,L/-,10,January 16 1992,zuckeja01
