Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
5,Matt Benning,D,6-1,202,R/-,5,May 25 1994,bennima01
90,Mark Borowiecki,D,6-2,204,L/-,10,July 12 1989,borowma01
45,Alexandre Carrier,D,5-11,174,R/-,3,October 8 1996,carrial01
21,Nick Cousins,C,5-11,183,L/-,7,June 20 1993,cousini01
38,Jeremy Davies,D,5-11,180,-/-,1,December 4 1996,davieje01
95,Matt Duchene,C,5-11,195,L/-,12,January 16 1991,duchema01
14,Mattias Ekholm,D,6-4,215,L/-,10,May 24 1990,ekholma01
57,Dante Fabbro,D,6-0,189,R/-,3,June 20 1998,fabbrda01
9,Filip Forsberg,C,6-1,205,R/-,9,August 13 1994,forsbfi01
8,Cody Glass,C,6-3,206,R/-,2,April 1 1999,glassco01
64,Mikael Granlund,C,5-10,185,L/-,9,February 26 1992,granlmi01
23,Rocco Grimaldi,C,5-6,180,R/-,7,February 8 1993,grimaro01
17,Ben Harpur,D,6-6,231,L/-,5,January 12 1995,harpube01
39,Connor Ingram,G,6-2,196,-/L,R,March 31 1997,ingraco01
84,Tanner Jeannot,F,6-2,208,L/-,1,May 29 1997,jeannta01
92,Ryan Johansen,C,6-3,218,R/-,10,July 31 1992,johanry01
59,Roman Josi (C),D,6-1,201,L/-,10,June 1 1990,josiro01
11,Luke Kunin,C,6-0,195,R/-,4,December 4 1997,kuninlu01
3,Jeremy Lauzon,D,6-1,204,L/-,3,April 28 1997,lauzoje01
24,Matt Luff,RW,6-2,196,R/-,3,May 5 1997,luffma01
47,Michael McCarron,RW,6-6,232,R/-,4,March 7 1995,mccarmi01
55,Philippe Myers,D,6-5,210,R/-,3,January 25 1997,myersph01
82,Thomas Novak,C,6-1,179,L/-,R,April 28 1997,novakth01
25,Mathieu Olivier,F,6-2,210,R/-,2,February 11 1997,olivima01
33,David Rittich,G,6-3,206,-/-,5,August 19 1992,rittida01
74,Juuse Saros,G,5-11,180,-/-,6,April 19 1995,sarosju01
56-77,Kole Sherwood,RW,6-1,212,R/-,3,January 22 1997,sherwko01
10,Colton Sissons,C,6-1,200,R/-,7,November 5 1993,sissoco01
36,Cole Smith,F,6-3,195,L/-,1,October 28 1995,smithco02
7,Matt Tennyson,D,6-2,205,R/-,8,April 23 1990,tennyma01
28,Eeli Tolvanen,RW,5-10,191,L/-,3,April 22 1999,tolvaee01
26,Philip Tomasino,C,6-0,179,R/-,R,July 28 2001,tomasph01
13,Yakov Trenin,C,6-2,201,L/-,2,January 13 1997,treniya01
