city,name
Carolina,Hurricanes
Columbus,Blue Jackets
New Jersey,Devils
New York,Islanders
New York,Rangers
Philadelphia,Flyers
Pittsburgh,Penguins
Washington,Capitals
Boston,Bruins
Buffalo,Sabres
Detroit,Red Wings
Florida,Panthers
Montreal,Canadians
Ottawa,Senators
Tampa Bay,Lightning
Toronto,Maple Leafs
Arizona,Coyotes
Chicago,Blackhawks
Colorado,Avalanche
Dallas,Stars
Minnesota,Wild
Nashville,Predators
St. Louis,Blues
Winnipeg,Jets
Anaheim,Ducks
Calgary,Flames
Edmonton,Oilers
Los Angeles,Kings
San Jose,Sharks
Seattle,Kraken
Vancouver,Canucks
Vegas,Golden Knights
