Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
44,Mark Barberio,D,6-1,200,L/-,7,March 23 1990,barbema01
41,Pierre-Edouard Bellemare,LW,5-11,198,L/-,5,March 6 1985,bellepi01
35,Antoine Bibeau,G,6-3,205,-/-,1,May 1 1994,bibeaan01
95,Andre Burakovsky,LW,6-3,209,L/-,5,February 9 1995,burakan01
11,Matt Calvert,LW,5-11,186,L/-,9,December 24 1989,calvema01
28,Ian Cole,D,6-1,225,L/-,9,February 21 1989,coleia01
37,J.T. Compher,LW,6-0,190,R/-,3,April 8 1995,comphj.01
7,Kevin Connauton,D,6-2,205,L/-,6,February 23 1990,connake01
72,Joonas Donskoi,RW,6-0,190,R/-,4,April 13 1992,donskjo01
15,Sheldon Dries,C,5-9,180,L/-,1,April 23 1994,driessh01
39,Pavel Francouz,G,6-0,179,-/-,1,June 3 1990,francpa01
49,Samuel Girard,D,5-10,170,L/-,2,May 12 1998,girarsa01
27,Ryan Graves,D,6-5,220,L/-,1,May 21 1995,gravery01
31,Philipp Grubauer,G,6-1,188,-/L,7,November 25 1991,grubaph01
35,Michael Hutchinson,G,6-3,198,-/-,6,March 2 1990,hutchmi01
6,Erik Johnson,D,6-4,225,R/-,11,March 21 1988,johnser01
17,Tyson Jost,C,5-11,187,L/-,3,March 14 1998,jostty01
91,Nazem Kadri,C,6-0,192,L/-,10,October 6 1990,kadrina01
81,Vladislav Kamenev,LW,6-2,194,L/-,3,August 12 1996,kamenvl01
61,Martin Kaut,RW,6-2,180,R/-,R,October 2 1999,kautma01
92,Gabriel Landeskog (C),LW,6-1,215,L/-,8,November 23 1992,landega01
54,Anton Lindholm,D,5-11,191,L/-,3,November 29 1994,lindhan01
29,Nathan MacKinnon,C,6-0,200,R/-,6,September 1 1995,mackina01
8,Cale Makar,D,5-11,187,R/-,R,October 30 1998,makarca01
12,Jayson Megna,C,6-1,195,R/-,5,February 1 1990,megnaja01
90,Vladislav Namestnikov,C,6-0,179,L/-,6,November 22 1992,namesvl01
13,Valeri Nichushkin,RW,6-4,210,L/-,4,March 4 1995,nichuva01
83,Matthew Nieto,LW,5-11,185,L/-,6,November 5 1992,nietoma01
25,Logan O'Connor,RW,6-0,175,R/-,1,August 14 1996,oconnlo01
96,Mikko Rantanen,RW,6-4,215,L/-,4,October 29 1996,rantami01
48,Calle Rosen,D,6-1,188,L/-,2,February 2 1994,rosenca01
20,Conor Timmins,D,6-2,202,R/-,R,September 18 1998,timmico01
36,T.J. Tynan,C,5-8,160,R/-,1,February 25 1992,tynant.01
30,Adam Werner,G,6-5,205,-/L,R,May 2 1997,wernead01
22,Colin Wilson,C,6-1,215,L/-,10,October 20 1989,wilsoco01
16,Nikita Zadorov,D,6-6,235,L/-,6,April 16 1995,zadorni01
