 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
42,David Backes,C,6-3,215,R/-,13,May 1 1984,backeda01
37,Patrice Bergeron,C,6-1,196,R/-,15,July 24 1985,bergepa01
10,Anders Bjork,LW,6-0,197,L/-,2,August 5 1996,bjorkan01
81,Anton Blidh,LW,6-1,197,L/-,3,March 14 1995,blidhan01
28,Paul Carey,C,6-1,200,L/-,6,September 24 1988,careypa01
25,Brandon Carlo,D,6-6,218,R/-,3,November 26 1996,carlobr01
22,Peter Cehlarik,LW,6-2,202,L/-,3,August 2 1995,cehlape01
33,Zdeno Chara (C),D,6-9,250,L/-,21,March 18 1977,charazd01
75,Connor Clifton,D,5-11,190,R/-,1,April 28 1995,cliftco01
13,Charlie Coyle,C/RW,6-3,223,R/-,7,March 2 1992,coylech01
74,Jake DeBrusk,LW,6-0,197,L/-,2,October 17 1996,debruja01
82,Trent Frederic,C,6-3,214,L/-,1,February 11 1998,fredetr01
50,Brendan Gaunce,C,6-2,217,L/-,4,March 25 1994,gauncbr01
48,Matt Grzelcyk,D,5-10,176,L/-,3,January 5 1994,grzelma01
41,Jaroslav Halak,G,5-11,185,-/L,13,May 13 1985,halakja01
43,Danton Heinen,C/LW,6-1,188,L/-,3,July 5 1995,heineda01
53,Cameron Hughes,C,5-11,160,L/-,R,October 9 1996,hugheca01
44,Steven Kampfer,D,5-11,198,R/-,7,September 24 1988,kampfst01
28,Ondrej Kase,RW,6-0,187,R/-,3,November 8 1995,kaseon01
46,David Krejci,C,6-0,192,R/-,13,April 28 1986,krejcda01
47,Torey Krug,D,5-9,186,L/-,8,April 12 1991,krugto01
83,Karson Kuhlman,C,5-11,185,R/-,1,September 26 1995,kuhlmka01
52,Sean Kuraly,C,6-2,213,L/-,3,January 20 1993,kuralse01
79,Jeremy Lauzon,D,6-1,204,L/-,1,April 28 1997,lauzoje01
26,Par Lindholm,C,6-0,183,L/-,1,October 5 1991,lindhpa01
63,Brad Marchand,LW,5-9,176,L/-,10,May 11 1988,marchbr03
73,Charlie McAvoy,D,6-1,209,R/-,2,December 21 1997,mcavoch01
27,John Moore,D,6-2,210,L/-,9,November 19 1990,moorejo01
20,Joakim Nordstrom,C,6-1,194,L/-,6,February 25 1992,nordsjo02
88,David Pastrnak,RW,6-1,195,R/-,5,May 25 1996,pastrda01
40,Tuukka Rask,G,6-3,176,L/L,12,March 10 1987,rasktu01
18,Brett Ritchie,RW,6-4,220,R/-,5,July 1 1993,ritchbr01
21,Nick Ritchie,LW,6-2,230,L/-,4,December 5 1995,ritchni01
19,Zachary Senyshyn,RW,6-1,192,R/-,1,March 30 1997,senysza01
68,Jack Studnicka,C,6-1,171,R/-,R,February 18 1999,studnja01
58,Urho Vaakanainen,D,6-1,185,L/-,1,January 1 1999,vaakaur01
80,Daniel Vladar,G,6-5,185,-/L,R,August 20 1997,vladada01
14,Chris Wagner,C,6-0,198,R/-,5,May 27 1991,wagnech01
