 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
75,Kyle Capobianco,D,6-1,196,L/-,2,August 13 1997,capobky01
26,Michael Chaput,C,6-2,199,L/-,6,April 9 1992,chapumi01
6,Jakob Chychrun,D,6-2,211,L/-,3,March 31 1998,chychja01
67,Lawson Crouse,LW,6-4,220,L/-,3,June 23 1997,crousla01
55,Jason Demers,D,6-1,195,R/-,10,June 9 1988,demerja01
18,Christian Dvorak,C,6-1,193,L/-,3,February 2 1996,dvorach01
23,Oliver Ekman-Larsson (C),D,6-2,200,L/-,9,July 17 1991,ekmanol01
36,Christian Fischer,RW,6-2,214,R/-,3,April 15 1997,fischch01
83,Conor Garland,RW,5-10,165,R/-,1,March 11 1996,garlaco01
33,Alex Goligoski,D,5-11,185,L/-,12,July 30 1985,goligal01
40,Michael Grabner,RW,6-1,188,L/-,10,October 5 1987,grabnmi01
79,Jordan Gross,D,5-10,190,R/-,R,May 9 1995,grossjo01
91,Taylor Hall,LW,6-1,210,L/-,9,November 14 1991,hallta02
29,Barrett Hayton,C,6-1,209,L/-,R,June 9 2000,haytoba01
31,Adin Hill,G,6-6,200,-/L,2,May 11 1996,hillad01
13,Vinnie Hinostroza,C,5-10,177,R/-,4,April 3 1994,hinosvi01
4,Niklas Hjalmarsson,D,6-3,197,L/-,12,June 6 1987,hjalmni01
9,Clayton Keller,C,5-10,170,L/-,3,July 29 1998,kellecl01
81,Phil Kessel,RW,6-0,223,R/-,13,October 2 1987,kesseph01
35,Darcy Kuemper,G,6-5,215,-/L,7,May 5 1990,kuempda01
46,Ilya Lyubushkin,D,6-2,200,R/-,1,April 6 1994,lyubuil01
42,Aaron Ness,D,5-10,184,L/-,5,May 18 1990,nessaa01
82,Jordan Oesterle,D,6-0,187,L/-,5,June 25 1992,oestejo01
32,Antti Raanta,G,6-0,198,-/-,6,May 12 1989,raantan01
15,Brad Richardson,C,6-0,190,L/-,14,February 4 1985,richabr02
8,Nick Schmaltz,C,6-0,177,R/-,3,February 23 1996,schmani01
34,Carl Soderberg,C,6-3,210,L/-,7,October 12 1985,soderca01
21,Derek Stepan,C,5-11,196,R/-,9,June 18 1990,stepade01
