 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
14,Joey Anderson,RW,5-11,190,R/-,1,June 19 1998,anderjo08
29,Mackenzie Blackwood,G,6-4,225,-/L,1,December 9 1996,blackma01
90,Jesper Boqvist,C,6-0,180,L/-,R,October 30 1998,boqvije01
63,Jesper Bratt,W,5-10,175,L/-,2,July 30 1998,brattje01
8,Will Butcher,D,5-10,190,L/-,2,January 6 1995,butchwi01
5,Connor Carrick,D,5-11,192,R/-,5,April 13 1994,carrico01
33,Fredrik Claesson,D,6-1,196,L/-,4,November 24 1992,claesfr01
20,Blake Coleman,C,5-11,207,L/-,3,November 28 1991,colembl01
70,Louis Domingue,G,6-3,208,-/R,5,March 6 1992,dominlo01
6,Andy Greene,D,5-11,190,L/-,13,October 30 1982,greenan01
97,Nikita Gusev,LW,5-9,163,R/-,R,July 8 1992,gusevni01
9,Taylor Hall,LW,6-1,206,L/-,9,November 14 1991,hallta02
15,John Hayden,C,6-3,223,R/-,3,February 14 1995,haydejo01
13,Nico Hischier,C,6-1,175,L/-,2,January 4 1999,hischni01
86,Jack Hughes,C,5-11,175,L/-,R,May 14 2001,hugheja03
40,Joshua Jacobs,D,6-2,200,R/-,1,February 15 1996,jacobjo01
59,Janne Kuokkanen,C/LW,6-1,193,L/-,2,May 25 1998,kuokkja01
41,Michael McLeod,C,6-2,190,R/-,1,February 3 1998,mcleomi01
39,Nicholas Merkley,RW,5-10,195,R/-,1,May 23 1997,merklni01
32,Dakota Mermis,D,6-0,196,L/-,2,January 5 1994,mermida01
25,Mirco Mueller,D,6-3,210,L/-,5,March 21 1995,muellmi01
21,Kyle Palmieri,RW,6-0,190,R/-,9,February 1 1991,palmiky01
16,Kevin Rooney,C,6-2,190,L/-,3,May 21 1993,rooneke01
35,Cory Schneider,G,6-2,210,-/L,11,March 18 1986,schneco01
43,Brett Seney,LW,5-9,156,L/-,1,February 28 1996,seneybr01
31,Gilles Senn,G,6-5,191,-/R,R,March 1 1996,senngi01
28,Damon Severson,D,6-2,205,R/-,5,August 7 1994,severda01
17,Wayne Simmonds,RW,6-2,185,R/-,11,August 26 1988,simmowa01
36,Ben Street,C,5-11,200,L/-,6,February 13 1987,streebe01
76,P.K. Subban,D,6-0,210,R/-,10,May 13 1989,subbapk01
7,Matt Tennyson,D,6-2,205,R/-,6,April 23 1990,tennyma01
45,Sami Vatanen,D,5-10,185,R/-,7,June 3 1991,vatansa01
2,Colton White,D,6-1,188,L/-,1,May 3 1997,whiteco03
44,Miles Wood,LW,6-2,195,L/-,4,September 13 1995,woodmi01
37,Pavel Zacha,C,6-3,210,L/-,4,April 6 1997,zachapa01
19,Travis Zajac,C,6-2,185,R/-,13,May 13 1985,zajactr01
