 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
10,Andy Andreoff,LW,6-1,208,L/-,4,May 17 1991,andrean01
62,Nicolas Aube-Kubel,RW,5-11,214,R/-,1,May 10 1996,aubekni01
61,Justin Braun,D,6-2,203,R/-,9,February 10 1987,braunju01
82,Connor Bunnaman,F,6-1,220,L/-,R,April 16 1998,bunnaco01
14,Sean Couturier,C,6-3,206,L/-,8,December 7 1992,coutuse01
37,Brian Elliott,G,6-2,208,-/L,12,April 9 1985,elliobr01
49,Joel Farabee,LW,6-0,183,L/-,R,February 25 2000,farabjo01
59,Mark Friedman,D,5-11,185,R/-,1,December 25 1995,friedma01
48,Morgan Frost,C,6-0,191,L/-,R,May 14 1999,frostmo01
28,Claude Giroux (C),C/LW,5-11,190,R/-,12,January 12 1988,giroucl01
53,Shayne Gostisbehere,D,5-11,180,L/-,5,April 20 1993,gostish01
38,Derek Grant,C,6-3,210,L/-,6,April 20 1990,grantde01
8,Robert Hagg,D,6-2,204,L/-,3,February 8 1995,haggro01
79,Carter Hart,G,6-2,188,-/L,1,August 13 1998,hartca01
13,Kevin Hayes,RW,6-5,218,L/-,5,May 8 1992,hayeske01
72,David Kase,RW,5-11,170,L/-,R,January 28 1997,kaseda01
11,Travis Konecny,C,5-10,187,R/-,3,March 11 1997,konectr01
21,Scott Laughton,C,6-1,185,L/-,6,May 30 1994,laughsc01
23,Oskar Lindblom,LW,6-1,191,L/-,2,August 15 1996,lindbos01
34,Alex Lyon,G,6-1,201,-/-,2,December 9 1992,lyonal01
55,Samuel Morin,D,6-6,230,L/-,3,July 12 1995,morinsa01
5,Philippe Myers,D,6-5,210,R/-,1,January 25 1997,myersph01
15,Matt Niskanen,D,6-1,203,R/-,12,December 6 1986,niskama01
18,Tyler Pitlick,C,6-2,200,R/-,5,November 1 1991,pitlity01
9,Ivan Provorov,D,6-1,215,L/-,3,January 13 1997,provoiv01
12,Michael Raffl,LW,6-1,205,L/-,6,December 1 1988,rafflmi01
50,German Rubtsov,C,6-0,178,L/-,R,June 27 1998,rubtsge01
6,Travis Sanheim,D,6-3,208,L/-,2,March 29 1996,sanhetr01
44,Chris Stewart,RW,6-2,242,R/-,10,October 30 1987,stewach02
44,Nate Thompson,C,6-1,205,L/-,12,October 5 1984,thompna01
81,Carsen Twarynski,F,6-2,198,L/-,R,November 24 1997,twaryca01
25,James van Riemsdyk,LW,6-3,212,L/-,10,May 4 1989,vanrija01
93,Jakub Voracek,RW,6-2,214,L/-,11,August 15 1989,voracja01
24-46,Mikhail Vorobyev,C,6-2,194,L/-,1,January 5 1997,vorobmi01
