 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
10,Michael Amadio,C,6-1,204,R/-,2,May 13 1996,amadimi01
44,Michael Anderson,D,,,L/-,R,May 25 1999,andermi02
28,Jaret Anderson-Dolan,C,5-11,188,L/-,1,September 12 1999,anderja01
33,Tobias Bjornfot,D,6-0,205,L/-,R,April 6 2001,bjornto01
23,Dustin Brown,RW,6-0,210,R/-,15,November 4 1984,browndu01
36,Jack Campbell,G,6-2,197,-/-,4,January 9 1992,campbja01
77,Jeff Carter,C,6-3,219,R/-,14,January 1 1985,carteje01
34,Kale Clague,D,6-0,190,L/-,R,June 5 1998,claguka01
13,Kyle Clifford,LW,6-2,211,L/-,9,January 13 1991,cliffky01
8,Drew Doughty,D,6-1,205,R/-,11,December 8 1989,doughdr01
24,Derek Forbort,D,6-4,208,L/-,4,March 4 1992,forbode01
29,Martin Frk,RW,6-1,210,R/-,3,October 5 1993,frkma01
38,Carl Grundstrom,RW,6-0,200,L/-,1,December 1 1997,grundca01
15,Ben Hutton,D,6-2,206,L/-,4,April 20 1993,huttobe01
19,Alex Iafallo,C,6-0,190,L/-,2,December 21 1993,iafalal01
9,Adrian Kempe,LW,6-2,205,L/-,3,September 13 1996,kempead01
11,Anze Kopitar (C),C,6-3,225,L/-,13,August 24 1987,kopitan01
17,Ilya Kovalchuk,LW,6-3,222,R/-,12,April 15 1983,kovalil01
2,Paul Ladue,D,6-3,205,R/-,3,September 6 1992,laduepa01
22,Trevor Lewis,C,6-1,202,R/-,11,January 8 1987,lewistr01
46,Blake Lizotte,C,5-8,185,L/-,1,December 13 1997,lizotbl01
64,Matt Luff,RW,6-2,196,R/-,1,May 5 1997,luffma01
56,Kurtis MacDermid,D,6-5,233,L/-,2,March 25 1994,macdeku01
27,Alec Martinez,D,6-1,209,L/-,10,July 26 1987,martial01
12,Trevor Moore,LW,5-10,185,L/-,1,March 31 1995,mooretr01
40,Calvin Petersen,G,6-2,185,-/R,1,October 19 1994,peterca01
74,Nikolai Prokhorkin,LW,,,-/-,R,September 17 1993,prokhni01
32,Jonathan Quick,G,6-1,215,-/L,12,January 21 1986,quickjo01
3,Matt Roy,D,6-1,200,R/-,1,March 1 1995,royma04
6,Joakim Ryan,D,5-11,185,L/-,2,June 17 1993,ryanjo02
59,Tim Schaller,LW,6-2,204,L/-,5,November 16 1990,schalti01
73,Tyler Toffoli,C,6-0,198,R/-,7,April 24 1992,toffoty01
42,Gabriel Vilardi,C,6-3,200,R/-,R,August 16 1999,vilarga01
51,Austin Wagner,LW,6-1,190,L/-,1,June 23 1997,wagneau01
26,Sean Walker,D,5-11,195,R/-,1,November 13 1994,walkese01
