 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
55,Noel Acciari,C,5-10,209,R/-,4,December 1 1991,acciano01
16,Aleksander Barkov (C),C,6-3,215,L/-,6,September 2 1995,barkoal01
72,Sergei Bobrovsky,G,6-2,182,-/L,9,September 20 1988,bobrose01
95,Henrik Borgström,C,6-3,190,L/-,2,August 6 1997,borgshe01
9,Brian Boyle,C,6-6,245,L/-,12,December 18 1984,boylebr01
2,Josh Brown,D,6-5,221,R/-,1,January 21 1994,brownjo01
10,Brett Connolly,RW,6-3,198,R/-,8,May 2 1992,connobr01
63,Evgenii Dadonov,RW,5-11,189,L/-,5,March 12 1989,dadonev01
60,Chris Driedger,G,6-4,208,-/-,3,May 18 1994,driedch01
5,Aaron Ekblad,D,6-4,215,R/-,5,February 7 1996,ekblaaa01
56,Erik Haula,LW,6-0,193,L/-,6,March 23 1991,haulaer01
8,Jayce Hawryluk,C,5-11,196,R/-,1,January 1 1996,hawryja01
68,Mike Hoffman,C/LW,6-0,190,L/-,8,November 24 1989,hoffmmi02
11,Jonathan Huberdeau,LW,6-1,202,L/-,7,June 4 1993,huberjo01
73,Dryden Hunt,LW,6-0,193,L/-,2,November 24 1995,huntdr01
25,Brady Keeper,D,6-2,197,R/-,1,June 5 1996,keepebr01
62,Denis Malgin,C,5-9,177,R/-,3,January 18 1997,malgide01
19,Mike Matheson,D,6-2,193,L/-,4,February 27 1994,mathemi01
33,Sam Montembeault,G,6-3,214,-/L,1,October 30 1996,montesa01
13,Mark Pysyk,D,6-1,196,R/-,7,January 11 1992,pysykma01
28,Aleksi Saarela,C,5-10,200,L/-,R,January 7 1997,saareal01
7,Colton Sceviour,C/RW,6-0,192,R/-,8,April 20 1989,scevico01
61,Riley Stillman,D,6-1,196,L/-,1,March 9 1998,stillri01
6,Anton Stralman,D,5-11,186,R/-,12,August 1 1986,stralan01
14,Dominic Toninato,C,6-2,201,L/-,2,March 9 1994,tonindo01
21,Vincent Trocheck,C,5-10,183,R/-,6,July 11 1993,trochvi01
77,Frank Vatrano,LW,5-11,197,L/-,4,March 14 1994,vatrafr01
71,Lucas Wallmark,C,6-0,178,L/-,3,September 5 1995,wallmlu01
52,MacKenzie Weegar,D,6-0,200,R/-,3,January 7 1994,weegama01
3,Keith Yandle,D,6-1,197,L/-,13,September 9 1986,yandlke01
