 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
85,Vitaly Abramov,RW,5-9,171,L/-,1,May 8 1998,abramvi01
41,Craig Anderson,G,6-2,187,-/L,16,May 21 1981,andercr01
51,Artem Anisimov,C,6-4,198,L/-,11,May 24 1988,anisiar01
38,Rudolfs Balcers,LW,5-11,180,L/-,1,April 8 1997,balceru01
19,Drake Batherson,C,6-3,200,R/-,1,April 27 1998,bathedr01
64,J.C. Beaudin,C,6-1,196,R/-,R,March 25 1997,beaudje01
89,Mikkel Boedker,RW,6-0,210,L/-,11,December 16 1989,boedkmi01
74,Mark Borowiecki,D,6-2,204,L/-,8,July 12 1989,borowma01
26,Erik Brannstrom,D,5-10,185,L/-,1,September 2 1999,branner01
28,Connor Brown,RW,6-0,185,R/-,4,January 14 1994,brownco02
21,Logan Brown,C,6-6,218,L/-,2,March 5 1998,brownlo01
72,Thomas Chabot,D,6-2,195,L/-,3,January 30 1997,chaboth01
78,Filip Chlapik,C,6-2,194,L/-,2,June 3 1997,chlapfi01
17,Jonathan Davidsson,RW,5-11,185,R/-,R,March 12 1997,davidjo03
2,Dylan DeMelo,D,6-1,194,R/-,4,May 1 1993,demeldy01
10,Anthony Duclair,LW,5-11,197,L/-,5,August 26 1995,duclaan01
39,Andreas Englund,D,6-3,189,L/-,3,January 21 1996,engluan01
63,Tyler Ennis,C,5-9,161,L/-,10,October 6 1989,ennisty01
28-29,Cody Goloubef,D,6-1,190,R/-,7,November 30 1989,golouco01
81,Ron Hainsey,D,6-3,205,L/-,16,March 24 1981,hainsro01
79,Jayce Hawryluk,C,5-11,196,R/-,1,January 1 1996,hawryja01
35,Marcus Hogberg,G,6-5,209,-/-,1,November 25 1994,hogbema01
83,Christian Jaros,D,6-3,222,R/-,2,April 2 1996,jarosch01
58,Maxime Lajoie,D,6-1,196,L/-,1,November 5 1997,lajoima01
90,Vladislav Namestnikov,C,6-0,179,L/-,6,November 22 1992,namesvl01
31,Anders Nilsson,G,6-6,232,-/L,6,March 19 1990,nilssan01
37,Joshua Norris,C,6-2,195,L/-,R,May 5 1999,norrijo01
44,Jean-Gabriel Pageau,C,5-11,185,R/-,7,November 11 1992,pageaje01
13,Nick Paul,LW,6-3,223,L/-,4,March 20 1995,paulni01
53,Matthew Peca,C,5-8,182,L/-,3,April 27 1993,pecama01
5,Mike Reilly,D,6-1,199,L/-,4,July 13 1993,reillmi01
9,Bobby Ryan,LW,6-2,209,R/-,12,March 17 1987,ryanbo01
49,Scott Sabourin,F,6-4,207,R/-,R,July 30 1992,sabousc01
27,Jordan Szwarz,RW,5-11,200,R/-,3,May 14 1991,szwarjo01
71,Chris Tierney,C,6-1,191,L/-,5,July 1 1994,tiernch01
7,Brady Tkachuk,LW,6-4,221,L/-,1,September 16 1999,tkachbr01
14,Max Veronneau,RW,6-0,180,R/-,1,December 12 1995,veronma01
36,Colin White,C,6-1,194,R/-,3,January 30 1997,whiteco02
86,Christian Wolanin,D,6-2,190,L/-,2,March 17 1995,wolanch01
22,Nikita Zaitsev,D,6-2,192,R/-,3,October 29 1991,zaitsni01
