 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
41,Pierre-Edouard Bellemare,LW,5-11,198,L/-,6,March 6 1985,bellepi01
95,Andre Burakovsky,LW,6-3,209,L/-,6,February 9 1995,burakan01
88,Kyle Burroughs,D,6-0,193,R/-,R,July 12 1995,burroky01
4,Bowen Byram,D,6-1,190,L/-,R,June 13 2001,byrambo01
11,Matt Calvert,LW,5-11,186,L/-,10,December 24 1989,calvema01
,Ian Cole,D,6-1,225,L/-,10,February 21 1989,coleia01
37,J.T. Compher,LW,6-0,190,R/-,4,April 8 1995,comphj.01
72,Joonas Donskoi,RW,6-0,190,R/-,5,April 13 1992,donskjo01
15,Sheldon Dries,C,5-9,180,L/-,2,April 23 1994,driessh01
40,Devan Dubnyk,G,6-6,224,-/L,11,May 4 1986,dubnyde01
9,Dennis Gilbert,D,6-2,216,L/-,2,October 30 1996,gilbede01
49,Samuel Girard,D,5-10,170,L/-,3,May 12 1998,girarsa01
27,Ryan Graves,D,6-5,220,L/-,2,May 21 1995,gravery01
31,Philipp Grubauer,G,6-1,188,-/L,8,November 25 1991,grubaph01
35,Jonas Johansson,G,6-5,220,L/-,1,September 19 1995,johanjo03
6,Erik Johnson,D,6-4,225,R/-,12,March 21 1988,johnser01
17,Tyson Jost,C,5-11,187,L/-,4,March 14 1998,jostty01
91,Nazem Kadri,C,6-0,192,L/-,11,October 6 1990,kadrina01
61,Martin Kaut,RW,6-2,180,R/-,1,October 2 1999,kautma01
92,Gabriel Landeskog (C),LW,6-1,215,L/-,9,November 23 1992,landega01
26-34,Jacob MacDonald,D,6-0,204,L/-,1,February 26 1993,macdoja02
29,Nathan MacKinnon,C,6-0,200,R/-,7,September 1 1995,mackina01
8,Cale Makar,D,5-11,187,R/-,1,October 30 1998,makarca01
12,Jayson Megna,C,6-1,195,R/-,6,February 1 1990,megnaja01
67,Keaton Middleton,D,6-5,235,L/-,R,February 10 1998,middlke01
32,Hunter Miska,G,6-1,175,-/-,1,July 7 1995,miskahu01
24,Patrik Nemeth,D,6-3,228,L/-,7,February 8 1992,nemetpa01
18,Alex Newhook,C,5-10,190,L/-,R,January 28 2001,newhoal01
13,Valeri Nichushkin,RW,6-4,210,L/-,5,March 4 1995,nichuva01
38,Liam O'Brien,C,6-1,213,L/-,3,July 29 1994,obrieli01
25,Logan O'Connor,RW,6-0,175,R/-,2,August 14 1996,oconnlo01
5,Greg Pateryn,D,6-2,221,R/-,7,June 20 1990,patergr01
,Sampo Ranta,LW,6-1,192,L/-,R,May 31 2000,rantasa01
96,Mikko Rantanen,RW,6-4,215,L/-,5,October 29 1996,rantami01
2,Dan Renouf,D,6-1,198,L/-,1,June 1 1994,renouda01
20,Brandon Saad,LW,6-1,206,L/-,9,October 27 1992,saadbr01
44,Kiefer Sherwood,RW,6-0,194,R/-,2,March 31 1995,sherwki01
34,Carl Soderberg,C,6-3,210,L/-,8,October 12 1985,soderca01
22,Conor Timmins,D,6-2,202,R/-,1,September 18 1998,timmico01
7,Devon Toews,D,6-1,191,L/-,2,February 21 1994,toewsde01
