 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
13,Cam Atkinson,RW,5-8,176,R/-,9,June 5 1989,atkinca01
7,Gavin Bayreuther,D,6-1,195,L/-,1,May 12 1994,bayrega01
52,Emil Bemstrom,C,6-0,193,R/-,1,June 1 1999,bemstem01
28,Oliver Bjorkstrand,RW,6-0,177,R/-,5,April 10 1995,bjorkol01
53,Gabriel Carlsson,D,6-5,203,L/-,4,January 2 1997,carlsga01
26,Zac Dalpe,RW,6-2,197,R/-,9,November 1 1989,dalpeza01
15,Michael Del Zotto,D,6-0,195,L/-,11,June 24 1990,delzomi01
16,Max Domi,LW,5-10,192,L/-,5,March 2 1995,domima01
,Pierre-Luc Dubois,LW,6-3,218,L/-,3,June 24 1998,duboipi01
21,Joshua Dunne,C,6-4,210,L/-,R,December 8 1998,dunnejo01
71,Nick Foligno (C),LW,6-0,210,L/-,13,October 31 1987,foligni01
19,Liam Foudy,C,6-2,193,L/-,1,February 4 2000,foudyli01
44,Vladislav Gavrikov,D,6-3,213,L/-,1,November 21 1995,gavrivl01
24,Nathan Gerbe,C,5-4,176,L/-,10,July 24 1987,gerbena01
25,Mikhail Grigorenko,C,6-3,209,L/-,5,May 16 1994,grigomi01
4,Scott Harrington,D,6-2,206,L/-,6,March 10 1993,harrisc01
38,Boone Jenner,C,6-2,207,L/-,7,June 15 1993,jennebo01
3,Seth Jones,D,6-4,208,R/-,7,October 3 1994,jonesse01
80,Matiss Kivlenieks,G,6-2,178,-/L,1,August 26 1996,kivlema01
9,Mikko Koivu,C,6-3,213,L/-,15,March 12 1983,koivumi01
70,Joonas Korpisalo,G,6-3,192,-/-,5,April 28 1994,korpijo01
46,Dean Kukan,D,6-2,186,L/-,4,July 8 1993,kukande01
29,Patrik Laine,RW,6-5,205,R/-,4,April 19 1998,lainepa01
43,Mikko Lehtonen,D,6-0,196,L/-,R,January 16 1994,lehtomi03
49,Ryan MacInnis,C,6-4,201,L/-,1,February 14 1996,macinry01
23,Stefan Matteau,LW,6-2,208,L/-,5,February 23 1994,mattest02
90,Elvis Merzlikins,G,6-3,185,L/-,1,April 13 1994,merzlel01
20,Riley Nash,C,6-2,188,R/-,9,May 9 1989,nashri02
2,Andrew Peeke,D,6-3,198,R/-,1,March 17 1998,peekean01
50,Eric Robinson,LW,6-2,200,L/-,3,June 14 1995,robiner01
96,Jack Roslovic,C,6-1,187,R/-,4,January 29 1997,rosloja01
58,David Savard,D,6-2,233,R/-,9,October 22 1990,savarda01
88,Kole Sherwood,RW,6-1,212,R/-,2,January 22 1997,sherwko01
11,Kevin Stenlund,C,6-4,211,R/-,2,September 20 1996,stenlke01
42,Alexandre Texier,C,6-1,186,L/-,2,September 13 1999,texieal01
35,Veini Vehvilainen,G,,,R/-,R,February 13 1997,vehvive01
8,Zach Werenski,D,6-2,218,L/-,4,July 19 1997,werenza01
