 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
34,Jake Allen,G,6-2,195,-/L,7,August 7 1990,allenja01
17,Josh Anderson,RW,6-3,218,R/-,6,May 7 1994,anderjo05
40,Joel Armia,RW,6-3,216,R/-,6,May 31 1993,armiajo01
60,Alex Belzile,F,6-0,196,R/-,R,August 31 1991,belzial01
41,Paul Byron,LW,5-9,158,L/-,10,April 27 1989,byronpa01
22,Cole Caufield,RW,5-7,174,R/-,R,January 2 2001,caufico01
8,Ben Chiarot,D,6-3,232,L/-,7,May 9 1991,chiarbe01
24,Phillip Danault,C,6-1,200,L/-,6,February 24 1993,danauph01
92,Jonathan Drouin,LW,5-11,198,L/-,6,March 28 1995,drouijo01
44,Joel Edmundson,D,6-5,221,L/-,5,June 28 1993,edmunjo01
71,Jake Evans,C/RW,6-0,186,R/-,1,June 2 1996,evansja02
67,Michael Frolik,LW,6-1,190,L/-,12,February 17 1988,frolimi01
11,Brendan Gallagher,RW,5-9,186,R/-,8,May 6 1992,gallabr01
32,Erik Gustafsson,D,6-0,197,L/-,4,March 14 1992,gustaer02
15,Jesperi Kotkaniemi,C,6-2,201,L/-,2,July 6 2000,kotkaje01
77,Brett Kulak,D,6-1,197,L/-,6,January 6 1994,kulakbr01
62,Artturi Lehkonen,LW,6-0,176,L/-,4,July 4 1995,lehkoar01
64,Otto Leskinen,D,5-11,183,L/-,1,February 6 1997,leskiot01
28,Jonathon Merrill,D,6-3,196,L/-,7,February 3 1992,merrijo01
53,Victor Mete,D,5-9,187,L/-,3,June 7 1998,metevi01
61,Xavier Ouellet,D,6-0,197,L/-,7,July 29 1993,ouellxa01
94,Corey Perry,RW,6-3,208,R/-,15,May 16 1985,perryco01
26,Jeff Petry,D,6-3,201,R/-,10,December 9 1987,petryje01
31,Carey Price,G,6-3,217,L/L,13,August 16 1987,priceca01
30,Cayden Primeau,G,,,-/L,1,August 11 1999,primeca01
27,Alexander Romanov,D,6-1,215,L/-,R,January 6 2000,romanal01
21,Eric Staal,C,6-4,195,L/-,16,October 29 1984,staaler01
14,Nick Suzuki,C,5-11,208,R/-,1,August 10 1999,suzukni01
90,Tomas Tatar,LW,5-10,173,L/-,9,December 1 1990,tatarto01
73,Tyler Toffoli,C,6-0,198,R/-,8,April 24 1992,toffoty01
6,Shea Weber (C),D,6-4,230,R/-,15,August 14 1985,webersh01
56,Jesse Ylönen,RW,6-0,167,R/-,R,October 3 1999,yloneje01
