 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
31,Craig Anderson,G,6-2,186,-/L,17,May 21 1981,andercr01
19,Nicklas Backstrom,C,6-1,206,L/-,13,November 23 1987,backsni02
74,John Carlson,D,6-3,215,R/-,11,January 10 1990,carlsjo01
28,Daniel Carr,LW,6-0,186,L/-,5,November 1 1991,carrda01
33,Zdeno Chara,D,6-9,250,L/-,22,March 18 1977,charazd01
4,Brenden Dillon,D,6-4,225,L/-,9,November 13 1990,dillobr01
26,Nic Dowd,C,6-1,192,R/-,5,May 27 1990,dowdni01
20,Lars Eller,C,6-2,208,L/-,11,May 8 1989,ellerla01
62,Carl Hagelin,LW,5-11,185,L/-,9,August 23 1988,hagelca01
21,Garnet Hathaway,RW,6-2,212,R/-,5,November 23 1991,hathaga01
3,Nick Jensen,D,6-1,205,R/-,4,September 21 1990,jenseni02
92,Evgeny Kuznetsov,C,6-1,205,L/-,7,May 19 1992,kuzneev01
16,Philippe Maillet,F,5-10,174,L/-,R,November 7 1992,maillph01
39,Anthony Mantha,RW,6-5,234,L/-,5,September 16 1994,manthan01
24,Connor McMichael,C,6-0,183,L/-,R,January 15 2001,mcmicco01
9,Dmitry Orlov,D,5-11,211,L/-,8,July 23 1991,orlovdm01
77,T.J. Oshie,C/RW,5-11,196,R/-,12,December 23 1986,oshietj01
8,Alex Ovechkin (C),LW,6-3,238,R/-,15,September 17 1985,ovechal01
14,Richard Panik,RW,6-2,210,L/-,8,February 7 1991,panikri01
40,Garrett Pilon,C,6-0,190,R/-,R,April 13 1998,pilonga01
64,Brian Pinho,C,6-1,190,-/-,R,May 11 1995,pinhobr01
17,Michael Raffl,LW,6-1,205,L/-,7,December 1 1988,rafflmi01
30,Ilya Samsonov,G,6-3,200,-/L,1,February 22 1997,samsoil01
2,Justin Schultz,D,6-2,187,R/-,8,July 6 1990,schulju01
23,Michael Sgarbossa,C,6-0,182,L/-,5,July 25 1992,sgarbmi01
73,Conor Sheary,LW,5-9,178,L/-,5,June 8 1992,shearco01
34,Jonas Siegenthaler,D,6-2,218,L/-,2,May 6 1997,siegejo01
10,Daniel Sprong,RW,6-0,200,R/-,4,March 17 1997,spronda01
57,Trevor van Riemsdyk,D,6-3,188,R/-,6,July 24 1991,vanritr01
41,Vitek Vanecek,G,6-2,184,-/-,R,January 9 1996,vanecvi01
13,Jakub Vrana,LW,6-0,195,L/-,4,February 28 1996,vranaja01
43,Tom Wilson,RW,6-4,220,R/-,7,March 29 1994,wilsoto01
