 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
4,Rasmus Andersson,D,6-1,214,R/-,4,October 27 1996,anderra01
11,Mikael Backlund,C,6-0,200,L/-,12,March 17 1989,backlmi01
93,Sam Bennett,C,6-1,195,L/-,6,June 20 1996,bennesa01
70,Louis Domingue,G,6-3,208,-/R,6,March 6 1992,dominlo01
29,Dillon Dube,C,5-11,187,L/-,2,July 20 1998,dubedi01
38,Byron Froese,C,6-1,202,R/-,3,March 12 1991,froesby01
13,Johnny Gaudreau,LW,5-9,165,L/-,7,August 13 1993,gaudrjo01
42,Glenn Gawdin,C,6-1,191,R/-,R,March 25 1997,gawdigl01
5,Mark Giordano (C),D,6-0,205,L/-,14,October 3 1983,giordma01
55,Noah Hanifin,D,6-3,215,L/-,5,January 25 1997,hanifno01
58,Oliver Kylington,D,6-0,183,L/-,3,May 19 1997,kylinol01
27,Josh Leivo,LW,6-2,192,R/-,7,May 26 1993,leivojo01
28,Elias Lindholm,C,6-1,195,R/-,7,December 2 1994,lindhel01
17,Milan Lucic,LW,6-3,231,L/-,13,June 7 1988,lucicmi01
3,Connor Mackey,D,6-2,196,L/-,R,September 12 1996,mackeco01
88,Andrew Mangiapane,LW,5-10,184,L/-,3,April 4 1996,mangian01
25,Jacob Markstrom,G,6-6,206,-/L,10,January 31 1990,marksja02
23,Sean Monahan,C,6-2,196,L/-,7,October 12 1994,monahse01
89,Nikita Nesterov,D,6-0,183,L/-,3,March 28 1993,nesteni01
20,Joakim Nordstrom,C,6-1,194,L/-,7,February 25 1992,nordsjo02
41,Matthew Phillips,F,5-7,140,-/-,R,April 6 1998,phillma01
36,Zac Rinaldo,C,5-10,192,L/-,8,June 15 1990,rinalza01
18-24,Brett Ritchie,RW,6-4,220,R/-,6,July 1 1993,ritchbr01
33,David Rittich,G,6-3,206,-/-,4,August 19 1992,rittida01
53,Buddy Robinson,RW,6-6,232,R/-,3,August 30 1991,robinbu01
63,Adam Ruzicka,C,6-4,202,L/-,R,May 11 1999,ruzicad01
10,Derek Ryan,C,5-10,185,R/-,5,December 29 1986,ryande01
81,Dominik Simon,C,5-11,190,L/-,5,August 8 1994,simondo01
26,Michael Stone,D,6-3,210,R/-,9,June 7 1990,stonemi01
8,Chris Tanev,D,6-2,193,R/-,10,December 20 1989,tanevch01
19,Matthew Tkachuk,LW,6-2,201,L/-,4,December 11 1997,tkachma01
6,Juuso Valimaki,D,6-2,212,L/-,1,October 6 1998,valimju01
50,Artyom Zagidulin,G,6-2,180,-/L,R,August 8 1995,zagidar01 
