 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
38,Patrick Brown,C,6-1,210,R/-,4,May 29 1992,brownpa02
28,William Carrier,LW,6-2,218,L/-,4,December 20 1994,carriwi01
52,Dylan Coghlan,D,6-2,208,R/-,R,February 19 1998,coghldy01
35,Oscar Dansk,G,6-3,204,-/-,2,February 28 1994,danskos01
29,Marc-Andre Fleury,G,6-2,185,-/L,16,November 28 1984,fleurma01
9,Cody Glass,C,6-3,206,R/-,1,April 1 1999,glassco01
14,Nicolas Hague,D,6-6,215,L/-,1,December 5 1998,hagueni01
22,Nick Holden,D,6-4,210,L/-,9,May 15 1987,holdeni01
26,Mattias Janmark,C,6-1,195,L/-,4,December 8 1992,janmama02
13,Tomas Jurco,RW,6-1,188,L/-,6,December 28 1992,jurcoto01
71,William Karlsson,C,6-1,189,L/-,6,January 8 1993,karlswi01
55,Keegan Kolesar,RW,6-2,227,R/-,1,April 8 1997,koleske01
18,Peyton Krebs,C,6-0,187,L/-,R,January 26 2001,krebspe01
90,Robin Lehner,G,6-4,240,-/L,10,July 24 1991,lehnero01
81,Jonathan Marchessault,C,5-9,180,R/-,7,December 27 1990,audymjo01
23,Alec Martinez,D,6-1,209,L/-,11,July 26 1987,martial01
3,Brayden McNabb,D,6-4,212,L/-,8,January 21 1991,mcnabbr01
92,Tomas Nosek,C,6-3,205,L/-,5,September 1 1992,nosekto01
67,Max Pacioretty,LW,6-2,206,L/-,12,November 20 1988,pacioma01
7,Alex Pietrangelo,D,6-3,210,R/-,12,January 18 1990,pietral01
75,Ryan Reaves,RW,6-2,225,R/-,10,January 20 1987,reavery01
10,Nicolas Roy,C,6-4,205,R/-,3,February 5 1997,royni01
15,Dylan Sikura,C,5-11,170,L/-,3,June 1 1995,sikurdy01
19,Reilly Smith,RW,6-1,180,L/-,9,April 1 1991,smithre01
20,Chandler Stephenson,C,6-0,203,L/-,5,April 22 1994,stephch02
61,Mark Stone (C),RW,6-4,219,R/-,8,May 13 1992,stonema01
27,Shea Theodore,D,6-2,195,L/-,5,August 3 1995,theodsh01
36,Logan Thompson,G,6-4,201,-/R,R,February 25 1997,thomplo01
89,Alex Tuch,RW,6-4,219,R/-,4,May 10 1996,tuchal01
2,Zach Whitecloud,D,6-2,208,R/-,2,November 28 1996,whiteza01
