 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
20,Sebastian Aho,F,6-0,173,L/-,4,July 26 1997,ahose01
24,Jake Bean,D,6-1,186,L/-,1,June 9 1998,beanja01
18,Ryan Dzingel,C,6-0,190,L/-,5,March 9 1992,dzingry01
71,Jesper Fast,RW,6-1,191,R/-,7,December 2 1991,fastje01
4,Haydn Fleury,D,6-3,208,L/-,3,July 8 1996,fleurha01
13,Warren Foegele,LW,6-2,198,L/-,3,April 1 1996,foegewa01
51,Jake Gardiner,D,6-2,203,L/-,9,July 4 1990,gardija01
67,Morgan Geekie,C,6-3,192,R/-,1,July 20 1998,geekimo01
58,Jani Hakanpaa,D,6-7,221,-/-,1,March 31 1992,hakanja01
19,Dougie Hamilton,D,6-6,230,R/-,8,June 17 1993,hamildo01
44,Joey Keane,D,6-0,187,R/-,R,July 2 1999,keanejo01
42,Maxime Lajoie,D,6-1,196,L/-,2,November 5 1997,lajoima01
78,Steven Lorentz,C/LW,6-4,207,L/-,R,April 13 1996,lorenst01
48,Jordan Martinook,LW,6-0,196,L/-,6,July 25 1992,martijo01
28,Max McCormick,LW,5-11,188,L/-,4,May 1 1992,mccorma01
23,Brock McGinn,LW,6-0,187,L/-,5,February 2 1994,mcginbr01
34,Petr Mrazek,G,6-1,190,-/L,8,February 14 1992,mrazepe01
88,Martin Necas,C,6-2,189,R/-,3,January 15 1999,necasma01
39,Alex Nedeljkovic,G,6-0,189,-/-,3,January 7 1996,nedelal01
21,Nino Niederreiter,RW,6-2,215,L/-,9,September 8 1992,niedeni01
18,Cedric Paquette,C,6-0,204,L/-,7,August 13 1993,paquece01
22,Brett Pesce,D,6-4,201,R/-,5,November 15 1994,pescebr01
47,James Reimer,G,6-2,220,-/L,10,March 15 1988,reimeja01
41,Sheldon Rempal,RW,5-10,165,R/-,1,August 7 1995,rempash01
33,Joakim Ryan,D,5-11,185,L/-,3,June 17 1993,ryanjo02
29,Drew Shore,C,6-2,209,R/-,5,January 29 1991,shoredr01
76,Brady Skjei,D,6-3,210,L/-,5,March 26 1994,skjeibr01
74,Jaccob Slavin,D,6-3,213,L/-,5,May 1 1994,slavija01
11,Jordan Staal (C),C,6-4,220,L/-,14,September 10 1988,staaljo01
37,Andrei Svechnikov,RW,6-2,200,L/-,2,March 26 2000,svechan01
86,Teuvo Teravainen,F,5-11,196,L/-,7,September 11 1994,teravte01
16,Vincent Trocheck,C,5-10,183,R/-,7,July 11 1993,trochvi01
