 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
25,Sebastian Aho,D,5-10,186,L/-,1,February 17 1996,ahose02
12,Josh Bailey,C,6-1,200,L/-,12,October 2 1989,bailejo01
13,Mathew Barzal,C,6-1,190,R/-,4,May 26 1997,barzama01
18,Anthony Beauvillier,LW,5-11,180,L/-,4,June 8 1997,beauvan01
20,Kieffer Bellows,LW,6-1,195,L/-,1,June 10 1998,belloki01
53,Casey Cizikas,C,5-11,190,L/-,9,February 27 1991,cizikca01
15,Cal Clutterbuck,RW,6-0,212,R/-,13,November 18 1987,cluttca01
45,Braydon Coburn,D,6-5,224,L/-,15,February 27 1985,coburbr01
11,Austin Czarnik,C,5-9,170,R/-,4,December 12 1992,czarnau01
28,Michael Dal Colle,LW,6-3,195,L/-,3,June 20 1996,dalcomi01
8,Noah Dobson,D,6-4,194,R/-,1,January 7 2000,dobsono01
7,Jordan Eberle,RW,5-11,187,R/-,10,May 15 1990,eberljo01
4,Andy Greene,D,5-11,190,L/-,14,October 30 1982,greenan01
34,Thomas Hickey,D,6-0,185,L/-,7,February 8 1989,hicketh01
32,Ross Johnston,LW,6-5,230,L/-,4,February 18 1994,johnsro02
47,Leo Komarov,C,5-11,205,L/-,7,January 23 1987,komarle01
2,Nick Leddy,D,6-0,206,L/-,10,March 20 1991,leddyni01
27,Anders Lee (C),LW,6-3,235,L/-,8,July 3 1990,leean01
17,Matt Martin,LW,6-3,220,L/-,11,May 8 1989,martima02
24,Scott Mayfield,D,6-5,220,R/-,6,October 14 1992,mayfisc01
29,Brock Nelson,C,6-4,201,L/-,7,October 15 1991,nelsobr01
44,Jean-Gabriel Pageau,C,5-11,185,R/-,8,November 11 1992,pageaje01
21,Kyle Palmieri,RW,6-0,190,R/-,10,February 1 1991,palmiky01
3,Adam Pelech,D,6-3,210,L/-,5,August 16 1994,pelecad01
6,Ryan Pulock,D,6-2,216,R/-,5,October 6 1994,pulocry01
30,Ilya Sorokin,G,6-3,195,L/-,R,August 4 1995,sorokil01
41,Dmytro Timashov,LW,5-10,192,L/-,1,October 1 1996,timasdm01
40,Semyon Varlamov,G,6-2,210,-/L,12,April 27 1988,varlasi01
26,Oliver Wahlstrom,RW,6-2,204,R/-,1,June 13 2000,wahlsol01
14,Travis Zajac,C,6-2,185,R/-,14,May 13 1985,zajactr01
