 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
22,Mason Appleton,C,6-2,193,R/-,2,January 15 1996,applema01
88,Nathan Beaulieu,D,6-2,205,L/-,8,December 5 1992,beaulna01
40,Jordie Benn,D,6-2,201,L/-,9,July 26 1987,bennjo01
30,Laurent Brossoit,G,6-3,204,-/-,6,March 23 1993,brossla01
81,Kyle Connor,LW,6-1,183,L/-,4,December 9 1996,connoky01
9,Andrew Copp,C,6-1,199,L/-,6,July 8 1994,coppan01
2,Dylan DeMelo,D,6-1,194,R/-,5,May 1 1993,demeldy01
13,Pierre-Luc Dubois,LW,6-3,218,L/-,3,June 24 1998,duboipi01
27,Nikolaj Ehlers,LW,6-0,172,L/-,5,February 14 1996,ehlerni01
24,Derek Forbort,D,6-4,208,L/-,5,March 4 1992,forbode01
19,David Gustafsson,C,6-2,196,L/-,1,April 11 2000,gustada01
12,Jansen Harkins,C,6-2,195,L/-,1,May 23 1997,harkija01
14,Ville Heinola,D,6-0,181,L/-,1,March 2 2001,heinovi01
37,Connor Hellebuyck,G,6-4,207,-/-,5,May 19 1993,helleco01
,Patrik Laine,RW,6-5,205,R/-,4,April 19 1998,lainepa01
23,Trevor Lewis,C,6-1,202,R/-,12,January 8 1987,lewistr01
17,Adam Lowry,LW,6-5,210,L/-,6,March 29 1993,lowryad01
44,Josh Morrissey,D,6-0,195,L/-,5,March 28 1995,morrijo04
8,Sami Niku,D,6-1,194,L/-,3,October 10 1996,nikusa01
85,Mathieu Perreault,C,5-10,188,L/-,11,January 5 1988,perrema01
4,Neal Pionk,D,6-0,190,R/-,3,July 29 1995,pionkne01
3,Tucker Poolman,D,6-2,199,R/-,2,June 8 1993,poolmtu01
55,Mark Scheifele,C,6-3,207,R/-,9,March 15 1993,scheima01
64,Logan Stanley,D,6-7,231,-/-,R,May 26 1998,stanllo01
25,Paul Stastny,C,6-0,193,L/-,14,December 27 1985,stastpa01
11,Nate Thompson,C,6-1,205,L/-,13,October 5 1984,thompna01
21,Dominic Toninato,C,6-2,201,L/-,3,March 9 1994,tonindo01
93,Kristian Vesalainen,W,6-3,207,L/-,1,June 1 1999,vesalkr01
26,Blake Wheeler (C),RW,6-5,225,R/-,12,August 31 1986,wheelbl01
