 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
20,Kenny Agostino,LW,6-0,199,L/-,5,April 30 1992,agostke01
31,Frederik Andersen,G,6-4,229,-/-,7,October 2 1989,anderfr01
28,Joey Anderson,RW,6-0,207,R/-,2,June 19 1998,anderjo08
94,Alexander Barabanov,F,5-10,192,L/-,R,June 17 1994,barabal01
22,Zach Bogosian,D,6-2,222,R/-,12,July 15 1990,bogosza01
72,Travis Boyd,C,6-0,190,R/-,3,September 14 1993,boydtr01
78,T.J. Brodie,D,6-2,187,L/-,10,June 7 1990,broditj01
77,Adam Brooks,C,6-0,179,L/-,1,May 6 1996,brookad01
36,Jack Campbell,G,6-2,197,-/-,5,January 9 1992,campbja01
23,Travis Dermott,D,6-0,205,L/-,3,December 22 1996,dermotr01
47,Pierre Engvall,LW,6-5,219,L/-,1,May 31 1996,engvapi01
71,Nick Foligno,LW,6-0,210,L/-,13,October 31 1987,foligni01
12,Alex Galchenyuk,C,6-1,194,L/-,8,February 12 1994,galchal01
3,Justin Holl,D,6-3,197,R/-,3,January 30 1992,hollju01
30,Michael Hutchinson,G,6-3,198,-/-,7,March 2 1990,hutchmi01
55,Ben Hutton,D,6-2,206,L/-,5,April 20 1993,huttobe01
11,Zach Hyman,C,6-1,211,R/-,5,June 9 1992,hymanza01
15,Alexander Kerfoot,C,5-11,186,L/-,3,August 11 1994,kerfoal01
46,Mikko Lehtonen,D,6-0,196,L/-,R,January 16 1994,lehtomi03
37,Timothy Liljegren,D,6-1,192,R/-,1,April 30 1999,liljeti01
16,Mitch Marner,RW,6-0,181,R/-,4,May 5 1997,marnemi01
34,Auston Matthews,C,6-3,208,L/-,4,September 17 1997,matthau01
65,Ilya Mikheyev,F,6-3,195,L/-,1,October 10 1994,mikheil01
8,Jake Muzzin,D,6-3,227,L/-,9,February 21 1989,muzzija01
20,Riley Nash,C,6-2,188,R/-,9,May 9 1989,nashri02
26,Stefan Noesen,RW,6-1,205,R/-,6,February 12 1993,noesest01
88,William Nylander,C,6-0,204,R/-,5,May 1 1996,nylanwi01
61,Nic Petan,C,5-9,175,L/-,5,March 22 1995,petanni01
44,Morgan Rielly,D,6-1,222,L/-,7,March 9 1994,riellmo01
33,David Rittich,G,6-3,206,-/-,4,August 19 1992,rittida01
89,Nicholas Robertson,LW,5-9,183,L/-,R,September 11 2001,roberni01
49,Scott Sabourin,F,6-4,207,R/-,1,July 30 1992,sabousc01
38,Rasmus Sandin,D,5-11,182,L/-,1,March 7 2000,sandira01
24,Wayne Simmonds,RW,6-2,184,R/-,12,August 26 1988,simmowa01
19,Jason Spezza,C,6-3,216,R/-,17,June 13 1983,spezzja01
91,John Tavares (C),C,6-1,216,L/-,11,September 20 1990,tavarjo01
97,Joe Thornton,C,6-4,220,L/-,22,July 2 1979,thornjo01
26,Jimmy Vesey,LW,6-3,202,L/-,4,May 26 1993,veseyji02
