 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
15,Josh Archibald,RW,5-10,176,R/-,5,October 6 1992,archijo01
22,Tyson Barrie,D,5-11,197,R/-,9,July 26 1991,barrity01
74,Ethan Bear,D,5-11,197,R/-,2,June 26 1997,bearet01
75,Evan Bouchard,D,6-3,194,R/-,1,October 20 1999,bouchev01
39,Alex Chiasson,RW,6-3,208,R/-,8,October 1 1990,chiasal01
29,Leon Draisaitl,C,6-2,208,L/-,6,October 27 1995,draisle01
63,Tyler Ennis,C,5-9,161,L/-,11,October 6 1989,ennisty01
91,Gaetan Haas,F,6-0,181,R/-,1,January 31 1992,haasga01
82,Caleb Jones,D,6-1,194,L/-,2,June 6 1997,jonesca01
21,Dominik Kahun,C,5-11,175,L/-,2,July 2 1995,kahundo01
44,Zack Kassian,RW,6-3,211,R/-,9,January 24 1991,kassiza01
16,Jujhar Khaira,LW,6-4,212,L/-,5,August 13 1994,khairju01
20,Slater Koekkoek,D,6-2,193,L/-,6,February 18 1994,koekksl01
19,Mikko Koskinen,G,6-7,202,-/L,3,July 18 1988,koskimi01
70,Dmitry Kulikov,D,6-1,204,L/-,11,October 29 1990,kulikdm01
84,William Lagesson,D,6-2,207,L/-,1,February 22 1996,lageswi01
6,Adam Larsson,D,6-3,208,R/-,9,November 12 1992,larssad01
97,Connor McDavid (C),C,6-1,193,L/-,5,January 13 1997,mcdavco01
70-71,Ryan McLeod,C,6-2,199,L/-,R,September 21 1999,mcleory01
18,James Neal,LW,6-3,212,L/-,12,September 3 1987,nealja01
93,Ryan Nugent-Hopkins,C,6-0,184,L/-,9,April 12 1993,nugenry01
25,Darnell Nurse,D,6-4,221,L/-,6,February 4 1995,nurseda01
10,Joakim Nygard,F,6-0,179,L/-,1,January 8 1993,nygarjo01
13,Jesse Puljujarvi,RW,6-4,201,R/-,3,May 7 1998,puljuje01
4,Kris Russell,D,5-10,170,L/-,13,May 2 1987,russekr01
52,Patrick Russell,RW,6-1,203,R/-,2,January 4 1993,russepa01
14,Devin Shore,C,6-1,206,L/-,5,July 19 1994,shorede01
50,Stuart Skinner,G,6-4,206,-/L,R,November 1 1998,skinnst01
41,Mike Smith,G,6-5,220,-/L,14,March 22 1982,smithmi01
8,Kyle Turris,C,6-1,190,R/-,12,August 14 1989,turriky01
56,Kailer Yamamoto,RW,5-8,153,R/-,3,September 29 1998,yamamka01
