 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
57,Anthony Angello,C,6-5,210,R/-,1,March 6 1996,angelan01
12,Zach Aston-Reese,C,6-0,204,L/-,3,August 10 1994,astonza01
53,Teddy Blueger,C,6-0,185,L/-,2,August 15 1994,bluegte01
77,Jeff Carter,C,6-3,219,R/-,15,January 1 1985,carteje01
4,Cody Ceci,D,6-2,210,R/-,7,December 21 1993,cecico01
87,Sidney Crosby (C),C,5-11,200,L/-,15,August 7 1987,crosbsi01
41,Josh Currie,RW,5-11,190,R/-,1,October 29 1992,currijo01
7,Kevin Czuczman,D,6-2,206,L/-,1,January 9 1991,czuczke01
1,Casey DeSmith,G,6-0,180,-/-,2,August 13 1991,desmica01
8,Brian Dumoulin,D,6-4,207,L/-,7,September 6 1991,dumoubr01
52,Mark Friedman,D,5-11,185,R/-,2,December 25 1995,friedma01
11,Frederick Gaudreau,C,6-0,179,R/-,3,May 1 1993,gaudrfr01
59,Jake Guentzel,C,5-11,180,L/-,4,October 6 1994,guentja01
14,Mark Jankowski,C,6-4,212,L/-,4,September 13 1994,jankoma01
35,Tristan Jarry,G,6-2,194,-/-,4,April 29 1995,jarrytr01
73,Pierre-Olivier Joseph,D,6-2,185,L/-,R,July 1 1999,joseppi01
42,Kasperi Kapanen,RW,6-1,194,R/-,5,July 23 1996,kapanka01
18,Sam Lafferty,C/LW,6-1,195,R/-,1,March 6 1995,laffesa01
31,Maxime Lagace,G,6-2,190,-/-,2,January 12 1993,lagacma01
58,Kris Letang,D,6-0,201,R/-,14,April 24 1987,letankr01
71,Evgeni Malkin,C,6-3,195,L/-,14,July 31 1986,malkiev01
6,John Marino,D,6-1,181,R/-,1,May 21 1997,marinjo01
5,Mike Matheson,D,6-2,188,L/-,5,February 27 1994,mathemi01
19,Jared McCann,C,6-1,185,L/-,5,May 31 1996,mccanja01
10,Drew O'Connor,F,6-3,200,L/-,R,June 9 1998,oconndr01
28,Marcus Pettersson,D,6-3,177,L/-,3,May 8 1996,pettema01
50,Juuso Riikola,D,6-0,189,L/-,2,November 9 1993,riikoju01
9,Evan Rodrigues,C,5-11,184,R/-,5,July 28 1993,rodriev01
2,Chad Ruhwedel,D,5-11,191,R/-,8,May 7 1990,ruhwech01
17,Bryan Rust,RW,5-11,192,R/-,6,May 11 1992,rustbr01
7,Colton Sceviour,C/RW,6-0,192,R/-,9,April 20 1989,scevico01
13,Brandon Tanev,LW,6-0,180,L/-,5,December 31 1991,tanevbr01
3,Yannick Weber,D,5-11,200,R/-,12,September 23 1988,weberya01
67,Radim Zohorna,F,6-6,220,L/-,R,April 29 1996,zohorra01
16,Jason Zucker,LW,5-11,192,L/-,9,January 16 1992,zuckeja01
