 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
72,Frederic Allard,D,6-1,179,R/-,R,December 27 1997,allarfr01
33,Viktor Arvidsson,LW,5-10,185,R/-,6,April 8 1993,arvidvi01
5,Matt Benning,D,6-1,202,R/-,4,May 25 1994,bennima01
90,Mark Borowiecki,D,6-2,204,L/-,9,July 12 1989,borowma01
45,Alexandre Carrier,D,5-11,174,R/-,2,October 8 1996,carrial01
21,Nick Cousins,C,5-11,192,L/-,6,June 20 1993,cousini01
38,Jeremy Davies,D,5-11,180,-/-,R,December 4 1996,davieje01
95,Matt Duchene,C,5-11,195,L/-,11,January 16 1991,duchema01
14,Mattias Ekholm,D,6-4,215,L/-,9,May 24 1990,ekholma01
4,Ryan Ellis,D,5-10,180,R/-,9,January 3 1991,ellisry01
57,Dante Fabbro,D,6-0,189,R/-,2,June 20 1998,fabbrda01
22,David Farrance,D,5-11,189,L/-,R,June 23 1999,farrada01
9,Filip Forsberg,C,6-1,205,R/-,8,August 13 1994,forsbfi01
64,Mikael Granlund,C,5-10,185,L/-,8,February 26 1992,granlmi01
23,Rocco Grimaldi,C,5-6,180,R/-,6,February 8 1993,grimaro01
44,Erik Gudbranson,D,6-5,222,R/-,9,January 7 1992,gudbrer01
17,Ben Harpur,D,6-6,231,L/-,4,January 12 1995,harpube01
56,Erik Haula,LW,6-0,193,L/-,7,March 23 1991,haulaer01
19,Calle Jarnkrok,C,6-0,192,R/-,7,September 25 1991,jarnkca01
84,Tanner Jeannot,F,6-2,208,L/-,R,May 29 1997,jeannta01
92,Ryan Johansen,C,6-3,218,R/-,9,July 31 1992,johanry01
59,Roman Josi (C),D,6-1,201,L/-,9,June 1 1990,josiro01
73,Kasimir Kaskisuo,G,6-2,205,-/L,1,October 2 1993,kaskika01
11,Luke Kunin,C,6-0,195,R/-,3,December 4 1997,kuninlu01
2,Tyler Lewington,D,6-0,194,R/-,2,December 5 1994,lewinty01
43,Sean Malone,C,6-0,197,L/-,1,April 30 1995,malonse01
47,Michael McCarron,RW,6-6,232,R/-,3,March 7 1995,mccarmi01
25,Mathieu Olivier,F,6-2,210,R/-,1,February 11 1997,olivima01
16,Rem Pitlick,C,5-11,186,L/-,1,April 2 1997,pitlire01
15,Brad Richardson,C,6-0,190,L/-,15,February 4 1985,richabr02
35,Pekka Rinne,G,6-5,217,-/L,14,November 3 1982,rinnepe01
74,Juuse Saros,G,5-11,180,-/-,5,April 19 1995,sarosju01
55,Luca Sbisa,D,6-3,204,L/-,12,January 30 1990,sbisalu01
10,Colton Sissons,C,6-1,200,R/-,6,November 5 1993,sissoco01
36,Cole Smith,F,6-3,195,L/-,R,October 28 1995,smithco02
24,Jarred Tinordi,D,6-6,229,L/-,5,February 20 1992,tinorja01
28,Eeli Tolvanen,RW,5-10,191,L/-,2,April 22 1999,tolvaee01
13,Yakov Trenin,C,6-2,201,L/-,1,January 13 1997,treniya01
