 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
47,Morgan Barron,C,6-4,220,L/-,R,December 2 1998,barromo01
22,Anthony Bitetto,D,6-1,210,L/-,6,July 15 1990,bitetan01
43,Colin Blackwell,C,5-9,190,R/-,2,March 28 1993,blackco01
76,Jonny Brodzinski,C,6-1,215,R/-,4,June 19 1993,brodzjo01
89,Pavel Buchnevich,LW,6-3,196,L/-,4,April 17 1995,buchnpa01
72,Filip Chytil,C,6-2,206,L/-,3,September 5 1999,chytifi01
77,Anthony DeAngelo,D,5-11,180,R/-,4,October 24 1995,deangan01
33,Phillip Di Giuseppe,LW,6-0,193,L/-,5,October 9 1993,digiuph01
23,Adam Fox,D,,,R/-,1,February 17 1998,foxad01
12,Julien Gauthier,RW,6-4,227,R/-,1,October 15 1997,gauthju01
40,Alexandar Georgiev,G,6-1,177,-/L,3,February 10 1996,georgal01
26,Timothy Gettinger,LW,6-6,218,L/-,2,April 14 1998,gettiti01
25,Libor Hajek,D,6-2,203,L/-,2,February 4 1998,hajekli01
21,Brett Howden,C,6-3,200,L/-,2,March 29 1998,howdebr01
27,Jack Johnson,D,6-1,227,L/-,14,January 13 1987,johnsja02
6,Zachary Jones,D,5-11,185,L/-,R,October 18 2000,jonesza01
24,Kaapo Kakko,RW,6-3,199,L/-,1,February 13 2001,kakkoka01
71,Keith Kinkaid,G,6-3,186,-/L,7,July 4 1989,kinkake01
74,Vitali Kravtsov,RW,6-3,189,L/-,R,December 23 1999,kravtvi01
20,Chris Kreider,LW,6-3,217,L/-,8,April 30 1991,kreidch01
13,Alexis Lafreniere,LW,6-2,193,L/-,R,October 11 2001,lafreal01
48,Brendan Lemieux,LW,6-1,215,L/-,3,March 15 1996,lemiebr01
55,Ryan Lindgren,D,6-0,191,L/-,2,February 11 1998,lindgry01
79,K'Andre Miller,D,6-5,210,L/-,R,January 21 2000,milleka01
10,Artemi Panarin,LW,5-11,170,R/-,5,October 30 1991,panarar01
51,Tarmo Reunanen,D,6-0,185,L/-,R,March 1 1998,reunata01
90,Justin Richards,F,5-11,190,R/-,R,March 17 1998,richaju01
17,Kevin Rooney,C,6-2,190,L/-,4,May 21 1993,rooneke01
31,Igor Shesterkin,G,6-2,181,L/-,1,December 30 1995,shestig01
42,Brendan Smith,D,6-2,201,L/-,9,February 8 1989,smithbr05
16,Ryan Strome,C,6-1,193,R/-,7,July 11 1993,stromry01
8,Jacob Trouba,D,6-3,209,R/-,7,February 26 1994,troubja01
93,Mika Zibanejad,C,6-2,208,R/-,9,April 18 1993,zibanmi01
