 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
74,Rasmus Asplund,F,5-11,189,L/-,1,December 3 1997,asplura01
96,Anders Bjork,LW,6-0,197,L/-,3,August 5 1996,bjorkan01
3,William Borgen,D,6-3,205,R/-,1,December 19 1996,borgewi01
78,Jacob Bryson,D,,,L/-,R,November 18 1997,brysoja01
91,Drake Caggiula,LW,5-10,176,L/-,4,June 20 1994,caggidr01
24,Dylan Cozens,C,6-3,195,R/-,R,February 9 2001,cozendy01
26,Rasmus Dahlin,D,6-3,202,L/-,2,April 13 2000,dahlira01
88,Brandon Davidson,D,6-2,209,L/-,6,August 21 1991,davidbr01
15-38,Jean-Sebastien Dea,C,5-11,168,R/-,4,February 8 1994,deaje01
20,Cody Eakin,C,6-0,196,L/-,9,May 24 1991,eakinco01
9,Jack Eichel (C),C,6-2,213,R/-,5,October 28 1996,eicheja01
17,Steven Fogarty,C,6-3,204,R/-,3,April 19 1993,fogarst01
4,Taylor Hall,LW,6-1,210,L/-,10,November 14 1991,hallta02
30-32,Michael Houser,G,6-2,191,-/R,R,September 13 1992,housemi01
40,Carter Hutton,G,6-0,208,-/L,8,December 19 1985,huttoca01
44,Matt Irwin,D,6-2,189,L/-,8,November 29 1987,irwinma01
34,Jonas Johansson,G,6-5,220,L/-,1,September 19 1995,johanjo03
10,Henri Jokiharju,D,6-0,200,R/-,2,June 17 1999,jokihhe01
27,Curtis Lazar,C/RW,6-0,193,R/-,6,February 2 1995,lazarcu01
1,Ukko-Pekka Luukkonen,G,6-5,217,-/L,R,March 9 1999,luukkuk01
19,Jake McCabe,D,6-1,204,L/-,7,October 12 1993,mccabja01
33,Colin Miller,D,6-1,199,R/-,5,October 29 1992,milleco02
37,Casey Mittelstadt,C,6-1,195,L/-,3,November 22 1998,mitteca01
62,Brandon Montour,D,6-0,194,R/-,4,April 11 1994,montobr01
57,Brett Murray,LW,6-5,228,L/-,R,July 20 1998,murrabr02
21,Kyle Okposo,RW,6-0,218,R/-,13,April 16 1988,okposky01
68-71,Victor Olofsson,RW,5-11,181,L/-,2,July 18 1995,olofsvi01
23,Sam Reinhart,C,6-2,193,R/-,6,November 6 1995,reinhsa01
13,Tobias Rieder,C,5-11,189,L/-,6,January 10 1993,riedeto01
55,Rasmus Ristolainen,D,6-4,220,R/-,7,October 27 1994,ristora01
25,Arttu Ruotsalainen,F,5-9,185,L/-,R,October 29 1997,ruotsar01
54,Mattias Samuelsson,D,6-4,231,L/-,R,March 14 2000,samuema02
15,Riley Sheahan,C,6-2,216,L/-,9,December 7 1991,sheahri01
53,Jeff Skinner,LW/C,5-11,197,L/-,10,May 16 1992,skinnje01
49,C.J. Smith,LW,5-11,184,L/-,2,December 1 1994,smithcj01
12,Eric Staal,C,6-4,195,L/-,16,October 29 1984,staaler01
72,Tage Thompson,C,6-6,220,R/-,3,October 30 1997,thompta01
31,Dustin Tokarski,G,6-0,198,-/L,6,September 16 1989,tokardu01
35,Linus Ullmark,G,6-5,212,-/-,5,July 31 1993,ullmali01
