Provided by Hockey-Reference.com 
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
92,Rudolfs Balcers,LW,5-11,180,L/-,2,April 8 1997,balceru01
94,Alexander Barabanov,F,5-10,192,L/-,R,June 17 1994,barabal01
45,Lean Bergmann,F,6-2,205,L/-,1,October 4 1998,bergmle01
86,Joachim Blichfeld,W,6-2,190,R/-,1,July 17 1998,blichjo01
88,Brent Burns,D/RW,6-5,230,R/-,16,March 9 1985,burnsbr01
82,Ivan Chekhovich,LW,5-10,185,L/-,R,January 4 1999,chekhiv01
55,Sasha Chmelevski,C,6-0,188,R/-,R,June 9 1999,chmelal01
33,Fredrik Claesson,D,6-1,196,L/-,5,November 24 1992,claesfr01
39,Logan Couture (C),C,6-1,200,L/-,11,March 28 1989,coutulo01
16,Ryan Donato,C,6-0,192,L/-,3,April 9 1996,donatry01
40,Devan Dubnyk,G,6-6,224,-/L,11,May 4 1986,dubnyde01
38,Mario Ferraro,D,5-11,185,L/-,1,September 17 1998,ferrama01
29,Kurtis Gabriel,RW,6-6,212,R/-,3,April 20 1993,gabriku01
7,Dylan Gambrell,C,5-11,185,R/-,3,August 26 1996,gambrdy01
73,Noah Gregor,C,6-0,185,L/-,1,July 28 1998,gregono01
37,Fredrik Händemark,C,6-4,209,L/-,R,August 27 1993,handefr01
48,Tomas Hertl,C,6-2,215,L/-,7,November 12 1993,hertlto01
47,Christian Jaros,D,6-3,222,R/-,3,April 2 1996,jarosch01
31,Martin Jones,G,6-4,190,-/-,7,January 10 1990,jonesma02
9,Evander Kane,LW,6-2,210,L/-,11,August 2 1991,kaneev01
65,Erik Karlsson,D,6-0,190,R/-,11,May 31 1990,karlser01
46,Joel Kellman,F,5-11,175,L/-,1,May 25 1994,kellmjo01
71,Nikolai Knyzhov,D,6-3,200,L/-,1,March 20 1998,knyzhni01
32,Josef Korenar,G,6-1,185,-/-,R,January 31 1998,korenjo01
62,Kevin Labanc,RW,5-11,185,R/-,4,December 12 1995,labanke01
43,John Leonard,LW,5-11,196,L/-,R,August 7 1998,leonajo01
12,Patrick Marleau,C,6-2,218,L/-,22,September 15 1979,marlepa01
28,Timo Meier,RW,6-0,210,L/-,4,October 8 1996,meierti01
1,Alexei Melnichuk,G,6-1,204,-/L,R,June 29 1998,melnial01
53,Nicolas Meloche,D,6-3,205,R/-,R,July 18 1997,melocni01
21,Jacob Middleton,D,6-3,219,L/-,2,January 2 1996,middlja01
83,Matthew Nieto,LW,5-11,185,L/-,7,November 5 1992,nietoma01
11,Stefan Noesen,RW,6-1,205,R/-,6,February 12 1993,noesest01
50,Brinson Pasichnuk,D,5-11,211,L/-,R,November 24 1997,pasicbr01
2-5,Greg Pateryn,D,6-2,221,R/-,7,June 20 1990,patergr01
51,Radim Simek,D,6-0,200,L/-,2,September 20 1992,simekra01
20,Marcus Sorensen,RW,5-11,175,L/-,4,April 7 1992,sorenma01
40,Antti Suomela,C,6-0,180,L/-,2,March 17 1994,suomean01
70,Alexander True,F,6-5,200,-/-,1,July 17 1997,trueal01
63,Jeffrey Viel,F,6-2,205,L/-,R,January 28 1997,vielje01
44,Marc-Edouard Vlasic,D,6-1,205,L/-,14,March 30 1987,vlasima01
