 Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
14,Jamie Benn (C),LW,6-2,210,L/-,11,July 18 1989,bennja01
17,Nicholas Caamano,RW,6-3,205,L/-,1,September 7 1998,caamani01
11,Andrew Cogliano,LW/C,5-10,175,L/-,13,June 14 1987,coglian01
15,Blake Comeau,RW,6-1,200,R/-,14,February 18 1986,comeabl01
10,Ty Dellandrea,C,6-0,195,R/-,R,July 21 2000,dellaty01
18,Jason Dickinson,C,6-2,200,L/-,5,July 4 1995,dickija01
37,Justin Dowling,C,5-10,180,L/-,3,October 1 1990,dowliju01
12,Radek Faksa,C,6-3,220,L/-,5,January 9 1994,faksara01
49,Rhett Gardner,C/LW,6-3,210,L/-,1,February 28 1996,gardnrh01
34,Denis Gurianov,RW,6-3,195,L/-,3,June 7 1997,guriade01
44,Joel Hanley,D,5-11,190,L/-,5,June 8 1991,hanlejo01
4,Miro Heiskanen,D,6-1,190,L/-,2,July 18 1999,heiskmi01
24,Roope Hintz,LW,6-3,210,L/-,2,November 17 1996,hintzro01
64,Tanner Kero,RW,6-0,185,L/-,3,July 24 1992,kerota01
35,Anton Khudobin,G,5-11,195,-/L,11,May 7 1986,khudoan01
25,Joel Kiviranta,F,5-11,180,L/-,1,March 23 1996,kivirjo01
3,John Klingberg,D,6-3,190,R/-,6,August 14 1992,klingjo01
38,Joel L'Esperance,RW,6-2,210,R/-,2,August 18 1995,lespejo01
23,Esa Lindell,D,6-3,220,L/-,5,May 23 1994,lindees01
29,Jake Oettinger,G,6-5,220,-/L,R,December 18 1998,oettija01
2,Jamie Oleksiak,D,6-7,255,L/-,8,December 21 1992,oleksja01
16,Joe Pavelski,C,5-11,195,R/-,14,July 11 1984,paveljo01
13,Mark Pysyk,D,6-1,196,R/-,8,January 11 1992,pysykma01
47,Alexander Radulov,RW,6-1,200,L/-,7,July 5 1986,radulal01
21,Jason Robertson,LW,6-3,200,L/-,1,July 22 1999,roberja01
91,Tyler Seguin,C,6-1,200,R/-,10,January 31 1992,seguity01
5,Andrej Sekera,D,6-0,200,L/-,14,June 8 1986,sekeran01
45,Sami Vatanen,D,5-10,185,R/-,8,June 3 1991,vatansa01
