Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
74,Nicolas Beaudin,D,5-11,168,L/-,2,October 9 1999,beaudni01
13,Henrik Borgström,C,6-3,190,L/-,3,August 6 1997,borgshe01
22,Ryan Carpenter,C,6-0,200,R/-,6,January 18 1991,carpery01
20,Brett Connolly,RW,6-3,198,R/-,10,May 2 1992,connobr01
77,Kirby Dach,C,6-4,197,R/-,2,January 21 2001,dachki01
44,Calvin de Haan,D,6-1,195,L/-,9,May 9 1991,dehaaca01
12,Alex DeBrincat,RW,5-7,165,R/-,4,December 18 1997,debrial01
60,Collin Delia,G,6-2,208,-/-,3,June 20 1994,deliaco01
58,Mackenzie Entwistle,RW,6-3,184,R/-,1,July 14 1999,entwima01
29,Marc-Andre Fleury,G,6-2,185,-/L,17,November 28 1984,fleurma01
29-34-79,Kurtis Gabriel,RW,6-6,212,R/-,4,April 20 1993,gabriku01
76,Jakub Galvas,D,5-11,165,L/-,R,June 15 1999,galvaja01
11,Adam Gaudette,C,6-1,170,R/-,4,October 3 1996,gaudead01
56,Erik Gustafsson,D,6-0,197,L/-,5,March 14 1992,gustaer02
38,Brandon Hagel,LW,5-11,174,L/-,2,August 27 1998,hagelbr01
86,Mike Hardman,RW,6-2,204,L/-,1,February 5 1999,hardmmi01
52,Reese Johnson,F,6-1,193,R/-,1,July 10 1998,johnsre01
90,Tyler Johnson,C,5-8,185,R/-,9,July 29 1990,johnsty01
82,Caleb Jones,D,6-1,194,L/-,3,June 6 1997,jonesca01
4,Seth Jones,D,6-4,208,R/-,8,October 3 1994,jonesse01
48,Wyatt Kalynuk,D,6-1,180,L/-,1,April 14 1997,kalynwy01
88,Patrick Kane,RW,5-10,177,L/-,14,November 19 1988,kanepa01
14,Boris Katchouk,LW,6-2,206,L/-,R,June 18 1998,katchbo01
16,Jujhar Khaira,LW,6-4,212,L/-,6,August 13 1994,khairju01
8,Dominik Kubalík,LW,6-2,179,L/-,2,August 21 1995,kubaldo01
23,Philipp Kurashev,C,6-0,190,L/-,1,October 12 1999,kurasph01
24,Sam Lafferty,C/LW,6-1,195,R/-,2,March 6 1995,laffesa01
32,Kevin Lankinen,G,6-2,185,-/L,1,April 28 1995,lankike01
6,Jake McCabe,D,6-1,204,L/-,8,October 12 1993,mccabja01
51,Ian Mitchell,D,5-11,173,R/-,1,January 18 1999,mitchia01
5,Connor Murphy,D,6-4,212,R/-,8,March 26 1993,murphco02
41,Isaak Phillips,D,6-3,194,L/-,R,September 28 2001,phillis01
11,Taylor Raddysh,RW,6-3,198,R/-,R,February 18 1998,raddyta01
75,Alec Regula,D,6-4,208,R/-,1,August 6 2000,regulal01
27,Lukas Reichel,LW,6-0,170,L/-,R,May 17 2002,reichlu01
36,Josiah Slavin,LW,6-0,161,L/-,R,December 31 1998,slavijo01
40,Arvid Soderblom,G,6-3,179,-/L,R,August 19 1999,soderar01
61,Riley Stillman,D,6-1,196,L/-,3,March 9 1998,stillri01
17,Dylan Strome,C,6-3,200,L/-,5,March 7 1997,stromdy01
19,Jonathan Toews (C),C,6-2,201,L/-,13,April 29 1988,toewsjo01
43,Alex Vlasic,D,6-6,199,L/-,R,June 5 2001,vlasial01
