Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
49,Ivan Barbashev,C,6-0,187,L/-,5,December 14 1995,barbaiv01
50,Jordan Binnington,G,6-1,174,-/-,4,July 11 1993,binnijo01
41,Robert Bortuzzo,D,6-4,216,R/-,10,March 18 1989,borturo01
21,Tyler Bozak,C,6-1,199,R/-,12,March 19 1986,bozakty01
22,Logan Brown,C,6-6,218,L/-,4,March 5 1998,brownlo01
89,Pavel Buchnevich,LW,6-3,196,L/-,5,April 17 1995,buchnpa01
13,Kyle Clifford,LW,6-2,211,L/-,11,January 13 1991,cliffky01
72,Justin Faulk,D,6-0,217,R/-,10,March 20 1992,faulkju01
32,Jon Gillies,G,6-6,223,-/-,2,January 22 1994,gillijo01
1,Joel Hofer,G,6-3,160,L/-,R,July 30 2000,hoferjo01
35,Ville Husso,G,6-3,205,R/-,1,February 6 1995,hussovi01
54,Dakota Joshua,C,6-2,199,L/-,1,May 15 1996,joshuda01
37,Klim Kostin,C/LW,6-3,215,L/-,2,May 5 1999,kostikl01
47,Torey Krug,D,5-9,186,L/-,10,April 12 1991,krugto01
25,Jordan Kyrou,C,6-0,175,R/-,3,May 5 1998,kyroujo01
4,Nick Leddy,D,6-0,206,L/-,11,March 20 1991,leddyni01
39,Charlie Lindgren,G,6-1,182,-/-,5,December 18 1993,lindgch01
28,Mackenzie MacEachern,LW,6-2,193,L/-,3,March 9 1994,maceama01
77,Niko Mikkola,D,6-4,185,L/-,2,April 27 1996,mikkoni01
81,James Neal,LW,6-3,212,L/-,13,September 3 1987,nealja01
63,Jake Neighbours,LW,5-11,201,L/-,R,March 29 2002,neighja01
90,Ryan O'Reilly (C),C,6-1,216,L/-,12,February 7 1991,oreilry01
55,Colton Parayko,D,6-6,230,R/-,6,May 12 1993,parayco01
53,Matthew Peca,C,5-8,182,L/-,5,April 27 1993,pecama01
57,David Perron,LW,6-0,200,R/-,14,May 28 1988,perroda01
48,Scott Perunovich,D,5-10,174,L/-,R,August 18 1998,perunsc01
43,Calle Rosen,D,6-1,188,L/-,3,February 2 1994,rosenca01
20,Brandon Saad,LW,6-1,206,L/-,10,October 27 1992,saadbr01
36,Steven Santini,D,6-2,209,R/-,6,March 7 1995,santist01
6,Marco Scandella,D,6-3,211,L/-,11,February 23 1990,scandma01
10,Brayden Schenn,C,6-1,200,L/-,12,August 22 1991,schenbr01
70,Oskar Sundqvist,C,6-3,209,R/-,6,March 23 1994,sundqos01
91,Vladimir Tarasenko,RW,6-0,225,L/-,9,December 13 1991,tarasvl01
18,Robert Thomas,C,6-0,188,R/-,3,July 2 1999,thomaro01
65,Alexey Toropchenko,RW,6-6,222,L/-,R,June 25 1999,toropal01
26,Nathan Walker,C,5-9,186,L/-,4,February 7 1994,walkena01
46,Jake Walman,D,6-1,170,L/-,2,February 20 1996,walmaja01
