Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
54,Jack Ahcan,D,5-8,184,L/-,1,May 18 1997,ahcanja01
37,Patrice Bergeron (C),C,6-1,195,R/-,17,July 24 1985,bergepa01
81,Anton Blidh,LW,6-1,197,L/-,5,March 14 1995,blidhan01
44,Josh Brown,D,6-5,221,R/-,3,January 21 1994,brownjo01
25,Brandon Carlo,D,6-5,212,R/-,5,November 26 1996,carlobr01
75,Connor Clifton,D,5-11,175,R/-,3,April 28 1995,cliftco01
13,Charlie Coyle,C/RW,6-3,200,R/-,9,March 2 1992,coylech01
74,Jake DeBrusk,LW,6-0,188,L/-,4,October 17 1996,debruja01
29,Steven Fogarty,C,6-3,204,R/-,4,April 19 1993,fogarst01
17,Nick Foligno,LW,6-0,210,L/-,14,October 31 1987,foligni01
28,Derek Forbort,D,6-4,219,L/-,6,March 4 1992,forbode01
11,Trent Frederic,C,6-2,203,L/-,3,February 11 1998,fredetr01
38,Jesper Froden,F,5-10,179,R/-,R,September 21 1994,frodeje01
48,Matt Grzelcyk,D,5-9,174,L/-,5,January 5 1994,grzelma01
71,Taylor Hall,LW,6-1,206,L/-,11,November 14 1991,hallta02
56,Erik Haula,LW,6-0,193,L/-,8,March 23 1991,haulaer01
83,Karson Kuhlman,C,5-11,185,R/-,3,September 26 1995,kuhlmka01
20,Curtis Lazar,C/RW,6-0,193,R/-,7,February 2 1995,lazarcu01
55,Tyler Lewington,D,6-0,194,R/-,3,December 5 1994,lewinty01
27,Hampus Lindholm,D,6-4,216,L/-,8,January 20 1994,lindhha01
63,Brad Marchand,LW,5-9,181,L/-,12,May 11 1988,marchbr03
73,Charlie McAvoy,D,6-0,208,R/-,4,December 21 1997,mcavoch01
26,Marc McLaughlin,F,6-0,203,R/-,R,July 26 1999,mclauma01
27,John Moore,D,6-2,210,L/-,11,November 19 1990,moorejo01
92,Tomas Nosek,C,6-2,205,L/-,6,September 1 1992,nosekto01
88,David Pastrnak,RW,6-0,194,R/-,7,May 25 1996,pastrda01
40,Tuukka Rask,G,6-3,176,L/L,14,March 10 1987,rasktu01
6,Mike Reilly,D,6-1,199,L/-,6,July 13 1993,reillmi01
12,Craig Smith,C,6-1,208,R/-,10,September 5 1989,smithcr01
62,Oskar Steen,C,5-9,199,R/-,1,March 9 1998,steenos01
23,Jack Studnicka,C,6-1,171,R/-,2,February 18 1999,studnja01
1,Jeremy Swayman,G,6-2,184,-/L,1,November 24 1998,swaymje01
35,Linus Ullmark,G,6-4,215,-/-,6,July 31 1993,ullmali01
58,Urho Vaakanainen,D,6-1,185,L/-,3,January 1 1999,vaakaur01
14,Chris Wagner,C,6-0,198,R/-,7,May 27 1991,wagnech01
67,Jakub Zboril,D,6-0,200,L/-,2,February 21 1997,zborija01
