Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
95,Justin Bailey,RW,6-4,214,R/-,6,July 1 1995,baileju01
6,Brock Boeser,RW,6-1,208,R/-,5,February 25 1997,boesebr01
4,Madison Bowey,D,6-2,202,R/-,4,April 22 1995,boweyma01
55,Guillaume Brisebois,D,6-2,175,L/-,2,July 21 1997,brisegu01
44-88,Kyle Burroughs,D,6-0,193,R/-,1,July 12 1995,burroky01
39,Alex Chiasson,RW,6-3,208,R/-,9,October 1 1990,chiasal01
35,Thatcher Demko,G,6-4,192,L/-,4,December 8 1995,demkoth01
23-24,Travis Dermott,D,6-0,205,L/-,4,December 22 1996,dermotr01
18,Jason Dickinson,C,6-2,200,L/-,6,July 4 1995,dickija01
65-75,Michael Dipietro,G,6-0,200,-/L,2,June 9 1999,dipiemi01
73,Justin Dowling,C,5-10,180,L/-,4,October 1 1990,dowliju01
51,Sheldon Dries,C,5-9,180,L/-,3,April 23 1994,driessh01
23,Oliver Ekman-Larsson,D,6-2,200,L/-,11,July 17 1991,ekmanol01
8,Conor Garland,RW,5-10,165,R/-,3,March 11 1996,garlaco01
41,Jaroslav Halak,G,5-11,185,-/L,15,May 13 1985,halakja01
27,Travis Hamonic,D,6-2,205,R/-,11,August 16 1990,hamontr01
15,Matthew Highmore,LW,5-11,188,L/-,3,February 27 1996,highmma01
21,Nils Hoglander,LW,5-9,185,L/-,1,December 20 2000,hoglani01
53,Bo Horvat (C),C,6-0,215,L/-,7,April 5 1995,horvabo01
43,Quinn Hughes,D,5-10,175,L/-,3,October 14 1999,hughequ01
77,Brad Hunt,D,5-9,177,L/-,8,August 24 1988,huntbr01
47-58,Noah Juulsen,D,6-1,201,R/-,3,April 2 1997,juulsno01
83-91,Juho Lammikko,RW,6-2,191,L/-,2,January 29 1996,lammiju01
58,William Lockwood,RW,5-11,172,R/-,1,June 20 1998,lockwwi01
30,Spencer Martin,G,6-3,191,-/-,1,June 8 1995,martisp01
9,J.T. Miller,C,6-1,218,L/-,9,March 14 1993,millejt01
64,Tyler Motte,C,5-10,192,L/-,5,March 10 1995,mottety01
57,Tyler Myers,D,6-8,229,R/-,12,February 1 1990,myersty01
70,Tanner Pearson,LW,6-1,201,L/-,8,August 10 1992,pearsta01
7-61,Nic Petan,C,5-9,175,L/-,6,March 22 1995,petanni01
40,Elias Pettersson,C,6-2,176,L/-,3,November 12 1998,petteel01
92,Vasily Podkolzin,RW,6-1,190,L/-,R,June 24 2001,podkova01
5,Tucker Poolman,D,6-2,199,R/-,3,June 8 1993,poolmtu01
3,Jack Rathbone,D,5-10,177,L/-,1,May 20 1999,rathbja01
56,Sheldon Rempal,RW,5-10,165,R/-,2,August 7 1995,rempash01
15,Brad Richardson,C,6-0,190,L/-,16,February 4 1985,richabr02
2,Luke Schenn,D,6-2,226,R/-,13,November 2 1989,schenlu01
