Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
88,Kevin Bahl,D,6-6,230,L/-,1,June 27 2000,bahlke01
14,Nathan Bastian,RW,6-4,205,R/-,2,December 6 1997,bastina01
45,Jonathan Bernier,G,6-0,185,-/L,13,August 7 1988,bernijo01
29,Mackenzie Blackwood,G,6-4,225,-/L,3,December 9 1996,blackma01
70,Jesper Boqvist,C,6-0,180,L/-,2,October 30 1998,boqvije01
63,Jesper Bratt,W,5-10,175,L/-,4,July 30 1998,brattje01
50,Nico Daws,G,6-4,205,-/L,R,December 22 2000,dawsni01
47,Chase De Leo,C,5-9,185,L/-,4,October 25 1995,deleoch01
25,Nolan Foote,LW,6-3,196,L/-,1,November 29 2000,footeno01
38,Frederik Gauthier,C,6-5,239,L/-,6,April 26 1995,gauthfr01
55,Mason Geertsen,D,6-4,227,L/-,R,April 19 1995,geertma01
32,Jon Gillies,G,6-6,223,-/-,2,January 22 1994,gillijo01
33,Ryan Graves,D,6-5,220,L/-,3,May 21 1995,gravery01
42,A.J. Greer,LW,6-3,210,L/-,4,December 14 1996,greeraj01
7,Dougie Hamilton,D,6-6,230,R/-,9,June 17 1993,hamildo01
35,Andrew Hammond,G,6-2,224,-/-,5,February 11 1988,hammoan01
13,Nico Hischier (C),C,6-1,175,L/-,4,January 4 1999,hischni01
10,Alexander Holtz,RW,6-0,195,R/-,R,January 23 2002,holtzal01
86,Jack Hughes,C,5-11,175,L/-,2,May 14 2001,hugheja03
83,Christian Jaros,D,6-3,222,R/-,4,April 2 1996,jarosch01
11,Andreas Johnsson,LW,5-10,194,L/-,4,November 21 1994,johnsan01
59,Janne Kuokkanen,C/LW,6-1,193,L/-,4,May 25 1998,kuokkja01
20,Michael McLeod,C,6-2,190,R/-,3,February 3 1998,mcleomi01
18,Dawson Mercer,C,6-0,180,R/-,R,October 27 2001,merceda01
82,Nikita Okhotyuk,D,6-1,195,L/-,R,December 4 2000,okhotni01
40,Akira Schmid,G,6-5,205,L/-,R,May 12 2000,schmiak01
28,Damon Severson,D,6-2,205,R/-,7,August 7 1994,severda01
17,Yegor Sharangovich,C,6-2,196,L/-,1,June 6 1998,sharaye01
71,Jonas Siegenthaler,D,6-2,218,L/-,3,May 6 1997,siegejo01
24,Ty Smith,D,5-11,180,L/-,1,March 24 2000,smithty01
67,Marian Studenic,RW,6-1,181,L/-,1,October 28 1998,studema01
76,P.K. Subban,D,6-0,210,R/-,12,May 13 1989,subbapk01
90,Tomas Tatar,LW,5-10,173,L/-,10,December 1 1990,tatarto01
12,Tyce Thompson,RW,6-1,175,R/-,1,July 12 1999,thompty01
16,Jimmy Vesey,LW,6-3,202,L/-,5,May 26 1993,veseyji02
8,Reilly Walsh,D,6-0,185,R/-,R,April 21 1999,walshre01
41,Scott Wedgewood,G,6-2,205,-/-,3,August 14 1992,wedgesc01
2,Colton White,D,6-1,188,L/-,3,May 3 1997,whiteco03
44,Miles Wood,LW,6-2,195,L/-,6,September 13 1995,woodmi01
37,Pavel Zacha,C,6-3,210,L/-,6,April 6 1997,zachapa01
49,Fabian Zetterlund,W,5-11,220,R/-,R,August 25 1999,zettefa01
