Provided by Hockey-Reference.com
No.,Player,Pos,Ht,Wt,S/C,Exp,Birth Date,Player-additional
16,Zach Aston-Reese,C,6-0,204,L/-,4,August 10 1994,astonza01
86,Simon Benoit,D,6-3,203,L/-,1,September 19 1998,benoisi01
39,Sam Carrick,C,6-0,200,R/-,5,February 4 1992,carrisa01
44,Max Comtois,LW,6-2,210,L/-,3,January 8 1999,comtoma01
20,Nicolas Deslauriers,LW,6-1,220,L/-,8,February 22 1991,deslani01
1,Lukas Dostal,G,6-1,193,L/-,R,June 22 2000,dostalu01
72,Hunter Drew,D,6-2,191,R/-,R,October 21 1998,drewhu01
34,Jamie Drysdale,D,5-11,183,R/-,1,April 8 2002,drysdja01
4,Cam Fowler,D,6-2,215,L/-,11,December 5 1991,fowleca01
15,Ryan Getzlaf (C),C,6-4,220,R/-,16,May 10 1985,getzlry01
36,John Gibson,G,6-2,210,-/-,8,July 14 1993,gibsojo02
38,Derek Grant,C,6-3,210,L/-,8,April 20 1990,grantde01
50,Benoit-Olivier Groulx,C,6-2,200,L/-,R,February 6 2000,groulbe01
2,Brendan Guhle,D,6-2,190,L/-,4,July 29 1997,guhlebr01
14,Adam Henrique,C,6-0,195,L/-,11,February 6 1990,henriad01
68,Thomas Hodges,G,5-10,170,-/R,R,June 25 1993,hodgeth01
49,Max Jones,LW,6-3,216,L/-,3,February 17 1998,jonesma03
57,Bryce Kindopp,F,6-1,191,R/-,R,June 14 1999,kindobr01
32,Jacob Larsson,D,6-2,190,L/-,4,April 29 1997,larssja01
28,Vinni Lettieri,C,5-11,185,R/-,3,February 6 1995,lettivi01
47,Hampus Lindholm,D,6-4,216,L/-,8,January 20 1994,lindhha01
21,Isac Lundestrom,C,6-0,193,L/-,3,November 6 1999,lundeis01
76,Josh Mahura,D,6-0,185,L/-,3,May 5 1998,mahurjo01
42,Josh Manson,D,6-3,218,R/-,7,October 7 1991,mansojo01
26,Gerald Mayhew,F,5-9,170,R/-,2,December 31 1992,mayhege01
37,Mason Mctavish,C,6-0,213,L/-,R,January 30 2003,mctavma01
12,Sonny Milano,LW,6-0,204,L/-,6,May 12 1996,milanso01
55,Danny O'Regan,C,5-9,176,R/-,3,January 30 1994,oregada01
29,Greg Pateryn,D,6-2,221,R/-,8,June 20 1990,patergr01
64,Jacob Perreault,RW,6-0,193,R/-,R,April 15 2002,perreja01
67,Rickard Rakell,RW,6-1,195,R/-,9,May 5 1993,rakelri01
53,Buddy Robinson,RW,6-6,232,R/-,4,August 30 1991,robinbu01
22,Kevin Shattenkirk,D,6-0,212,R/-,11,January 29 1989,shattke01
33,Jakob Silfverberg,LW,6-1,207,R/-,9,October 13 1990,silfvja01
51,Dominik Simon,C,5-11,190,L/-,6,August 8 1994,simondo01
23,Sam Steel,C,5-11,184,L/-,3,February 3 1998,steelsa01
41,Anthony Stolarz,G,6-6,243,-/-,4,January 20 1994,stolaan01
92,Andrej Sustr,D,6-7,217,R/-,7,November 29 1990,sustran01
19,Troy Terry,C/RW,6-0,185,R/-,4,September 10 1997,terrytr01
56,Brayden Tracey,LW,6-1,186,L/-,R,May 28 2001,tracebr01
5,Urho Vaakanainen,D,6-1,185,L/-,3,January 1 1999,vaakaur01
46,Trevor Zegras,C,6-0,185,L/-,1,March 20 2001,zegratr01
