Provided by Hockey-Reference.com
No.,Name,Pos,Ht,Wt,S/C,Exp,Birth Date,ID
20,Sebastian Aho,F,6-0,173,L/-,5,July 26 1997,ahose01
31,Frederik Andersen,G,6-4,229,-/-,8,October 2 1989,anderfr01
25,Ethan Bear,D,5-11,197,R/-,3,June 26 1997,bearet01
64,Jalen Chatfield,D,6-1,188,R/-,1,May 16 1996,chatfja01
28,Ian Cole,D,6-1,225,L/-,11,February 21 1989,coleia01
77,Anthony DeAngelo,D,5-11,180,R/-,5,October 24 1995,deangan01
13,Max Domi,LW,5-10,192,L/-,6,March 2 1995,domima01
72,Jack Drury,C,5-11,174,L/-,R,February 3 2000,druryja01
71,Jesper Fast,RW,6-1,191,R/-,8,December 2 1991,fastje01
24,Seth Jarvis,C,5-10,175,R/-,R,February 1 2002,jarvise01
44,Joey Keane,D,6-0,187,R/-,1,July 2 1999,keanejo01
52-90,Pyotr Kochetkov,G,6-3,205,-/L,R,June 25 1999,kochepy01
82,Jesperi Kotkaniemi,C,6-2,201,L/-,3,July 6 2000,kotkaje01
80,Jack LaFontaine,G,6-2,204,-/L,R,January 6 1998,lafonja01
42,Maxime Lajoie,D,6-1,196,L/-,2,November 5 1997,lajoima01
41,Josh Leivo,LW,6-2,192,R/-,8,May 26 1993,leivojo01
78,Steven Lorentz,C/LW,6-4,207,L/-,1,April 13 1996,lorenst01
34,Alex Lyon,G,6-1,201,-/-,4,December 9 1992,lyonal01
48,Jordan Martinook,LW,6-0,196,L/-,7,July 25 1992,martijo01
88,Martin Necas,C,6-2,189,R/-,4,January 15 1999,necasma01
21,Nino Niederreiter,RW,6-2,215,L/-,10,September 8 1992,niedeni01
29,Stefan Noesen,RW,6-1,205,R/-,7,February 12 1993,noesest01
22,Brett Pesce,D,6-4,201,R/-,6,November 15 1994,pescebr01
57,Andrew Poturalski,C,5-10,183,R/-,1,January 14 1994,poturan01
32,Antti Raanta,G,6-0,198,-/-,8,May 12 1989,raantan01
76,Brady Skjei,D,6-3,210,L/-,6,March 26 1994,skjeibr01
74,Jaccob Slavin,D,6-3,213,L/-,6,May 1 1994,slavija01
7,Brendan Smith,D,6-2,201,L/-,10,February 8 1989,smithbr05
47,C.J. Smith,LW,5-11,184,L/-,3,December 1 1994,smithcj01
11,Jordan Staal (C),C,6-4,220,L/-,15,September 10 1988,staaljo01
18,Derek Stepan,C,5-11,196,R/-,11,June 18 1990,stepade01
37,Andrei Svechnikov,RW,6-2,200,L/-,3,March 26 2000,svechan01
86,Teuvo Teravainen,F,5-11,196,L/-,8,September 11 1994,teravte01
16,Vincent Trocheck,C,5-10,183,R/-,8,July 11 1993,trochvi01
